lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,psi,gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110
# Adaptation terminated
# Step size = 0.619439
# Diagonal elements of inverse mass matrix:
# 0.00884722, 0.00509496, 0.0234436, 0.0229117, 0.00643853, 0.00790392, 0.00664915, 0.00379913, 0.0237484, 0.00914115, 0.00583694, 0.00785478, 0.15395, 0.00724912, 0.00699226
-4229.75,0.858733,0.619439,3,7,0,4235.77,53.3962,27.694,180.802,54.6372,65.2686,52.3437,16.8069,51.0928,13.6154,90.6324,104.01,28.4285,163.215,0.265789,0.146432,-36.4584,-38.3921,-33.2097,-49.0031,-39.9539,-37.7628,-40.5795,-47.6588,-39.4656,-35.3288,-49.6065,-38.5401,-39.921,-38.4659,-40.2915,-50.344,-43.8365,-35.6047,-40.39,-43.9209,-35.0001,-44.4809,-43.5474,-40.0389,-40.1074,-34.2477,-33.8367,-38.8412,-44.6688,-32.3693,-33.5842,-39.1407,-38.944,-33.9557,-39.5044,-33.0606,-31.355,-51.2166,-38.2061,-44.2309,-46.0019,-41.1291,-35.7509,-39.0258,-34.7584,-33.432,-30.0428,-39.836,-37.7044,-36.2052,-45.8279,-46.7763,-34.7298,-35.2621,-32.6847,-36.1911,-39.8323,-46.7026,-45.4762,-42.0972,-41.5917,-45.0449,-51.8131,-28.173,-31.5327,-41.6758,-39.1875,-31.7295,-35.5326,-41.2495,-33.7972,-30.6466,-37.2915,-35.8241,-45.6583,-32.3036,-35.2952,-40.6552,-40.2631,-32.9039,-37.5048,-39.6206,-42.293,-26.11,-42.2514,-53.03,-42.6012,-42.819,-39.2443,-36.534,-39.8575,-43.6845,-42.6642,-38.7899,-40.8627,-37.9119,-34.5654,-35.5934,-39.8562,-33.6085,-38.5261,-32.4161,-30.7934,-33.9214,-30.2458,-41.4003,-37.9388,-33.5886,-42.1467,-42.4923
-4234.37,0.784779,0.619439,3,7,0,4236.24,52.9314,28.9003,179.443,58.8746,65.2297,52.274,15.8691,49.6921,14.8063,92.8053,105.268,26.8105,167.646,0.265282,0.146478,-36.5211,-38.3367,-33.0265,-48.9663,-39.7532,-37.4732,-40.3081,-48.0359,-39.2494,-35.416,-49.5503,-38.2066,-39.8753,-38.5098,-40.2261,-50.5552,-43.7348,-35.621,-40.4917,-44.1318,-34.8618,-44.5944,-43.5193,-40.042,-40.0895,-34.4032,-33.9797,-38.7669,-44.8972,-32.5674,-33.6964,-39.0954,-38.904,-34.1836,-39.5428,-33.146,-31.3955,-51.6307,-38.7046,-44.4114,-45.9845,-41.0387,-35.7678,-39.0981,-34.777,-33.4166,-30.3304,-39.9085,-37.6614,-35.8902,-45.7548,-46.8731,-34.8785,-35.3054,-32.719,-36.242,-39.7507,-47.0045,-45.5389,-42.0985,-41.736,-44.7271,-52.0122,-28.3645,-31.4673,-41.6557,-39.2476,-31.8949,-35.7325,-41.4616,-33.848,-30.9279,-37.2369,-35.877,-45.877,-32.7762,-35.7329,-40.5033,-40.4809,-32.9545,-37.3056,-39.7509,-42.3239,-25.8694,-42.0064,-52.7902,-42.603,-43.2038,-39.3666,-36.4105,-39.8939,-43.5867,-42.5389,-38.9179,-40.695,-37.9557,-34.5176,-35.5415,-40.0281,-33.6909,-38.7303,-32.5441,-30.9251,-33.8926,-30.1937,-41.5671,-37.9102,-33.6993,-42.3962,-42.4212
-4236.94,1,0.619439,3,7,0,4243.12,61.0798,20.6955,164.369,38.9174,62.8374,47.4726,19.2879,52.9069,18.0364,86.9876,97.9664,25.0653,167.832,0.303594,0.141355,-35.2767,-38.0182,-33.4046,-48.5693,-40.5667,-38.0797,-40.1198,-46.3965,-40.0899,-35.4601,-50.0073,-37.885,-39.4751,-38.9571,-38.8143,-49.8894,-44.6412,-35.4586,-40.7419,-42.0804,-35.2623,-43.6312,-42.6249,-40.6082,-39.3968,-34.3123,-33.8859,-40.0715,-43.7666,-32.8984,-33.7761,-40.4245,-39.4663,-33.628,-39.3996,-32.8387,-31.0064,-48.8994,-36.6712,-41.7926,-46.4444,-41.4458,-35.6893,-38.731,-35.6371,-33.9126,-28.8955,-40.3209,-38.153,-37.4064,-46.8701,-46.745,-34.9714,-35.5463,-33.0826,-36.6934,-40.8448,-45.3878,-44.9557,-42.8775,-41.2222,-46.0096,-51.6509,-28.0045,-33.2571,-41.9534,-39.3836,-31.4231,-35.3296,-39.7925,-33.8476,-30.1133,-37.2848,-36.6796,-44.435,-31.0899,-34.8432,-41.3966,-40.293,-33.3246,-38.2819,-39.6358,-43.2455,-27.3698,-42.7674,-53.0283,-43.7141,-41.7904,-39.6023,-37.8315,-41.0637,-44.5359,-43.8625,-39.1086,-41.8468,-37.9778,-34.6952,-35.538,-39.7588,-34.1639,-38.8022,-32.2741,-30.7294,-34.3122,-30.8826,-41.2021,-38.9215,-33.8006,-41.9499,-43.7194
-4232.96,1,0.619439,3,7,0,4240.43,57.7381,30.148,174.138,55.3802,67.4513,51.8649,16.8519,51.2515,14.4382,96.2537,99.9173,27.8663,116.31,0.263504,0.163612,-36.2799,-38.6133,-33.1125,-49.3689,-39.699,-37.6089,-40.2128,-48.1086,-39.386,-35.6219,-49.7764,-38.6018,-39.9736,-38.378,-39.8006,-51.0061,-43.5621,-35.5581,-40.7361,-44.3545,-34.969,-44.131,-43.5777,-40.0368,-39.7953,-34.2691,-33.8531,-38.7507,-44.4732,-32.5427,-33.2054,-39.0535,-39.0512,-33.5663,-39.1808,-32.8174,-31.7878,-51.8683,-38.995,-44.3917,-46.1121,-40.7523,-35.3526,-39.653,-34.7281,-33.1425,-29.9635,-39.6941,-37.426,-35.6481,-45.9295,-46.4573,-34.4226,-35.7285,-32.6464,-35.9855,-39.5234,-48.3115,-46.3671,-42.5262,-41.9242,-45.2614,-52.3715,-28.0504,-31.0785,-42.355,-39.257,-32.1837,-35.2338,-42.0953,-33.4425,-30.8946,-37.1088,-35.7211,-46.5008,-31.9682,-35.7167,-40.6387,-40.3348,-32.5731,-37.4984,-39.4156,-42.0301,-26.0683,-42.1708,-53.1646,-42.5408,-42.8088,-39.2212,-36.3497,-39.7375,-43.8218,-42.8411,-38.7644,-40.9369,-37.5175,-34.3998,-35.8102,-39.6701,-33.6106,-38.4751,-32.2657,-30.8693,-34.0607,-30.1176,-41.2418,-37.9756,-33.7007,-42.0937,-42.7168
-4236.29,0.895288,0.619439,3,7,0,4242.3,53.0441,28.3776,188.625,54.8643,70.8913,51.5278,16.249,51.8411,14.1704,98.2646,96.184,27.2423,120.301,0.2617,0.175576,-36.3119,-38.7738,-33.173,-49.9862,-40.4323,-38.0055,-40.4345,-47.7542,-39.4959,-35.4076,-50.1237,-38.6579,-40.6366,-38.3792,-39.9133,-50.6536,-43.4961,-36.004,-39.8815,-45.7345,-34.9159,-44.1901,-43.8749,-39.8196,-39.4342,-34.0409,-33.3571,-38.7338,-44.3794,-32.8262,-33.2129,-39.5297,-38.7623,-33.4861,-39.5908,-32.5957,-32.2119,-52.0983,-38.7171,-44.2092,-45.8685,-40.3382,-35.3277,-39.3613,-34.6769,-32.8399,-29.7858,-39.6113,-37.0888,-35.5514,-45.9915,-46.6358,-34.2828,-35.0671,-32.4617,-36.095,-39.5413,-48.5966,-46.0897,-42.7873,-42.05,-45.5297,-52.1317,-28.0776,-30.8645,-42.2828,-39.2989,-32.1327,-35.185,-42.6961,-33.2883,-30.4267,-37.424,-36.0941,-46.723,-31.7374,-35.4378,-40.7883,-40.135,-32.3546,-37.7626,-39.4555,-42.1161,-26.0159,-41.973,-54.0506,-42.3383,-43.6052,-39.2504,-36.3419,-39.8483,-44.0957,-43.1727,-38.7787,-40.9009,-37.2549,-34.5234,-36.2699,-39.6601,-33.7184,-38.39,-32.1514,-30.79,-33.9908,-30.2808,-41.2582,-37.9452,-33.6342,-42.1666,-42.5897
-4236.2,0.910563,0.619439,3,7,0,4249.69,67.7143,22.1144,174.328,51.2064,67.972,57.2535,16.536,51.806,20.3986,87.8777,110.585,24.3888,160.749,0.290912,0.112623,-35.9415,-38.2964,-32.9376,-48.4973,-40.0108,-37.4437,-40.1917,-46.2231,-39.9835,-35.5591,-49.9657,-37.281,-39.4879,-38.4295,-39.7817,-50.1,-44.1899,-35.4211,-41.1001,-41.9454,-34.724,-44.0002,-42.8269,-40.4783,-39.7634,-34.6106,-34.2252,-39.4794,-44.0389,-32.9407,-34.1311,-40.0822,-38.8398,-34.3478,-39.7769,-33.4631,-31.706,-48.5143,-37.3949,-42.4353,-46.8412,-41.5197,-35.3001,-37.8992,-35.0302,-33.9473,-30.355,-40.2064,-38.1728,-37.1905,-46.743,-47.0929,-35.2986,-35.6079,-32.7242,-36.8155,-40.5682,-44.9186,-46.1172,-42.6795,-40.8765,-45.6197,-51.8142,-28.6043,-33.2545,-41.3818,-39.0855,-31.4527,-35.9992,-39.949,-34.7373,-30.4871,-37.2717,-36.5181,-44.2992,-33.1452,-34.777,-40.9628,-40.531,-33.8547,-37.7864,-39.8546,-43.0575,-26.9637,-42.1485,-52.6056,-43.8242,-41.0276,-39.3498,-37.2656,-40.3992,-44.0314,-43.1822,-39.1343,-41.3608,-38.4,-34.4051,-35.1755,-40.0901,-34.0716,-38.5458,-32.3207,-30.9964,-33.7896,-30.8949,-41.394,-38.4507,-33.8318,-41.9173,-43.717
-4232.29,1,0.619439,3,7,0,4243.78,53.6385,25.7261,181.645,52.3622,64.0043,50.8149,19.6261,52.9973,14.8491,94.8048,98.979,29.1981,129.481,0.238643,0.147736,-36.5425,-38.8516,-33.8872,-50.6217,-39.8203,-38.4474,-41.779,-47.4327,-39.5124,-34.7842,-49.9475,-38.5298,-40.401,-38.2647,-40.2954,-50.4929,-44.1592,-35.8442,-39.6798,-45.3629,-34.9695,-44.1706,-44.1432,-39.7534,-39.7382,-33.6396,-33.874,-38.675,-44.0105,-32.1115,-32.9478,-39.1662,-39.2929,-33.5085,-39.9217,-32.3863,-30.9693,-51.7178,-38.134,-44.3576,-47.185,-41.1606,-35.5618,-39.0884,-34.7638,-32.9668,-28.9975,-39.5507,-38.5087,-36.4538,-46.1578,-46.362,-34.2311,-35.4628,-32.1004,-35.9605,-39.5527,-47.6601,-45.1754,-42.1162,-41.8774,-45.6186,-52.2392,-27.5301,-31.3732,-41.6603,-39.2179,-31.9913,-35.1697,-41.6224,-33.3934,-29.9559,-37.7745,-35.8239,-46.7309,-31.4716,-34.3972,-40.8716,-40.4662,-32.2823,-37.9869,-39.543,-41.7759,-26.7628,-42.8323,-54.0419,-43.067,-42.5918,-39.0049,-36.8148,-39.5649,-43.7339,-42.6508,-38.4678,-40.9837,-37.4446,-34.7563,-36.4227,-39.4302,-33.3127,-38.122,-31.7855,-31.0635,-33.4514,-30.8938,-41.1192,-37.7134,-33.3046,-41.5237,-43.3031
-4229.49,0.998164,0.619439,3,7,0,4236.05,63.368,25.7882,171.801,44.1672,69.6758,59.3848,16.5968,53.996,17.7696,90.6174,106.632,28.5051,181.008,0.301867,0.13673,-35.8717,-37.9633,-32.932,-47.9161,-40.023,-37.4174,-39.6454,-46.4208,-39.5954,-35.7522,-49.5348,-38.4457,-39.1637,-38.6369,-39.4602,-49.8672,-43.8484,-35.2603,-41.5033,-41.9632,-35.0631,-43.7603,-42.7601,-40.3218,-39.6941,-34.6202,-33.9663,-39.4693,-43.959,-32.7932,-33.8369,-39.8468,-38.9696,-33.6685,-39.1982,-33.3194,-32.3332,-49.3779,-36.9338,-42.5925,-46.2713,-41.3508,-35.3586,-38.7827,-35.065,-34.0097,-30.2602,-40.0942,-37.6379,-36.9724,-46.2494,-46.7759,-34.965,-35.2122,-33.0535,-36.4583,-40.5438,-45.4306,-46.0933,-42.9676,-41.0645,-46.0862,-51.3788,-28.5138,-32.4761,-41.8525,-39.1298,-31.3622,-35.2127,-41.0193,-34.6212,-30.7735,-36.9679,-36.1177,-44.4233,-31.943,-34.9812,-41.1629,-40.1873,-33.4864,-37.7939,-39.4475,-42.9537,-26.9493,-42.7784,-52.1224,-43.1586,-42.52,-39.2824,-37.0904,-40.6351,-44.4848,-43.6009,-39.0591,-41.8052,-38.1221,-34.3711,-35.0449,-39.927,-33.8752,-38.5255,-32.3312,-30.4561,-34.1399,-30.3411,-41.2478,-38.7915,-33.8969,-41.9441,-43.0419
-4230.2,0.893665,0.619439,3,7,0,4235.17,61.8014,28.7183,184.308,53.0236,69.2234,51.0598,21.5115,54.5554,17.7734,102.512,112.026,29.3699,109.164,0.256417,0.149667,-36.1571,-38.4793,-33.4922,-49.7947,-39.4499,-37.4826,-40.8813,-47.7249,-39.3448,-35.0227,-49.692,-37.995,-39.7937,-38.0121,-40.0044,-50.8993,-43.7036,-35.457,-41.0706,-45.0016,-34.6646,-44.2332,-42.9065,-39.759,-39.7232,-33.5755,-33.9111,-38.4845,-44.3108,-32.1275,-33.171,-38.8507,-39.1524,-33.592,-39.2981,-32.708,-31.1803,-52.797,-38.7904,-44.3534,-47.021,-41.0487,-35.5327,-39.2507,-34.5249,-33.3777,-29.5196,-39.3399,-38.0163,-36.185,-46.369,-46.2249,-34.373,-36.323,-32.287,-35.7844,-39.7269,-47.9986,-45.8866,-42.267,-41.5813,-45.5703,-52.2076,-27.9356,-31.5151,-42.027,-38.8857,-31.8032,-35.3403,-40.8853,-33.9624,-30.5694,-37.5489,-35.5801,-46.2826,-32.3403,-35.73,-40.425,-40.4472,-32.6822,-37.4244,-39.2794,-42.3432,-27.1121,-42.8549,-53.7026,-43.4768,-42.3738,-38.7433,-36.7226,-39.4678,-43.8754,-42.7133,-38.3182,-41.0061,-37.5827,-34.4751,-35.5256,-39.6318,-33.3848,-38.2489,-31.9932,-30.7618,-33.8054,-30.5716,-41.3455,-37.7565,-33.4465,-42.0636,-43.2854
-4232.03,0.575886,0.619439,3,7,0,4239.66,66.4121,26.4046,186.236,54.6196,70.7316,54.8177,18.9828,57.5968,24.3454,97.7217,103.614,28.458,170.39,0.30679,0.133444,-35.0423,-37.7512,-33.3659,-48.2801,-39.8081,-37.5189,-39.7487,-46.6181,-39.4843,-35.4494,-49.8767,-37.8909,-39.3602,-38.6754,-39.2612,-50.3057,-43.6323,-35.4213,-41.1672,-43.2893,-35.056,-43.0473,-42.8306,-39.8343,-39.1026,-34.6224,-34.1076,-39.4545,-43.2648,-33.1308,-33.5273,-40.2171,-39.2819,-33.7216,-39.7819,-33.3572,-31.7439,-49.2141,-37.9694,-43.177,-46.5411,-41.0981,-35.5277,-39.1636,-34.8722,-33.4678,-30.6709,-40.1667,-37.7763,-36.7674,-46.5485,-46.6359,-34.49,-35.6225,-32.7884,-36.5128,-40.138,-46.4264,-46.7976,-42.6065,-40.9041,-45.8402,-51.3996,-28.5136,-32.8077,-41.7199,-39.5794,-31.9167,-35.6393,-40.1665,-33.7818,-30.3449,-36.9846,-36.8468,-45.999,-32.3296,-34.5369,-41.4393,-40.606,-33.1273,-38.6264,-39.2759,-42.3197,-26.5687,-42.6586,-53.2142,-43.1063,-43.3706,-39.423,-37.2979,-40.4353,-44.1255,-43.2066,-39.0611,-41.5034,-38.0831,-34.1157,-35.3578,-39.3497,-34.2573,-38.4515,-32.5062,-30.6394,-34.1832,-30.8876,-40.6696,-38.3591,-33.669,-41.6247,-43.1126
-4230.11,0.980944,0.619439,3,7,0,4237.78,66.8339,28.283,197.63,56.3322,73.509,54.3843,18.8118,60.8244,13.5381,103.694,111.707,31.3012,165.78,0.291896,0.134792,-35.7208,-38.0931,-33.4507,-47.9341,-40.3639,-37.9176,-40.0957,-46.9801,-39.7438,-35.5567,-49.5269,-38.658,-39.5895,-38.7629,-40.3525,-50.7023,-43.9299,-35.4657,-41.452,-43.5687,-34.808,-43.7316,-43.2926,-39.9329,-39.7634,-34.6705,-34.035,-39.0694,-43.8094,-32.1705,-33.2411,-39.6968,-39.3116,-33.5184,-39.0103,-33.2584,-31.492,-50.6425,-38.2169,-43.7499,-47.2215,-41.2351,-35.6097,-39.3458,-34.5515,-33.4264,-30.6391,-40.013,-37.8576,-36.6248,-46.617,-46.4198,-34.2791,-35.5244,-32.555,-36.0502,-39.875,-46.8585,-47.2481,-42.204,-40.7934,-46.0961,-51.4818,-28.4305,-32.4153,-41.3291,-39.2568,-31.822,-35.4114,-39.8531,-33.8962,-30.2995,-36.6491,-36.0919,-46.5409,-32.4879,-34.5871,-41.2392,-40.5347,-32.9637,-38.3461,-39.0465,-42.0951,-26.5377,-42.8641,-54.263,-43.1094,-43.2893,-38.92,-37.0551,-39.7533,-43.9286,-42.7966,-38.4477,-41.2396,-37.708,-34.1943,-35.3489,-39.178,-33.8071,-38.1132,-32.3302,-30.483,-33.9432,-30.0042,-40.6227,-37.9628,-33.3343,-41.5117,-42.8219
-4231.98,0.880243,0.619439,3,7,0,4236.69,62.7113,30.4075,190.44,46.4379,67.9006,52.737,18.4367,59.703,14.7508,105.133,118.135,28.8675,112.977,0.282186,0.160674,-35.7718,-37.8215,-33.2575,-48.8531,-40.259,-37.3934,-40.4388,-47.1553,-39.4795,-35.198,-49.5726,-38.051,-39.705,-37.9192,-40.0105,-50.6592,-43.8642,-35.1707,-41.9793,-44.3978,-34.7003,-44.345,-42.7064,-40.1647,-39.6824,-34.0304,-33.2732,-38.8096,-44.4487,-32.0621,-33.1318,-39.1154,-39.6033,-33.1146,-38.6856,-32.6342,-31.3921,-53.516,-38.1911,-43.9061,-47.2818,-41.2924,-35.7846,-39.9422,-35.0113,-33.5999,-29.6093,-39.7784,-37.9129,-36.1744,-46.868,-46.2441,-34.33,-35.6244,-32.7122,-35.5116,-39.9286,-47.9467,-46.7758,-42.0767,-41.0318,-46.0661,-52.3388,-27.967,-31.9896,-41.8326,-38.7103,-31.5559,-34.9501,-40.9087,-34.0123,-30.5761,-36.8072,-35.7085,-46.1217,-31.4318,-36.1998,-40.6045,-40.6182,-32.7366,-37.5679,-39.1732,-42.8996,-26.9279,-43.2464,-54.0206,-43.8786,-42.545,-38.6496,-37.4398,-39.7116,-44.1325,-42.9568,-38.1332,-41.2739,-37.2045,-34.5846,-35.4211,-39.6709,-33.281,-38.2981,-31.9237,-30.4086,-33.8695,-29.6771,-41.412,-38.1089,-33.4402,-42.416,-43.091
-4230.47,0.873222,0.619439,3,7,0,4241.51,60.4921,21.5457,167.647,45.9085,64.1022,58.5647,18.1901,52.3722,17.9688,96.707,102.83,27.2347,190.961,0.268596,0.142092,-36.0242,-37.9541,-33.5185,-49.1363,-40.0545,-37.8007,-40.468,-46.7681,-39.4627,-35.0903,-49.6301,-38.1696,-39.4148,-38.7632,-39.2322,-49.4987,-44.4365,-35.3852,-40.6007,-43.0024,-34.96,-43.8029,-43.1962,-40.2247,-39.3359,-34.0786,-34.0768,-39.3461,-43.8313,-32.5291,-33.4207,-39.8456,-39.2568,-33.4466,-39.5366,-32.4204,-32.2774,-50.414,-36.8293,-41.7149,-47.632,-41.4873,-35.4027,-38.5083,-35.2055,-33.4151,-28.9787,-39.9929,-38.6042,-37.2882,-46.6922,-46.4518,-34.6745,-34.9795,-32.3061,-36.2705,-40.1694,-45.971,-44.7237,-42.6931,-41.1371,-46.2458,-51.7678,-27.8338,-32.4917,-41.3731,-38.8498,-31.3417,-34.988,-41.9231,-34.2998,-29.9994,-37.4891,-36.1304,-45.4799,-31.3378,-34.8148,-41.1203,-40.8083,-32.7296,-37.6644,-39.4141,-42.7884,-27.5997,-43.1638,-53.2048,-44.0693,-43.0806,-39.1737,-37.4847,-40.7102,-44.455,-43.5069,-38.8007,-41.7587,-37.7033,-34.5172,-35.6607,-39.7507,-33.4914,-38.3904,-31.5664,-30.6604,-33.55,-30.837,-41.2015,-38.6641,-33.5562,-41.6838,-43.7185
-4228.06,0.808782,0.619439,3,7,0,4236.65,58.9115,27.8999,183.368,47.9444,64.9724,47.6558,18.081,54.024,14.9694,89.8821,103.067,26.6143,138.432,0.276036,0.145862,-35.9015,-38.2729,-33.2124,-49.1173,-40.2066,-37.8446,-40.5301,-46.9749,-39.5771,-35.2981,-49.8032,-37.9112,-39.9502,-38.3964,-39.9979,-50.6244,-43.9109,-35.5401,-40.5605,-43.9926,-34.8901,-44.0588,-43.2072,-40.2016,-39.8756,-34.1681,-33.6697,-39.045,-44.1749,-32.4352,-33.4203,-39.4204,-39.3012,-33.6732,-39.3996,-33.0144,-30.5814,-50.7068,-38.0226,-44.2072,-46.2006,-41.0038,-35.5915,-39.3454,-34.9111,-33.5903,-29.894,-39.834,-37.7513,-36.2024,-46.0936,-46.6567,-34.6002,-35.6537,-32.8756,-36.1344,-40.1069,-46.8525,-46.1393,-42.1851,-41.4894,-45.1868,-51.929,-28.1251,-32.034,-41.7699,-39.3378,-31.8185,-35.5304,-40.0997,-33.6321,-30.4988,-37.1076,-36.1214,-45.5943,-31.88,-35.0306,-40.8176,-40.178,-33.1115,-38.0105,-39.5288,-42.4105,-26.3018,-42.3686,-53.1939,-42.8584,-42.3309,-39.1555,-36.9399,-39.9133,-43.767,-42.7829,-38.7067,-41.0578,-37.7744,-34.5055,-35.6026,-39.5739,-33.8217,-38.3915,-32.4494,-30.7988,-34.0656,-30.3184,-41.1466,-37.9574,-33.5019,-41.9713,-42.7504
-4228.65,0.828589,0.619439,3,7,0,4237.27,63.477,25.7877,186.493,52.2567,63.6947,63.8164,19.1647,53.2526,17.6115,100.008,103.494,28.4827,168.64,0.266284,0.139852,-36.3116,-37.7116,-33.8289,-49.3974,-40.0925,-37.5544,-40.9345,-47.0695,-39.1074,-34.8708,-49.796,-37.9836,-39.7827,-38.4528,-39.5328,-50.0847,-43.9583,-35.4088,-40.2304,-44.3694,-34.8358,-43.6112,-43.5126,-40.0635,-39.5303,-34.107,-34.0892,-38.8183,-43.7029,-32.4088,-33.2715,-39.3916,-39.3519,-33.4684,-39.8085,-32.6051,-32.5138,-50.5212,-37.7671,-43.3457,-47.3215,-40.973,-35.3386,-39.0958,-34.8335,-33.1382,-30.2854,-39.7876,-38.5038,-36.6128,-46.406,-46.4549,-34.3573,-35.3999,-32.2522,-36.0455,-39.7548,-47.0284,-45.6105,-42.0586,-41.1328,-45.1586,-51.8182,-28.217,-32.1393,-41.3892,-38.9766,-31.5569,-35.2036,-42.41,-34.3397,-30.1777,-37.378,-36.0523,-46.4343,-31.8448,-34.807,-40.939,-41.1151,-32.6305,-37.808,-39.1014,-42.1482,-27.0308,-43.1057,-53.609,-43.647,-43.563,-39.0396,-37.0168,-40.1933,-43.8758,-42.6793,-38.7882,-41.507,-37.8868,-34.0108,-35.4018,-39.4227,-33.5701,-38.0955,-31.8153,-30.5111,-33.5856,-30.7495,-40.7798,-38.0026,-33.2807,-41.4533,-43.1708
-4230.86,0.972466,0.619439,3,7,0,4233.49,58.3446,26.669,174.441,44.7193,75.0134,52.6948,18.1701,55.8417,22.8922,95.6363,110.808,29.058,109.549,0.258457,0.128655,-36.0264,-39.0404,-32.8301,-49.7784,-39.0274,-37.6247,-40.703,-46.1544,-39.6052,-35.3667,-49.7684,-37.9553,-39.5851,-37.6266,-40.1638,-50.4178,-43.6689,-35.5369,-41.2795,-43.6001,-34.6128,-43.798,-42.8095,-39.5722,-39.5104,-33.8479,-33.9412,-38.85,-43.7087,-32.6034,-33.4469,-39.5152,-38.8893,-33.7165,-39.7016,-33.0814,-31.0517,-51.0331,-37.4963,-43.8842,-47.5242,-41.5721,-35.1478,-38.4839,-34.6197,-34.0554,-29.3934,-39.5679,-38.1012,-36.9781,-46.3346,-46.4381,-34.8853,-35.6922,-32.5144,-36.2197,-40.493,-46.2666,-46.3796,-43.3354,-41.4935,-46.927,-52.0264,-28.1974,-31.6895,-41.9719,-39.1759,-31.4725,-35.277,-40.0882,-34.7554,-30.6483,-37.628,-35.9221,-45.0311,-32.3925,-34.1964,-41.1129,-39.921,-33.3557,-37.8162,-39.5995,-42.6653,-27.4488,-43.1182,-52.3737,-43.0678,-41.2447,-38.8473,-36.8611,-39.7683,-44.6584,-43.5675,-38.6581,-41.6229,-37.8853,-34.7006,-35.5443,-39.7811,-33.4611,-38.274,-31.9944,-30.7299,-33.5071,-30.9193,-41.3644,-38.4411,-33.6863,-41.6367,-43.8089
-4231.15,0.963605,0.619439,3,7,0,4238.22,56.9878,27.1084,180.464,48.4833,73.7916,57.3848,18.4392,56.8686,26.3835,94.389,110.05,26.8161,139.188,0.26587,0.124284,-35.8079,-38.5989,-32.8922,-49.6471,-39.2019,-37.4611,-40.4871,-46.0687,-39.3557,-35.4161,-49.817,-37.4024,-39.6154,-37.9008,-40.1074,-50.4999,-43.5738,-35.7294,-41.1613,-44.1595,-34.6468,-43.4432,-42.9449,-39.462,-39.3377,-34.272,-34.311,-38.9947,-43.4336,-33.0132,-33.4832,-39.7849,-39.0999,-33.8163,-40.126,-33.1511,-31.3356,-50.6957,-37.2861,-43.8707,-47.4601,-41.3952,-35.1498,-38.6606,-34.7063,-33.8641,-29.9622,-39.7275,-38.3074,-36.8025,-46.1684,-46.5629,-34.833,-35.3116,-32.4693,-36.2999,-40.3678,-46.0601,-46.5251,-43.1996,-41.3465,-46.5324,-51.8284,-28.3046,-32.027,-41.6973,-39.3625,-31.53,-35.4274,-40.469,-34.6346,-30.5418,-37.4522,-36.3649,-45.498,-32.5738,-33.9955,-41.0616,-40.1276,-33.3229,-38.1164,-39.5172,-42.4405,-27.1626,-42.9439,-52.1102,-42.9978,-42.1898,-38.9883,-36.9391,-40.0081,-44.4448,-43.3933,-38.9131,-41.5117,-37.9446,-34.3976,-35.508,-39.6443,-33.6308,-38.26,-32.0562,-30.6591,-33.3596,-31.1828,-41.1025,-38.3185,-33.5936,-41.4996,-43.5324
