lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,psi,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,mu_gamma,sigma_gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110
# Adaptation terminated
# Step size = 0.245328
# Diagonal elements of inverse mass matrix:
# 0.0162851, 0.00535544, 0.0340903, 0.0159461, 0.0100249, 0.0160364, 0.00814843, 0.00520116, 0.0324414, 0.0143965, 0.0262255, 0.00996754, 0.487102, 0.0139038, 0.594178, 0.0537168, 0.065336, 0.0538195, 0.0343875, 0.251827, 0.161279, 0.0202536, 0.201722, 0.279137, 0.0484907, 0.0698622, 0.374306, 2.32938, 0.108153
-4199.03,0.976875,0.245328,5,31,0,4208.65,82.464,27.6982,193.484,55.4957,80.4768,80.6446,24.3693,60.2051,11.5205,138.466,177.446,30.9379,186.929,0.382451,0.0530357,0.248241,0.144261,0.218136,0.174526,0.0718128,0.0366479,0.318385,0.365304,0.0602874,0.0301542,0.273044,0.020941,-1.74663,1.70663,-34.3411,-37.2719,-32.2256,-45.8821,-40.0279,-42.4307,-38.3032,-49.5963,-39.599,-36.8535,-49.1325,-39.9883,-38.5387,-36.6777,-41.7462,-48.5589,-44.4014,-34.3124,-41.6785,-40.9025,-36.2488,-40.4657,-45.9858,-41.3627,-40.3734,-33.3202,-32.9,-38.9063,-41.7983,-32.7031,-31.7373,-37.8362,-38.2349,-32.3325,-37.7901,-32.0191,-30.7042,-47.3803,-37.4562,-40.7037,-45.7852,-42.9506,-36.0583,-38.3064,-35.8231,-33.9841,-28.3712,-39.6463,-37.0182,-36.8575,-46.6267,-46.0614,-34.811,-35.5562,-32.3428,-35.0521,-39.871,-43.3163,-44.7731,-43.3359,-39.9323,-47.2824,-51.6735,-28.0784,-32.6266,-43.0681,-40.1652,-31.0255,-33.7386,-36.7931,-34.33,-29.4122,-36.0652,-34.6877,-45.5269,-31.0478,-33.6504,-42.8384,-40.9975,-32.9572,-45.1201,-38.2375,-40.8709,-27.3584,-42.289,-54.0469,-42.6065,-38.1736,-39.3369,-38.7348,-40.4891,-45.0211,-44.515,-38.4692,-40.7729,-35.7185,-34.3651,-37.0656,-36.7806,-32.6825,-38.1955,-31.5515,-30.2634,-35.259,-29.371,-37.4079,-39.0445,-34.8869,-38.8476,-43.2622
-4196.19,0.997809,0.245328,5,31,0,4210.78,80.2907,33.9398,195.171,54.1329,84.1531,73.2697,23.5916,61.6473,24.5456,127.846,177.224,29.8061,234.344,0.354078,0.0878036,0.176603,0.185166,0.178854,0.247376,0.0670747,0.167474,0.340572,0.173892,0.0201119,0.0578906,0.18509,0.0427011,-1.67391,1.08461,-33.2335,-36.1619,-31.2458,-46.5809,-39.7851,-40.1329,-37.0214,-48.488,-38.1685,-36.1214,-48.6976,-37.013,-38.3128,-36.766,-42.6776,-49.2471,-43.0249,-34.7412,-42.4251,-43.5812,-34.8877,-40.4239,-44.5083,-40.2751,-40.1207,-33.0678,-33.0323,-38.4139,-41.6865,-33.7999,-31.6688,-38.1496,-37.9347,-32.3483,-38.5794,-32.8308,-29.8056,-50.3089,-37.4742,-42.61,-44.5894,-42.0249,-35.7662,-38.2826,-35.039,-34.4909,-28.9306,-38.6686,-36.2074,-36.57,-44.8768,-46.2873,-34.7755,-35.7071,-32.8338,-34.8159,-40.2828,-43.1877,-45.8161,-45.2939,-40.8244,-48.8087,-50.8327,-27.6772,-31.8409,-44.2961,-40.1498,-31.831,-34.1387,-36.5519,-34.5488,-30.2302,-37.3068,-35.0276,-44.3802,-30.8925,-34.7597,-42.5212,-39.2205,-33.7769,-43.9227,-38.6208,-41.4631,-28.0915,-42.1594,-51.3541,-42.6064,-40.5542,-39.0281,-38.2588,-40.6368,-46.056,-46.2515,-38.2844,-41.2428,-36.1265,-35.0784,-37.5991,-37.0952,-32.7182,-38.2417,-32.267,-30.7317,-35.709,-30.6913,-37.9877,-39.0065,-33.8569,-39.0839,-43.1179
-4190.78,0.964896,0.245328,4,15,0,4208.82,89.5398,29.9867,223.47,51.9926,83.6661,80.2812,23.3721,65.0167,13.9878,124.757,176.387,32.6118,167.713,0.342187,0.094656,0.252652,0.147831,0.236702,0.179203,0.046194,0.0669801,0.305412,0.227312,0.0940681,0.0590996,0.277169,0.0469342,-1.58895,0.703378,-34.2827,-37.0657,-32.1786,-46.7652,-40.2488,-40.9289,-38.7872,-48.5814,-39.3458,-36.0168,-48.817,-39.8575,-38.7331,-36.4567,-42.5839,-48.3485,-43.2706,-34.2151,-42.1575,-42.5052,-35.8058,-41.1594,-44.7931,-40.612,-40.6019,-32.8178,-32.3364,-38.0592,-42.1352,-32.2159,-31.9162,-37.6746,-38.1235,-32.4716,-38.0285,-32.5647,-29.4296,-49.8606,-37.6735,-41.9647,-45.899,-42.5158,-35.9529,-38.6618,-34.8766,-33.8578,-29.2336,-39.0454,-36.7445,-36.4566,-46.3665,-46.6754,-34.496,-35.8411,-32.2616,-34.8552,-39.6014,-44.7045,-46.5869,-43.0303,-39.7967,-47.6988,-51.5868,-27.7499,-32.2862,-42.6793,-39.3978,-31.0896,-34.1484,-35.1744,-34.1202,-29.3375,-36.6521,-34.5167,-46.0373,-31.3082,-34.6887,-42.0541,-40.8518,-33.3224,-43.6406,-38.2033,-41.319,-27.3297,-42.2463,-54.7802,-43.6647,-39.7605,-38.6806,-38.709,-39.9982,-44.7597,-44.018,-37.7913,-40.4094,-35.8027,-34.9342,-37.571,-37.2354,-32.5855,-37.3748,-31.6515,-30.422,-35.2906,-29.2793,-38.0383,-38.3017,-33.4884,-39.0509,-42.6391
-4192.38,0.779372,0.245328,4,15,0,4209.58,73.1699,33.3877,183.111,45.7767,74.5625,67.3149,20.6377,51.5266,20.2835,125.361,168.865,28.6344,208.528,0.392512,0.0263252,0.166525,0.247526,0.183646,0.231779,0.0801556,0.134417,0.325959,0.168809,0.0680877,0.0417221,0.184852,0.0434634,-1.49279,1.15076,-33.8342,-36.0411,-31.5691,-46.7918,-41.1978,-39.6345,-37.9496,-48.3021,-38.5471,-35.4508,-49.2254,-36.8643,-39.2122,-36.0599,-40.2104,-48.7306,-43.7336,-34.8364,-39.7493,-43.7031,-35.0161,-40.3481,-43.9912,-40.8324,-40.0412,-32.7,-31.8739,-38.6641,-42.0426,-33.6505,-32.3746,-38.258,-38.1933,-32.7764,-38.832,-32.802,-29.5319,-47.2579,-37.3783,-42.0545,-43.6457,-42.3157,-35.8948,-38.4285,-35.6802,-34.982,-29.0847,-39.456,-36.2903,-36.7621,-45.6891,-46.7382,-35.4117,-35.7087,-33.5379,-35.1887,-41.1573,-43.0671,-42.5081,-44.2643,-41.1916,-46.1311,-51.3879,-28.4711,-31.9919,-44.3854,-40.1839,-31.3015,-34.211,-36.9093,-35.023,-30.7052,-37.2064,-35.2526,-42.6509,-31.0408,-34.4947,-42.3187,-39.8712,-33.9119,-42.9354,-38.6646,-41.7112,-27.5682,-42.4597,-51.1009,-41.7824,-39.5441,-39.4107,-37.5643,-41.2008,-45.6505,-45.7654,-38.8448,-41.6616,-36.7596,-34.5824,-35.9033,-37.661,-33.1426,-38.9017,-32.7849,-30.4542,-36.0706,-30.1172,-38.3548,-39.3604,-34.9303,-39.7453,-43.1823
-4194.59,0.86412,0.245328,4,15,0,4211.15,73.9691,30.6376,197.429,54.8568,65.6881,78.2375,20.0895,52.1874,17.0974,139.369,164.815,31.8275,218.982,0.388975,0.132909,0.205866,0.170803,0.180759,0.268818,0.0382428,0.200815,0.3188,0.2327,0.0420787,0.0535865,0.229729,0.0389518,-1.91955,0.693851,-33.9057,-35.7482,-32.2228,-46.1963,-40.5151,-39.474,-37.8119,-49.0236,-38.8459,-35.8548,-49.0477,-38.7948,-38.6584,-36.3634,-40.2066,-48.6294,-43.8661,-34.1502,-40.7919,-42.4862,-36.1044,-41.1441,-44.1709,-40.8842,-39.9239,-33.4081,-32.5668,-38.7552,-42.4392,-33.2205,-32.2458,-38.0799,-38.7851,-32.7002,-38.5166,-32.1552,-28.2609,-48.5193,-38.5238,-42.0136,-44.7282,-42.4464,-36.1103,-38.9268,-35.8456,-34.135,-29.369,-39.4094,-36.8791,-36.7573,-45.7211,-46.5081,-35.035,-35.8533,-32.9508,-34.9584,-40.2164,-44.0374,-43.8451,-43.646,-40.2457,-46.0158,-51.4945,-28.4115,-31.977,-43.7109,-39.6599,-30.7792,-34.2178,-35.4717,-34.5194,-29.8832,-36.9903,-34.8951,-43.9433,-30.3913,-35.0407,-42.546,-40.7609,-33.3673,-42.3097,-38.6039,-41.8822,-27.7499,-42.3248,-52.8977,-43.0035,-39.7545,-39.5821,-37.805,-40.943,-45.3947,-45.227,-38.5116,-41.4096,-36.7338,-34.6063,-35.9757,-37.6354,-33.0288,-38.7819,-32.4569,-30.1057,-36.0714,-30.0121,-38.3224,-38.9694,-33.8963,-39.8732,-43.0775
-4192.05,0.999602,0.245328,4,15,0,4204.4,84.8836,30.4693,206.512,51.4015,84.0198,65.5215,25.9363,57.6134,18.6763,109.688,167.428,28.3892,182.868,0.318859,0.0841075,0.213721,0.184259,0.184543,0.120389,0.0758042,0.0776851,0.294429,0.303932,0.129291,0.0453718,0.224714,0.0517613,-1.81116,0.606634,-34.6918,-37.3142,-32.6198,-48.3784,-40.0331,-40.6325,-39.4423,-48.437,-38.6871,-35.5355,-48.8207,-37.344,-38.7991,-36.6265,-41.8954,-48.7913,-43.4451,-35.0437,-40.4832,-44.8449,-35.0393,-40.9816,-44.5022,-40.3403,-40.9509,-32.1818,-32.6726,-37.8953,-42.2327,-32.0956,-32.3881,-37.6122,-37.8104,-33.1356,-38.6863,-33.1631,-30.1529,-48.4584,-37.4189,-42.0743,-44.615,-42.1948,-35.5129,-38.059,-34.7718,-34.613,-29.2811,-38.8509,-36.9717,-36.3251,-46.0078,-47.0639,-35.1735,-36.4906,-32.4587,-35.1543,-40.3951,-44.5585,-44.894,-42.4777,-40.2873,-45.6182,-51.3018,-28.2207,-32.5362,-42.536,-39.596,-31.4111,-34.6472,-36.3743,-35.2838,-30.2085,-37.2433,-34.8538,-44.7696,-33.0535,-34.4825,-41.3182,-40.6833,-34.1888,-43.0942,-38.3796,-41.5108,-27.5365,-42.2425,-53.3446,-43.1755,-40.3499,-38.5553,-37.7917,-39.9881,-44.0403,-43.0178,-38.2571,-40.5387,-36.1957,-34.6084,-36.8967,-37.578,-32.9113,-37.5567,-32.1566,-30.7592,-35.4712,-29.9643,-38.3436,-38.123,-34.4638,-39.3531,-42.5871
-4197.03,0.910543,0.245328,4,15,0,4208.22,76.2277,30.8025,205.911,49.2694,89.4296,85.5097,21.0262,55.6324,14.9906,135.719,166.807,30.8312,206.733,0.371131,0.130814,0.16393,0.205587,0.159782,0.229305,0.0624276,0.199968,0.369951,0.13517,0.0226949,0.0621884,0.195906,0.0365059,-1.92418,0.805913,-34.1559,-36.8035,-31.6987,-46.6828,-41.4936,-40.289,-37.578,-47.924,-38.8876,-36.0713,-49.3865,-38.0562,-39.3994,-36.6341,-42.1509,-49.2044,-43.6745,-35.1692,-41.0912,-43.592,-34.8249,-40.7756,-44.7352,-40.4179,-39.6827,-33.1314,-32.5527,-38.4659,-41.7732,-33.6468,-31.9136,-38.6,-37.4202,-31.9585,-38.6119,-32.4154,-30.4551,-49.1624,-36.8296,-41.7932,-43.7683,-41.5595,-35.1718,-37.402,-35.1262,-34.2295,-29.2702,-38.7565,-36.0923,-36.8395,-45.0312,-46.1299,-34.6519,-34.9159,-32.5912,-34.9309,-40.6095,-43.0357,-45.0168,-45.6844,-40.7014,-48.0521,-50.5126,-28.4337,-31.4499,-44.7202,-39.8445,-31.2244,-33.6271,-36.8959,-35.3245,-30.1388,-37.5726,-34.9148,-43.3334,-30.6423,-34.4607,-42.6457,-39.3989,-33.7036,-43.3113,-38.4738,-41.9531,-28.7591,-42.2221,-51.969,-42.7775,-39.8477,-38.8332,-37.6986,-41.0694,-46.5249,-46.7336,-38.2629,-42.0837,-35.8568,-34.705,-37.1558,-37.3083,-32.8628,-38.1425,-31.9294,-30.0936,-36.1034,-30.4325,-38.0635,-39.3239,-34.1572,-39.2112,-43.5415
-4199.89,0.973264,0.245328,4,15,0,4211.65,87.4945,32.6106,210.271,50.8928,70.5987,63.0571,23.0814,59.2227,19.6421,122.168,156.359,30.1629,181.39,0.352041,0.023054,0.181571,0.162123,0.351926,0.164824,0.0918588,0.054584,0.277281,0.308207,0.104193,0.0677195,0.14905,0.0517481,-1.46176,0.860895,-34.2431,-36.2219,-32.5337,-48.1651,-40.4345,-39.6382,-39.4096,-51.2388,-38.2022,-35.0627,-49.0855,-36.4766,-39.0772,-36.632,-40.6851,-49.0349,-43.6165,-34.8862,-41.332,-44.548,-35.0972,-41.2528,-43.7367,-40.5155,-40.0801,-32.8024,-32.5272,-38.5505,-42.7809,-32.3935,-32.2377,-38.267,-38.8022,-32.9693,-38.5608,-32.8099,-29.7188,-49.573,-39.387,-42.9397,-45.5919,-41.6493,-36.3759,-39.2108,-34.9365,-33.5307,-30.0028,-39.6713,-36.9086,-36.482,-46.587,-46.6715,-34.249,-36.4354,-32.9663,-35.0641,-39.2739,-44.7985,-44.5264,-41.6138,-40.5523,-45.4139,-51.5525,-28.2159,-32.888,-42.4093,-39.6202,-31.4353,-34.4612,-36.7383,-33.0091,-30.1322,-36.8469,-35.3077,-47.4326,-31.393,-35.9368,-41.7652,-42.2916,-32.7729,-42.4525,-38.2913,-40.8007,-25.5797,-41.9246,-53.5909,-42.9966,-41.1221,-39.7155,-38.4904,-40.2985,-43.8611,-43.2214,-38.1598,-39.8838,-36.7149,-34.4251,-36.0441,-37.619,-33.1783,-37.9134,-32.8604,-30.3498,-35.3764,-29.6499,-38.5348,-38.0817,-33.9295,-39.9597,-42.4021
-4192.06,1,0.245328,4,15,0,4207.66,76.3227,29.488,209.96,41.5086,82.5733,75.2386,20.832,54.956,15.2013,119.825,151.406,32.8196,208.994,0.313586,0.122686,0.143985,0.149938,0.243623,0.240674,0.0724803,0.102737,0.356647,0.158475,0.05109,0.0653215,0.164831,0.0290695,-1.94366,0.851123,-34.8053,-37.1522,-31.4655,-47.7406,-40.5574,-40.7701,-38.4008,-48.1142,-38.4605,-35.4957,-48.9174,-37.9863,-39.3809,-36.4799,-42.4049,-48.6247,-43.351,-34.7777,-40.8995,-43.1061,-34.701,-41.2279,-44.8851,-40.2429,-40.2078,-32.6988,-32.6486,-38.1994,-41.9873,-32.9315,-32.0264,-38.4507,-37.3974,-32.1828,-38.7968,-32.6295,-29.8726,-49.2219,-37.1643,-42.7841,-45.2466,-41.4797,-35.1508,-37.3539,-34.779,-34.1156,-29.4947,-38.8064,-36.0389,-37.2406,-45.1794,-46.2293,-34.4109,-35.2827,-32.58,-34.9753,-40.0856,-43.5177,-44.8874,-44.8537,-40.8571,-48.1769,-50.6443,-28.2236,-31.3282,-44.0129,-39.7029,-31.087,-33.8256,-36.953,-34.8844,-29.9738,-38.0595,-34.6157,-44.2486,-30.5704,-34.3433,-42.237,-39.5436,-33.4355,-43.4244,-38.6322,-41.3491,-27.8882,-42.2643,-52.4729,-42.723,-39.4358,-38.6866,-37.6978,-40.5828,-46.3082,-46.1625,-37.9845,-41.5951,-36.3141,-35.0146,-37.3546,-37.4021,-32.7497,-37.5827,-31.9235,-30.2254,-35.5247,-30.4537,-38.3237,-39.0094,-33.8233,-39.2805,-43.04
-4193.4,0.991814,0.245328,4,15,0,4204.87,63.6048,31.4079,183.874,52.1047,67.7839,63.313,25.5852,54.9925,20.9646,113.503,151.706,30.0191,208.249,0.357817,0.0717362,0.116332,0.214035,0.223129,0.202224,0.0963554,0.0621734,0.284385,0.184487,0.133579,0.0722902,0.147512,0.0583212,-1.71811,0.695478,-33.8893,-36.242,-32.4583,-47.2653,-40.7796,-38.9558,-38.8255,-49.5472,-38.7979,-34.9725,-49.1225,-36.7419,-39.1649,-36.6721,-39.9293,-49.2354,-43.7406,-34.821,-40.6179,-43.7988,-35.1603,-40.9662,-43.3977,-40.0628,-40.1794,-33.1218,-32.8282,-38.8873,-42.7725,-32.906,-32.5251,-38.4829,-38.3875,-33.1486,-38.8867,-32.9492,-29.573,-49.8964,-38.1932,-42.4902,-44.6394,-41.8948,-36.5085,-38.3835,-35.2961,-34.3078,-29.3131,-39.7663,-36.8507,-36.9949,-46.6505,-46.6466,-34.8853,-36.2932,-33.3474,-35.2431,-40.134,-44.5081,-42.6744,-42.6018,-40.4792,-45.5907,-51.1145,-27.8782,-32.4495,-43.2284,-39.9792,-31.5222,-34.4467,-37.7522,-33.7105,-30.5708,-37.0209,-35.4433,-45.0592,-31.1672,-35.6261,-41.5115,-40.8004,-32.9717,-41.6839,-38.2112,-41.4007,-26.8267,-42.8392,-52.5762,-42.5557,-40.0623,-39.6463,-37.9746,-40.6774,-44.5753,-44.2355,-38.7429,-40.8176,-37.0826,-34.5758,-35.8375,-37.8681,-33.113,-38.7504,-32.8277,-30.3404,-35.302,-30.2008,-38.7549,-38.54,-34.0134,-40.1615,-42.8572
-4187.87,0.953599,0.245328,4,15,0,4207.11,67.9945,26.3257,196.532,51.4662,77.0116,69.4884,18.7327,50.3443,15.6456,111.645,139.925,29.5089,136.64,0.288715,0.08756,0.229147,0.144293,0.152984,0.186297,0.0968548,0.126526,0.321951,0.12239,0.0826606,0.066938,0.135636,0.0755211,-1.91565,0.701613,-35.1334,-37.9709,-31.9243,-48.3597,-39.9526,-40.0804,-39.3634,-47.6493,-39.1571,-35.4527,-49.2829,-37.422,-39.6752,-36.915,-41.7019,-49.6723,-43.1896,-35.2629,-39.9831,-43.3474,-34.4197,-41.592,-44.7823,-39.9522,-39.9099,-33.1146,-33.2404,-37.976,-42.4495,-32.5336,-32.4204,-38.1669,-37.4685,-32.7613,-39.0242,-32.4245,-31.0777,-48.8217,-37.2306,-42.5403,-45.0805,-41.1183,-35.3194,-37.6888,-34.7765,-33.9287,-28.9498,-38.9333,-36.6193,-36.4644,-45.6676,-46.4627,-34.7217,-35.1548,-31.9521,-35.3637,-40.3822,-44.8041,-44.4236,-43.6489,-40.8299,-46.5428,-51.6432,-28.1747,-31.3304,-43.1231,-39.1615,-31.0737,-34.2261,-38.8347,-35.462,-29.7529,-37.882,-34.6734,-43.9806,-31.5456,-34.2824,-41.7864,-40.0095,-33.3073,-41.6918,-38.7291,-41.9698,-27.8778,-42.537,-53.3127,-42.6056,-39.8791,-38.6728,-37.2041,-40.1097,-45.0442,-44.1567,-38.1105,-41.3358,-36.2956,-34.8448,-37.2566,-37.8355,-32.6587,-37.6825,-31.5753,-30.5483,-34.6986,-30.2307,-38.7733,-38.5793,-33.6728,-39.5448,-42.9279
-4191.01,0.989306,0.245328,4,15,0,4200.16,66.3776,30.0382,201.295,47.7468,70.1877,63.305,20.3657,50.7298,23.0104,106.707,140.66,31.5804,190.937,0.335389,0.0862249,0.209173,0.115115,0.211341,0.197808,0.0663342,0.193818,0.384767,0.125156,0.106767,0.081144,0.252914,0.0554409,-1.71188,0.719635,-33.7419,-37.3343,-32.438,-47.0784,-38.9777,-40.0301,-38.8255,-48.7756,-38.9334,-35.7107,-48.8968,-39.7924,-38.7272,-36.3988,-41.1497,-48.4142,-43.1451,-34.6465,-41.3747,-42.1354,-36.286,-41.1789,-44.3544,-40.1013,-39.6882,-32.7173,-32.7035,-38.3668,-42.2437,-33.1177,-32.3932,-37.924,-38.3249,-32.7611,-39.2846,-32.7703,-28.6291,-49.0938,-37.3947,-43.1503,-43.613,-42.3075,-36.3541,-38.6892,-35.045,-33.9175,-29.3671,-39.1985,-36.6265,-36.693,-45.2702,-46.6615,-34.5755,-35.1508,-33.0005,-35.4454,-40.1768,-44.8972,-42.9571,-43.1559,-40.9541,-45.8825,-51.3307,-27.9606,-31.3396,-43.8017,-40.1231,-31.6367,-34.6339,-36.2405,-33.6052,-29.804,-37.7851,-35.1085,-44.5101,-30.27,-35.1428,-42.2672,-40.3839,-33.1038,-42.9956,-39.0022,-41.8757,-27.17,-42.3755,-52.7143,-42.5352,-39.1174,-39.4405,-38.1519,-40.7321,-44.7637,-44.3848,-38.5345,-41.1212,-36.6504,-35.397,-37.983,-37.802,-33.2703,-38.172,-32.3093,-30.8384,-36.1998,-30.5721,-38.7727,-38.4773,-33.6236,-40.0247,-42.3103
-4192.63,0.85697,0.245328,4,15,0,4207.88,70.2342,26.1704,190.624,50.6306,77.6854,70.6116,20.8844,54.2373,17.5592,110.412,145.942,23.2717,136.136,0.291478,0.0853332,0.210921,0.161393,0.217598,0.172099,0.0747056,0.0485101,0.24176,0.119837,0.0673318,0.0631629,0.219214,0.0871183,-1.82813,0.615572,-35.179,-37.6561,-31.5267,-48.5226,-40.2637,-39.1834,-39.245,-48.0812,-39.265,-35.6758,-49.4284,-37.1901,-39.374,-37.085,-41.382,-49.8141,-43.484,-35.304,-40.2887,-43.4315,-34.4654,-41.9165,-43.8693,-40.1018,-39.8725,-33.1238,-33.313,-38.2883,-42.8225,-32.8424,-32.6908,-38.4586,-37.9211,-33.3907,-38.9084,-32.4144,-30.2554,-49.8291,-37.7135,-41.9865,-46.5481,-41.436,-35.0315,-37.6468,-35.0742,-33.8601,-28.9431,-39.0509,-37.3057,-36.2189,-46.0144,-46.7363,-35.1018,-35.7425,-31.8921,-35.5094,-39.9689,-44.313,-45.7887,-43.6016,-40.8356,-46.5834,-51.9872,-27.982,-32.0265,-42.3916,-38.9784,-30.8731,-34.5107,-37.9092,-34.8446,-29.8923,-37.346,-35.125,-45.0794,-32.5373,-34.627,-40.8396,-40.3346,-33.5948,-40.7974,-38.8374,-41.6536,-27.1877,-41.3521,-52.4461,-43.1969,-40.2514,-38.8708,-37.3982,-40.3089,-44.8012,-44.0911,-38.3631,-40.395,-36.3977,-34.3333,-36.2797,-38.2699,-32.8561,-37.8179,-31.6986,-30.5016,-34.0117,-30.2023,-39.1947,-38.4779,-33.7412,-39.8516,-43.4331
-4189.46,0.983201,0.245328,4,15,0,4201.33,69.1692,30.4183,199.829,48.975,67.6867,65.8277,19.5367,52.9794,17.7296,105.631,143.799,34.8221,190.13,0.336889,0.113488,0.19655,0.170065,0.191286,0.207565,0.0808673,0.242303,0.309747,0.210955,0.109392,0.0921985,0.154013,0.0442856,-1.61025,0.556708,-34.3874,-36.6534,-32.8188,-47.5694,-40.2418,-38.952,-39.0531,-48.6609,-38.6994,-35.1987,-48.9603,-37.8883,-39.2792,-36.3763,-40.9557,-48.5411,-43.234,-34.5889,-40.9621,-43.4444,-35.3267,-42.115,-43.5986,-40.275,-40.3422,-32.9637,-32.2612,-38.4023,-43.1571,-32.4877,-32.7039,-38.0914,-38.4866,-32.8543,-38.9119,-32.9684,-29.5139,-49.7448,-37.6887,-43.1989,-43.7219,-41.7634,-36.4389,-39.0358,-35.0601,-34.0938,-29.6385,-39.2306,-36.6865,-36.7424,-45.5741,-46.8027,-34.6847,-35.4671,-33.1647,-35.2568,-40.2257,-44.913,-43.6818,-42.5338,-40.5901,-45.771,-51.0161,-27.9504,-31.7165,-43.226,-39.3334,-31.1881,-34.484,-37.0712,-34.0103,-30.2211,-37.6674,-34.8995,-44.1304,-30.5015,-35.7708,-41.8795,-40.2883,-33.2631,-40.8871,-38.7426,-42.2435,-27.2138,-42.8298,-53.1337,-42.8823,-39.5964,-39.2041,-37.6912,-40.2027,-44.5242,-43.9194,-38.1481,-41.1621,-37.0555,-35.2034,-36.5958,-38.2722,-33.0144,-38.2488,-32.5704,-30.3786,-35.8682,-30.1483,-39.3344,-38.4204,-33.5745,-40.4793,-42.092
-4189.63,0.776643,0.245328,4,15,0,4202.09,68.6333,29.1081,202.025,50.38,81.3389,68.5953,20.7157,53.0403,18.7089,110.196,145.753,27.1078,143.13,0.279821,0.101865,0.155442,0.134467,0.271281,0.210474,0.0773038,0.0619401,0.30574,0.115759,0.111289,0.0605096,0.203415,0.0928392,-1.84844,0.591143,-35.1397,-37.7545,-31.387,-48.6532,-39.6336,-39.9618,-39.0972,-49.1852,-38.9035,-35.5513,-49.1326,-37.6962,-39.2134,-36.9289,-41.6335,-49.4973,-42.9991,-35.1825,-40.3148,-43.908,-34.5758,-41.2968,-44.5667,-39.6904,-40.1034,-32.6381,-33.246,-37.8827,-42.4975,-32.9284,-32.2645,-38.1923,-37.3183,-33.1466,-39.1613,-32.5885,-29.538,-50.0065,-38.3438,-43.1665,-46.0022,-41.3821,-34.9529,-37.2192,-34.6192,-33.7314,-29.3591,-38.7081,-36.4862,-36.4835,-45.7822,-46.6618,-34.6987,-35.7816,-32.0865,-35.1201,-39.489,-45.1299,-44.723,-44.2338,-41.0956,-47.1728,-51.6172,-28.0804,-31.1083,-43.3796,-39.388,-31.1103,-34.3335,-37.5724,-34.415,-30.0893,-37.9026,-34.7668,-45.5424,-32.0631,-34.6503,-41.0666,-40.182,-33.149,-42.1745,-38.6832,-40.9053,-26.9836,-41.3845,-52.6862,-42.5429,-40.4486,-38.8914,-37.0899,-40.3415,-45.3236,-44.9237,-38.1922,-40.3642,-36.2625,-34.7105,-37.0863,-37.7881,-32.6642,-37.4736,-31.87,-30.5809,-34.653,-30.5153,-38.7259,-38.4816,-33.7192,-39.5017,-43.1733
