lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,gamma,log_psi.1,log_psi.2,log_psi.3,log_psi.4,log_psi.5,log_psi.6,log_psi.7,log_psi.8,log_psi.9,log_psi.10,log_psi.11,log_psi.12,log_psi.13,mu_psi,sigma_psi,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,psi.13,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110
# Adaptation terminated
# Step size = 0.285945
# Diagonal elements of inverse mass matrix:
# 0.047283, 0.00808208, 0.0267171, 0.0192037, 0.00799352, 0.0141784, 0.016759, 0.00549323, 0.0383427, 0.0386746, 0.0347925, 0.0114097, 0.200294, 0.0201165, 0.197517, 0.0430466, 0.0163944, 0.0832728, 0.0371985, 0.0534652, 0.113465, 0.0492986, 0.0650308, 0.158671, 0.0409211, 0.0256407, 0.089196, 0.0233717, 0.140292
-4207.86,0.993862,0.285945,4,15,0,4215.97,70.7794,27.9339,196.853,54.6009,65.4531,51.3546,22.7217,48.2558,17.1637,134.01,110.298,29.3335,206.793,0.12103,-0.967785,-1.14598,-1.21949,-1.0452,-1.66714,-1.65857,-0.820395,-1.68431,-0.59703,-0.455196,-1.301,-1.25092,-1.5149,-1.12588,0.341163,0.379924,0.317911,0.295381,0.351621,0.188787,0.190411,0.440258,0.185573,0.550444,0.634324,0.27226,0.286242,0.219829,-34.082,-41.0105,-33.1965,-47.6212,-40.002,-36.9731,-39.1758,-45.6422,-40.1136,-36.2073,-49.5263,-38.9079,-40.1285,-39.0598,-38.7437,-49.9433,-44.3483,-36.5043,-40.2284,-44.1489,-34.6438,-43.2773,-42.463,-39.5358,-39.5658,-33.3763,-33.8538,-38.9661,-42.5891,-32.2528,-32.9856,-39.6087,-38.4802,-33.3037,-39.1594,-32.4597,-29.6198,-49.9889,-36.4764,-42.9488,-45.0729,-42.0526,-35.05,-37.2309,-35.0641,-33.7784,-30.9457,-39.4721,-38.943,-37.5175,-45.4096,-46.1361,-34.6925,-34.8521,-32.7223,-35.7786,-40.2599,-45.7164,-43.0186,-43.3608,-42.2209,-47.7441,-50.5795,-28.1175,-31.4313,-41.3828,-39.4172,-31.2638,-35.2718,-40.4057,-33.9642,-30.7038,-37.5422,-35.9231,-44.3731,-31.0283,-33.1137,-41.5932,-40.7052,-32.6318,-38.5727,-39.1599,-42.257,-27.4312,-43.8154,-52.2236,-43.669,-42.2384,-38.9146,-36.6477,-40.4132,-44.7881,-43.8033,-38.6177,-41.8622,-37.9421,-33.7758,-34.172,-39.0007,-33.7234,-37.965,-31.7583,-30.4856,-33.1803,-30.3844,-40.7143,-38.7594,-33.0098,-41.7465,-43.8993
-4208.33,0.881224,0.285945,4,15,0,4218.71,80.1453,27.5103,184.332,56.2692,61.2815,49.8859,23.929,50.2438,16.358,127.547,110.22,32.2917,136.608,0.143646,-0.903889,-1.32422,-1.24898,-1.30613,-1.65869,-1.52117,-0.889898,-1.66942,-0.977295,-0.759518,-1.18534,-1.43044,-1.27525,-1.39579,0.456031,0.404992,0.266009,0.286797,0.270866,0.190389,0.218457,0.410697,0.188356,0.376328,0.467892,0.305641,0.239204,0.279362,-33.8662,-39.9169,-33.9415,-49.2396,-39.3339,-37.1579,-40.4109,-46.8767,-39.861,-35.6884,-49.7887,-39.8028,-39.7515,-38.0398,-38.5114,-50.1516,-44.2622,-35.4942,-40.6224,-43.2867,-35.0236,-43.2717,-42.8143,-39.4578,-39.3398,-33.0317,-33.5109,-38.6545,-42.6819,-32.0461,-32.3414,-38.6968,-39.1262,-32.8625,-39.1036,-31.8973,-30.2491,-51.6572,-37.9937,-43.7533,-45.6315,-41.9233,-35.3518,-38.3766,-34.9522,-32.7804,-29.9024,-39.3507,-39.0539,-37.0358,-45.7293,-45.8001,-33.8961,-35.5349,-32.3259,-35.6553,-39.3803,-47.6747,-44.0032,-42.7959,-42.041,-47.5671,-51.6094,-27.2287,-30.7839,-41.9028,-39.4938,-32.1763,-35.069,-41.456,-32.3538,-30.3253,-37.6665,-35.8479,-46.902,-30.586,-33.9785,-41.6298,-41.1242,-31.8833,-38.3074,-38.9333,-41.5375,-26.9628,-43.8663,-53.4545,-43.8056,-41.5956,-39.0523,-36.9174,-39.8474,-44.2516,-43.3207,-38.4193,-41.7491,-37.5138,-33.7588,-35.2055,-38.7174,-33.7516,-37.9511,-31.6031,-30.9393,-33.5657,-30.4719,-40.5858,-38.3091,-32.7782,-41.6794,-44.018
-4213.28,0.775413,0.285945,4,15,0,4230.61,76.3439,26.0615,204.24,53.2099,69.9868,65.5208,18.2942,56.7616,22.8796,138.676,138.232,26.542,129.742,0.105212,-1.23565,-1.20626,-1.37881,-1.17596,-1.65918,-1.32422,-1.18381,-1.50354,-1.26264,-0.802557,-0.98205,-1.38313,-1.35666,-1.16731,0.198545,0.290647,0.299316,0.251879,0.308524,0.190295,0.266011,0.306111,0.222342,0.282906,0.448181,0.374543,0.250792,0.257519,-35.5197,-38.8606,-33.2104,-48.7408,-40.299,-36.6843,-40.7406,-44.709,-39.9061,-35.6574,-50.2955,-37.1749,-40.1144,-37.2795,-38.8962,-50.0604,-44.3302,-35.5758,-41.1974,-44.6297,-33.7329,-43.2443,-42.8306,-39.7797,-38.9095,-33.6296,-33.8958,-38.6338,-42.5797,-33.0892,-32.819,-39.963,-38.9966,-32.9977,-40.4394,-31.9282,-30.0848,-50.3734,-37.0857,-43.3326,-47.8489,-41.3134,-34.5068,-37.4871,-34.7501,-33.2825,-30.4981,-39.524,-39.2498,-37.4461,-46.7111,-45.7947,-34.2674,-35.0323,-32.0315,-35.7979,-40.3568,-45.8382,-46.0243,-43.5123,-40.8049,-47.8011,-51.6826,-28.4686,-32.2316,-40.9436,-39.263,-31.3339,-35.3453,-40.9967,-34.2305,-30.1687,-37.6765,-36.895,-46.4876,-31.5787,-33.2114,-41.9312,-41.2985,-32.7163,-38.0147,-38.972,-42.7341,-27.7447,-43.7779,-54.1444,-44.4953,-41.2604,-38.6134,-37.1638,-40.1287,-44.9029,-43.5819,-38.6105,-42.2597,-37.8012,-33.6301,-34.4673,-39.0007,-33.6707,-37.6708,-31.2809,-30.5301,-32.7736,-31.0496,-40.6137,-38.4583,-32.7295,-41.3889,-44.696
-4206.75,1,0.285945,4,15,0,4220.83,68.5946,26.9535,189.729,47.4983,59.5515,57.8549,21.7716,49.9401,14.4013,109.637,117.117,32.1651,200.7,0.132549,-1.32806,-1.43327,-1.20848,-1.46492,-1.75316,-1.48044,-1.1249,-1.58312,-1.06188,-0.99569,-1.08862,-1.20315,-1.47709,-1.46423,0.267488,0.264991,0.238528,0.298651,0.231097,0.173225,0.227538,0.324684,0.205334,0.345805,0.369468,0.33668,0.300248,0.228301,-34.756,-39.2526,-33.01,-49.7215,-40.0237,-37.5808,-39.8261,-46.5021,-39.3305,-36.2556,-49.0687,-38.863,-39.3304,-38.7463,-39.1173,-50.2759,-44.0827,-35.6683,-41.0983,-43.2716,-34.7886,-44.2196,-43.0407,-39.9129,-39.8176,-33.574,-34.5374,-38.8721,-43.1469,-32.3149,-32.8725,-38.9209,-38.9876,-33.1082,-38.8772,-32.3533,-30.6167,-50.3905,-37.5445,-43.7297,-45.509,-41.3266,-34.9803,-38.5601,-34.5982,-33.1448,-30.4141,-39.3267,-38.7582,-36.687,-45.1894,-46.2375,-33.9847,-35.6528,-32.4934,-35.8441,-39.7717,-46.1768,-44.0594,-42.9771,-41.7934,-46.6994,-50.5646,-27.6287,-31.3348,-41.6157,-39.3359,-31.4063,-35.1673,-41.6284,-33.3916,-30.7472,-37.4175,-35.7263,-46.3784,-30.2411,-34.004,-41.3481,-40.7872,-32.2383,-38.1334,-39.2824,-41.9293,-27.1429,-43.5925,-51.5292,-43.4605,-42.9771,-38.9443,-36.4519,-40.1115,-44.1339,-43.0309,-38.5738,-41.9272,-38.002,-34.558,-35.0376,-39.2859,-33.5527,-37.8139,-31.8959,-30.5384,-33.7022,-30.3733,-41.2108,-38.2483,-32.7257,-41.9773,-43.3449
-4210.36,0.706914,0.285945,4,15,0,4220.98,59.3721,29.7031,196.4,54.7122,63.5743,57.0669,20.3438,48.2483,15.1516,127.726,125.728,32.4546,176.164,0.116448,-1.26144,-0.990546,-1.19698,-1.31527,-1.73323,-1.36458,-1.0378,-1.72345,-1.22597,-1.05586,-1.18502,-1.15963,-1.59262,-1.12992,0.259773,0.283246,0.371374,0.302106,0.268402,0.176713,0.255487,0.354232,0.17845,0.293473,0.347894,0.30574,0.313603,0.203393,-35.5829,-39.327,-32.7449,-48.6356,-39.8327,-37.0506,-39.52,-46.1455,-39.8575,-35.9798,-49.2332,-38.4964,-39.5461,-38.193,-39.5639,-49.7073,-44.942,-36.1372,-40.8419,-43.5114,-34.5628,-44.5799,-43.1594,-39.3601,-39.3529,-33.4782,-34.2731,-38.7018,-43.1884,-32.5692,-32.7789,-39.3322,-38.524,-33.3687,-39.2605,-32.6651,-29.2675,-51.4913,-37.9435,-42.1655,-46.9242,-42.3592,-35.5426,-37.1132,-34.6792,-33.501,-30.6146,-39.6846,-39.364,-37.6205,-46.4958,-45.9203,-34.3587,-35.1589,-32.0965,-35.5688,-40.0569,-45.6783,-42.2393,-42.9179,-41.6156,-47.9313,-50.842,-28.2045,-31.5554,-40.9138,-39.0852,-31.2452,-35.1874,-40.6904,-33.9532,-30.092,-37.4788,-35.7049,-45.3546,-31.2452,-33.105,-41.6916,-41.2526,-32.2918,-38.0232,-39.317,-42.3041,-27.6605,-44.2624,-53.3814,-44.0509,-41.4531,-38.7151,-36.8752,-40.0173,-44.8378,-43.5991,-38.2341,-41.9422,-37.828,-34.2485,-33.8705,-39.2774,-33.3871,-38.1577,-31.7047,-30.3536,-32.8891,-30.5149,-41.2476,-38.5805,-32.8637,-42.172,-44.5778
-4212.18,0.86958,0.285945,4,15,0,4228.8,67.9597,29.8087,200.329,51.1616,60.0831,64.9586,18.3656,50.87,15.4761,110.875,130.701,30.2688,216.86,0.130089,-1.35021,-1.3041,-1.1752,-1.33044,-1.76447,-1.3628,-1.36236,-1.61342,-1.34987,-1.12453,-0.964249,-1.11921,-1.59676,-1.47559,0.294964,0.259185,0.271417,0.308758,0.264361,0.171277,0.255944,0.256057,0.199206,0.259273,0.324806,0.381269,0.326538,0.202552,-36.4201,-38.4665,-32.6911,-48.608,-40.1757,-37.2612,-38.9689,-46.3045,-39.0149,-36.3367,-48.9414,-37.9594,-39.1121,-38.8435,-39.7515,-50.3825,-44.2572,-35.6911,-41.5804,-43.9257,-34.4528,-45.1124,-43.6675,-39.9839,-39.7296,-33.9287,-34.981,-38.6779,-43.4918,-32.9274,-32.8093,-39.057,-39.1677,-32.9838,-39.2339,-32.5217,-30.7973,-51.3693,-37.8342,-43.3589,-46.3632,-41.0881,-34.8142,-38.6202,-34.5287,-33.1097,-31.1937,-39.3565,-38.9756,-36.4306,-45.3754,-46.238,-33.8393,-35.3588,-32.4802,-35.572,-39.6951,-46.2465,-44.0881,-42.9262,-41.5258,-46.7693,-50.5013,-27.9941,-31.5021,-41.1887,-39.1532,-31.328,-35.0924,-42.2707,-33.5423,-30.6743,-37.056,-35.9978,-46.9379,-30.2015,-34.0317,-41.1423,-41.1009,-32.2728,-37.7312,-39.4347,-41.9919,-27.0099,-43.6364,-51.5136,-43.7911,-43.8398,-38.7248,-36.5546,-40.2281,-44.2793,-43.0547,-38.4699,-41.9698,-37.7802,-34.4995,-34.7349,-39.5296,-33.4272,-37.7032,-31.8603,-30.4244,-33.3218,-30.5819,-41.515,-38.1955,-32.6458,-42.3714,-43.4492
-4211.15,0.98667,0.285945,4,31,0,4224.16,70.5096,29.2626,196.156,53.1531,70.1271,53.2607,25.6622,50.3163,23.1855,150.173,135.736,29.0944,211.732,0.108292,-1.24531,-1.36265,-1.39584,-1.16591,-1.61075,-1.70349,-0.94437,-1.72787,-0.862278,-0.446246,-1.17168,-1.52798,-1.31475,-1.14099,0.331298,0.287852,0.255983,0.247626,0.311638,0.199738,0.182047,0.388924,0.177663,0.422199,0.640026,0.309846,0.216974,0.268542,-34.1741,-40.6481,-33.6067,-48.0818,-38.9792,-36.4424,-40.5142,-45.5826,-39.1379,-35.343,-49.2058,-38.459,-39.626,-38.2458,-38.6695,-50.295,-44.181,-35.7967,-40.9233,-44.7639,-34.1521,-43.5012,-41.8603,-39.3974,-39.549,-32.6147,-33.9335,-38.1986,-42.4617,-31.948,-32.8254,-38.4777,-38.6465,-33.3239,-39.6932,-31.9727,-29.903,-51.9609,-36.2691,-44.4278,-45.8827,-42.0119,-34.8324,-37.3741,-34.8421,-33.8655,-30.3238,-38.827,-39.4567,-37.3523,-44.9056,-45.8763,-34.7711,-35.2427,-32.3441,-35.704,-40.4116,-45.9899,-43.4169,-43.5212,-42.5636,-47.4794,-51.2766,-28.134,-31.3714,-41.235,-39.2526,-31.3735,-35.4034,-40.596,-34.388,-30.9028,-38.1801,-35.8888,-45.0895,-32.2886,-33.8529,-41.3055,-41.2601,-32.9423,-37.976,-39.3373,-42.3371,-28.0935,-44.558,-52.0484,-44.4095,-42.2894,-38.5586,-36.6283,-40.1119,-44.6603,-43.5457,-38.5056,-42.1396,-38.0165,-33.753,-34.3039,-39.455,-33.623,-37.7034,-31.4132,-30.8411,-32.8607,-30.5774,-41.4036,-38.4256,-33.2258,-42.0103,-44.2107
-4211.3,0.940806,0.285945,4,15,0,4226.64,66.1819,27.6912,190.252,62.6927,63.8222,54.4307,24.6048,62.3231,15.6656,110.309,120.696,32.5462,138.27,0.14001,-1.26273,-1.33682,-1.2789,-1.14579,-1.81097,-1.46478,-0.861379,-1.30742,-1.32538,-1.06704,-1.15103,-1.15226,-1.56907,-1.46719,0.316957,0.282882,0.26268,0.278342,0.317971,0.163495,0.231128,0.422579,0.270516,0.265701,0.344024,0.316312,0.315924,0.208238,-35.6009,-39.0479,-32.6789,-47.2802,-39.8769,-38.0604,-38.6587,-47.1832,-40.2759,-36.5276,-49.1652,-38.3189,-39.2959,-38.7787,-39.7409,-50.9332,-43.7404,-35.5029,-42.5769,-43.966,-34.497,-43.9471,-43.6074,-39.5226,-39.862,-34.5685,-34.3756,-39.0138,-43.6202,-32.6542,-32.6534,-39.9929,-38.6598,-33.0153,-38.8885,-32.3084,-29.7353,-51.6066,-38.4038,-43.6056,-46.0849,-41.1947,-35.1109,-38.6241,-34.3102,-33.0912,-29.9618,-39.6483,-38.1114,-36.5875,-46.3677,-46.0458,-33.9219,-35.8084,-32.3614,-35.4586,-39.456,-47.0952,-47.1037,-42.8996,-40.6539,-47.5306,-50.9358,-27.3595,-32.0929,-41.8094,-39.1171,-31.6341,-34.9528,-41.2389,-33.0179,-30.6753,-36.8543,-36.3042,-46.9438,-30.1507,-34.5419,-41.194,-40.2716,-31.9742,-38.6653,-38.7988,-41.9566,-26.8019,-42.8668,-52.9489,-43.1724,-42.6132,-38.8127,-36.6915,-39.6444,-44.2715,-43.1079,-38.275,-41.2154,-37.336,-34.734,-35.5882,-38.7313,-33.2078,-37.8051,-31.8839,-30.7141,-33.662,-30.3958,-40.4885,-38.1359,-32.4886,-41.6308,-43.3673
-4200.86,0.965999,0.285945,4,15,0,4217.44,61.6548,27.8607,197.856,50.629,61.6415,59.1656,21.0191,53.5201,18.5782,134.843,130.506,28.1842,106.339,0.112769,-1.27621,-1.29979,-1.27149,-1.323,-1.80185,-1.51992,-1.13501,-1.56814,-1.09997,-0.770119,-1.08022,-1.22873,-1.27684,-1.22991,0.238152,0.279092,0.272589,0.280414,0.266336,0.164993,0.21873,0.321418,0.208433,0.332881,0.462958,0.339522,0.292664,0.278917,-34.7733,-39.6355,-32.5584,-49.3337,-39.8903,-37.0719,-40.1582,-45.6012,-40.0401,-35.983,-49.8406,-37.2435,-39.9435,-37.1846,-38.8113,-50.985,-44.2927,-35.7065,-41.0496,-44.0503,-34.0038,-43.8358,-42.9284,-39.3805,-39.3103,-33.2852,-33.9583,-38.5707,-42.7609,-32.5227,-32.762,-39.0404,-38.9068,-33.1445,-39.2139,-32.0127,-29.3538,-51.0456,-37.3408,-44.0676,-46.3557,-41.4689,-34.8631,-37.7777,-34.685,-33.4089,-30.6367,-39.4261,-39.3855,-36.9128,-46.3306,-45.9174,-34.2441,-35.388,-32.2405,-35.5769,-40.0625,-46.2993,-44.4248,-43.0875,-41.2136,-47.1092,-51.2171,-27.9642,-31.5094,-41.6757,-39.2192,-31.0925,-35.1457,-41.0536,-33.969,-30.5198,-37.1937,-36.1887,-46.0065,-30.6509,-33.2729,-41.2855,-41.0736,-32.2559,-38.3735,-39.2595,-42.1313,-27.569,-44.0621,-52.7546,-43.7014,-40.0275,-38.7189,-36.6686,-39.8186,-44.4625,-43.2532,-38.508,-41.9294,-37.816,-34.3025,-34.4741,-39.142,-33.4264,-37.7716,-31.5459,-30.4165,-32.7478,-30.3756,-41.0251,-38.1673,-32.5861,-41.9139,-44.4885
-4205.5,0.76709,0.285945,4,15,0,4213.36,67.25,31.6715,172.329,56.4795,58.6716,52.1645,20.0713,46.7328,17.0628,105.554,113.509,28.8067,204.041,0.11579,-1.01346,-0.887981,-1.34315,-1.28264,-1.68179,-1.42615,-1.06493,-1.67714,-1.16522,-1.04626,-1.11062,-1.32985,-1.52428,-1.21122,0.338113,0.362961,0.411486,0.261021,0.277305,0.186041,0.240232,0.344753,0.186907,0.311855,0.351247,0.329355,0.264516,0.217777,-35.0344,-39.3903,-33.1285,-48.5056,-39.5905,-36.6996,-39.9594,-46.3105,-39.7856,-35.8452,-49.4132,-38.5495,-39.6549,-38.4935,-39.1646,-49.5062,-44.6149,-35.8772,-40.2821,-43.169,-34.8784,-43.4493,-43.2945,-39.5701,-39.3317,-33.5739,-34.255,-38.9155,-42.929,-32.7067,-32.7372,-39.4343,-38.9904,-33.4184,-39.8689,-32.8695,-28.5125,-50.004,-37.5155,-42.635,-46.1627,-41.9872,-35.4516,-37.6257,-35.1134,-33.1839,-30.737,-39.7846,-39.365,-37.407,-45.6169,-46.0603,-34.3439,-35.0898,-32.3567,-35.8922,-39.8944,-45.1445,-42.7079,-42.9579,-41.8266,-47.2303,-51.1913,-27.9467,-31.6731,-41.2943,-39.6816,-32.2712,-35.4294,-40.6295,-32.865,-30.1603,-37.5806,-36.2214,-45.8635,-31.1491,-33.0425,-41.7765,-40.9069,-32.5179,-38.2202,-39.3911,-41.8623,-26.8359,-43.4214,-52.931,-43.345,-41.4152,-39.2829,-36.7758,-40.313,-44.3338,-43.3982,-38.8589,-41.7447,-38.0619,-33.7716,-34.4079,-39.0459,-33.7785,-38.2543,-32.0021,-31.1855,-33.2905,-30.8268,-40.756,-38.5517,-33.3538,-41.645,-43.9077
-4207.49,0.981919,0.285945,4,15,0,4214.73,59.6689,32.1075,173.003,63.2712,60.005,51.2943,22.1174,46.8703,17.8689,105.801,121.365,28.0403,206.393,0.118661,-1.31491,-0.891375,-1.30568,-0.979929,-1.73509,-1.36534,-0.905522,-1.65746,-0.963037,-0.907033,-1.26979,-1.41556,-1.42716,-1.19034,0.247738,0.2685,0.410092,0.270988,0.375338,0.176385,0.255294,0.404331,0.190623,0.381732,0.40372,0.280892,0.242791,0.23999,-34.4795,-39.4471,-32.8702,-46.8797,-39.3171,-36.2893,-39.1724,-46.7133,-40.129,-36.257,-49.2825,-38.9087,-39.4991,-38.6005,-39.4505,-49.5518,-44.3456,-35.8338,-41.4642,-42.7026,-34.8804,-44.0432,-42.6731,-39.7233,-39.8583,-33.5114,-34.1859,-38.669,-43.6905,-32.4041,-33.1718,-39.0648,-38.4697,-33.9517,-39.3965,-32.9188,-28.1248,-51.4258,-37.0284,-42.3783,-45.7216,-42.5389,-35.6254,-36.9506,-35.0843,-33.9351,-30.072,-39.3578,-38.9825,-37.6297,-45.3648,-46.475,-35.0587,-35.2464,-32.697,-35.7334,-40.1798,-44.8791,-43.0463,-42.883,-41.8183,-47.7076,-51.2945,-27.7034,-31.7464,-41.288,-39.0852,-31.861,-35.656,-41.0618,-33.4562,-30.6928,-37.6302,-35.5641,-44.2197,-31.7151,-34.3888,-41.0501,-40.467,-33.0372,-37.9349,-39.7335,-42.5906,-26.9942,-42.928,-52.1548,-43.9031,-41.3262,-39.0427,-36.7822,-40.1363,-44.4021,-43.5439,-38.5888,-41.2203,-38.1003,-34.0966,-34.2909,-39.6557,-33.5255,-38.3468,-32.0971,-31.2655,-33.4885,-30.5818,-41.4477,-38.6332,-33.3647,-42.4987,-43.7691
-4206.13,0.96008,0.285945,4,15,0,4217.31,74.7194,30.4602,179.587,46.9667,62.2829,59.8133,20.9524,52.6006,17.5956,140.555,121.344,27.8458,95.0618,0.126709,-1.0052,-1.05652,-1.25684,-1.47373,-1.65609,-1.52545,-0.953891,-1.63638,-1.21619,-0.644991,-1.04746,-1.14313,-1.38872,-1.23242,0.284002,0.365971,0.347663,0.284552,0.229071,0.190883,0.217523,0.385239,0.194684,0.296357,0.524667,0.350828,0.318819,0.249394,-35.2383,-39.815,-32.8389,-50.723,-39.9594,-36.7993,-40.3706,-45.8058,-40.0572,-36.024,-49.9479,-37.4594,-39.8045,-37.3016,-38.5055,-50.314,-44.7011,-35.7345,-41.0204,-43.7485,-34.2313,-43.1566,-43.0575,-39.5944,-39.2583,-33.1504,-33.5301,-38.9327,-42.4058,-32.7282,-32.2256,-39.2919,-39.4374,-32.5269,-38.9528,-32.0692,-30.051,-50.9018,-37.5605,-42.6924,-46.7194,-41.7659,-34.8166,-38.2349,-35.1493,-33.0487,-30.9061,-39.6886,-39.809,-36.9765,-46.7169,-45.4088,-33.9104,-35.2919,-32.2664,-35.4607,-39.7062,-46.6714,-44.1312,-43.5335,-41.3649,-48.0827,-51.6563,-27.775,-31.4176,-41.9753,-39.3501,-31.8633,-34.6358,-41.3665,-33.3777,-30.4064,-36.9837,-36.3344,-46.7744,-30.2477,-33.1424,-41.6222,-41.5103,-31.8944,-38.2265,-38.6618,-41.8484,-27.6482,-44.3577,-53.5284,-44.2386,-39.6243,-38.866,-37.2485,-40.1415,-44.6321,-43.673,-38.5537,-42.2643,-37.2626,-33.5198,-34.0907,-38.6299,-33.5055,-37.7766,-31.2856,-30.2719,-32.7727,-30.3187,-40.428,-38.5314,-32.9462,-41.3498,-45.0706
-4207.26,0.982778,0.285945,4,15,0,4217.85,58.4245,29.1386,187.028,51.6046,62.0406,43.2876,22.1331,48.9971,16.6707,117.717,127.67,30.1745,202.592,0.113297,-1.59976,-1.25737,-1.30147,-1.32337,-1.82943,-1.663,-0.956033,-1.7021,-1.03416,-0.881372,-1.17044,-1.4667,-1.4228,-1.46201,0.270822,0.201945,0.2844,0.272132,0.266237,0.160505,0.189569,0.384415,0.182301,0.355524,0.414214,0.310229,0.230684,0.241039,-34.3138,-40.643,-32.8485,-48.5942,-39.1355,-37.0916,-39.8473,-45.9763,-39.8142,-35.9044,-49.0443,-38.954,-39.3653,-38.4942,-39.3851,-50.0724,-44.3594,-35.6003,-41.3024,-42.8059,-34.5366,-44.5185,-42.8152,-39.6946,-39.8014,-32.8631,-33.8758,-38.7143,-43.1563,-32.0284,-32.7531,-38.8897,-38.3948,-33.5208,-39.2037,-32.3248,-27.2644,-51.6212,-37.1283,-43.8197,-45.8362,-42.1738,-35.1661,-37.1761,-34.7363,-33.6609,-29.9236,-39.0918,-39.0199,-37.3191,-45.1175,-46.2361,-34.5893,-35.3282,-32.4133,-35.5867,-40.18,-45.6833,-43.4881,-43.1645,-42.3192,-47.7579,-51.1915,-27.6623,-31.6254,-41.0895,-39.3302,-31.6269,-35.6209,-39.953,-33.4089,-30.732,-38.2061,-35.839,-45.0018,-31.2419,-33.639,-41.5377,-40.6761,-32.7448,-38.2797,-39.9761,-42.3034,-27.2318,-43.6392,-52.0774,-43.768,-41.4196,-38.7623,-36.6446,-39.8009,-44.4044,-43.3047,-38.4019,-41.6964,-38.0464,-34.5818,-34.7678,-39.5191,-33.4733,-37.9112,-31.9101,-31.0952,-33.2506,-30.512,-41.718,-38.42,-32.8785,-42.4977,-43.8307
-4204.58,0.877441,0.285945,4,15,0,4218.88,66.0035,24.6186,180.749,58.4117,57.1727,61.8338,20.2117,48.1415,16.8586,101.54,123.843,29.0734,168.671,0.121098,-1.21836,-1.35821,-1.3063,-1.20379,-1.77605,-1.45048,-1.08241,-1.55223,-1.33064,-1.00932,-0.969888,-1.24865,-1.46694,-1.40857,0.278888,0.295715,0.25712,0.270821,0.300053,0.169306,0.234458,0.338778,0.211775,0.264307,0.364467,0.379126,0.286891,0.23063,-36.2554,-39.0215,-32.83,-48.1611,-39.8028,-37.3913,-39.6451,-46.4556,-39.7725,-36.0193,-49.6521,-37.96,-39.5307,-38.1282,-39.2577,-50.0516,-44.1938,-35.4913,-40.8475,-43.0028,-34.6284,-44.4954,-43.4915,-39.9455,-39.8702,-33.7653,-34.35,-38.7732,-43.569,-33.0033,-33.1413,-39.1931,-38.8038,-33.3932,-39.9196,-32.3531,-30.5167,-49.8644,-37.4326,-43.4982,-45.5267,-41.2167,-34.9869,-37.827,-34.7732,-33.0462,-30.5017,-39.6053,-38.9099,-36.9622,-45.6128,-46.3864,-34.2688,-35.3365,-32.4658,-36.0112,-39.7358,-45.4315,-44.0818,-42.8294,-41.292,-46.4295,-50.9541,-27.7098,-31.6205,-41.6482,-39.2007,-31.3402,-35.3143,-42.0257,-33.1991,-30.5735,-37.5273,-36.3909,-46.1101,-30.4297,-34.0226,-41.1799,-40.7096,-32.3265,-37.6574,-39.3893,-42.0523,-26.733,-42.9399,-51.9123,-43.3997,-41.1472,-39.1593,-36.4627,-40.1566,-44.0576,-43.0951,-38.8411,-41.6401,-38.166,-34.4115,-34.971,-39.4709,-33.4874,-37.947,-31.8678,-30.8413,-33.4165,-30.9803,-41.2028,-38.2506,-32.8188,-41.9571,-43.6327
