Depth (cm),Cal age,Cupressaceae,Picea,Picea mariana,Picea glauca,Picea rubens/mariana,Abies,Larix,Pinus indeterm,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Pinus banksiana-t.,Pinus resinosa t.,Vesiculate conif.,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer negundo-type,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Corylaceae,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Kalmia t. ER,Ledum t.,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Saxifraceae,Rhus,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Urticales,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Caryophylaceaae,Rumex,Plantago,Polygonella t.,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Epilobium,Campanulaceae,Lamiaceae,Impatiens,Iridaceae,Sanguisorba,Other herbs, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,L. complanatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Dryopteris-type,Upland sum,Equisetum,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Lycopus-type,Utricularia,Pediastrum,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,PreQuat.,Pinus stomata,Tsuga stomata,Picea mariana t. stomata,Exotic count,Exotic spike
132,2156.403,2,2,0,0,0,0,0,0,32,3,71,0,0,0,34,0,0,1,58,0,0,2,7,2,0,234,6,4,4,0,0,2,0,0,19,0,1,40,2,0,0,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,551,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,534,85432
136,2273.59,0,2,0,0,0,0,0,0,35,3,65,0,0,0,37,0,0,1,79,0,0,7,5,4,0,231,8,4,1,0,0,2,0,0,8,1,0,33,10,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,560,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,235,85432
140,2390.777,1,1,0,0,0,0,0,0,33,5,56,0,0,0,35,0,0,4,70,0,0,5,6,6,0,227,6,5,3,0,0,2,2,0,10,0,2,42,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,4,548,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,127,85432
144,2507.964,1,0,0,0,0,0,0,0,32,6,75,0,0,0,32,0,0,0,48,0,0,5,24,6,0,213,4,3,0,0,0,1,1,3,19,0,0,32,1,0,0,0,0,4,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,546,10,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,183,85432
148,2625.151,1,1,0,0,0,0,0,0,30,3,87,0,0,0,34,0,3,1,60,0,0,3,8,3,0,222,7,2,3,0,0,3,0,1,22,0,2,43,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,553,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,157,85432
152,2742.938,1,1,0,0,0,0,0,0,21,2,64,0,0,0,28,0,0,0,60,0,0,6,5,9,0,240,9,3,5,0,0,1,1,0,16,0,0,52,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,542,20,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,85432
156,2873.491,0,1,0,0,0,0,0,0,32,4,77,0,0,0,50,0,0,1,63,0,0,7,7,4,0,237,7,4,5,0,0,3,1,0,25,1,0,68,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,0,0,0,1,624,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,272,85432
161,3029.35,2,2,0,0,0,0,0,0,35,4,62,0,0,0,27,0,0,0,62,0,0,4,11,6,0,230,9,4,4,0,0,2,3,0,21,0,0,51,2,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,561,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,96,85432
164,3121.784,2,0,0,0,0,0,0,0,39,1,82,0,0,0,36,0,1,2,53,0,0,3,2,6,0,203,6,3,2,0,0,0,2,0,21,0,0,60,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,543,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,123,85432
168,3243.126,4,0,0,0,0,0,0,0,40,8,49,0,0,0,33,0,0,1,56,0,0,5,17,2,0,247,4,3,1,0,0,0,0,3,18,1,3,55,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,571,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,140,85432
172,3366.032,0,1,0,0,0,0,0,0,27,3,51,0,0,0,31,0,0,1,56,0,0,7,6,5,0,252,4,4,1,0,0,1,1,1,25,1,0,42,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,542,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,149,85432
176,3490.74,1,0,0,0,0,0,0,0,17,3,95,0,0,0,34,0,0,2,84,0,0,5,11,6,0,226,4,9,6,0,0,3,1,1,19,0,0,44,1,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,4,602,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,130,85432
180,3615.448,6,2,0,0,0,0,0,0,28,3,77,0,0,0,38,0,0,3,62,0,0,3,2,2,0,209,8,7,1,0,0,0,0,0,24,3,0,52,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,5,554,17,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,139,85432
188,3864.864,1,2,0,0,0,0,0,0,25,4,68,0,0,0,45,0,0,4,48,0,0,9,3,2,0,221,5,6,0,0,0,3,3,0,25,1,0,45,0,0,0,0,0,6,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,548,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,164,85432
196,4114.28,3,2,0,0,0,0,0,0,35,4,52,0,0,0,45,0,0,3,57,0,0,6,9,2,0,228,5,8,0,0,0,0,0,2,34,0,0,40,0,0,0,0,0,3,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,557,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,213,85432
200,4238.988,2,2,0,0,0,0,0,0,21,5,61,0,0,0,30,0,2,4,65,0,0,8,4,1,0,226,11,9,0,0,0,0,1,0,18,0,1,40,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,3,546,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,3,1,0,0,0,0,0,277,85432
204,4363.696,0,1,0,0,0,0,0,0,22,2,58,0,0,0,33,0,0,0,66,0,0,8,4,3,0,249,11,4,4,0,0,2,0,0,22,0,0,54,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,571,13,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,209,85432
208,4488.404,0,0,0,0,0,0,0,0,24,2,54,0,0,0,25,0,2,1,69,0,0,15,6,5,0,247,7,3,2,0,0,1,1,0,27,1,0,56,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,576,18,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,103,85432
212,4613.112,1,0,0,0,0,0,0,0,19,3,49,0,0,0,22,0,0,2,51,0,0,7,9,5,0,248,16,3,0,0,0,2,3,0,24,0,3,77,1,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,7,581,25,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,112,85432
216,4737.82,0,0,0,0,0,0,0,0,17,2,53,0,0,0,28,0,0,1,78,0,0,3,8,8,0,270,10,6,0,0,0,1,4,0,18,0,0,64,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,600,27,0,1,0,0,1,0,6,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,89,85432
220,4862.528,1,0,0,0,0,0,0,0,19,3,60,0,0,0,23,0,0,0,57,0,0,3,13,3,0,253,12,4,0,0,0,3,4,0,14,0,3,75,1,0,0,0,0,5,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,578,31,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,112,85432
224,4987.236,1,1,0,0,0,0,0,0,28,3,46,0,0,0,25,0,1,0,48,0,0,1,8,6,0,270,4,3,0,0,0,2,2,0,24,0,0,64,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,4,565,26,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,85432
228,5111.944,5,0,0,0,0,0,0,0,25,2,52,0,0,0,32,0,1,0,74,0,0,8,8,5,0,228,10,6,0,0,0,1,0,4,25,1,2,70,0,0,0,0,0,6,0,0,0,1,0,0,1,3,0,0,0,0,2,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,597,38,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,111,85432
232,5236.653,3,2,0,0,0,0,0,0,28,7,47,0,0,0,40,0,0,0,61,0,0,7,11,3,0,239,9,5,0,0,0,1,5,1,12,0,0,58,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,571,37,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84,85432
236,5361.361,3,1,0,0,0,0,0,0,28,1,60,0,0,0,44,0,1,4,65,0,0,8,9,6,0,197,5,2,0,0,0,1,3,2,16,0,0,60,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,536,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,76,85432
240,5486.069,6,0,0,0,0,0,0,0,24,2,49,0,0,0,53,0,0,4,51,0,0,8,8,2,0,228,11,8,2,0,0,1,3,0,12,3,0,53,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,6,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,7,559,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103,85432
244,5558.193,3,1,0,0,0,0,0,0,26,4,61,0,0,0,83,0,0,0,58,0,0,8,12,4,0,215,8,1,3,0,0,3,3,1,11,2,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,585,32,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,77,85432
248,5617.108,1,0,0,0,0,0,0,0,35,2,45,0,0,0,58,0,0,3,63,0,0,6,7,3,0,274,12,3,1,0,0,4,1,2,20,2,0,49,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,5,609,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,114,85432
252,5671.267,1,1,0,0,0,0,0,0,10,5,48,0,0,0,40,0,2,0,45,0,0,6,10,4,0,234,11,8,3,0,0,3,3,0,16,4,0,70,2,0,0,0,0,8,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,4,0,0,0,3,560,39,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,150,85432
256,5723.349,6,0,0,0,0,0,0,0,21,3,54,0,0,0,63,0,1,0,39,0,0,10,10,4,0,243,11,0,1,0,0,2,3,0,21,0,0,50,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,572,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,135,85432
266,5851.431,0,0,1,0,0,0,0,59,1,0,7,2,2,0,38,2,0,0,35,0,0,4,1,1,0,146,13,4,6,0,0,1,0,3,6,5,0,35,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,5,391,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,7,0,4,1,3,0,0,0,0,23,42716
276,5981.888,1,0,0,0,0,0,0,65,1,0,0,0,1,6,37,0,0,0,30,0,0,4,0,3,4,119,9,3,3,0,2,0,0,2,6,2,0,23,2,0,0,0,0,0,2,0,0,1,3,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,12,2,4,0,0,0,0,23,42716
306,6385.135,0,0,0,0,0,0,0,45,0,1,2,5,4,1,61,0,1,0,48,0,0,6,6,2,2,169,11,3,1,0,0,2,0,3,6,4,0,58,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,11,4,2,0,1,3,0,29,42716
346,6919.071,0,0,0,0,0,0,0,50,0,2,1,3,8,0,32,0,0,0,23,0,0,4,0,0,2,120,4,6,0,0,1,1,0,0,0,3,0,23,0,1,1,0,0,0,5,0,0,2,0,4,0,0,1,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,309,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,4,1,0,0,0,0,30,42716
366,7229.107,0,0,0,0,0,0,0,68.5,0,4,0,0,0,0,59,0,0,0,42,0,0,2,4,2,0,196,5,2,6,0,0,0,0,0,1,1,0,30,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,446.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,74,83393
386,7510.393,0,1,0,0,0,0,0,70,0,3,2,0,2,3,45,0,0,3,25,0,0,8,3,1,4,157,7,9,1,0,0,1,0,0,2,4,0,24,0,2,1,0,0,0,3,0,0,2,1,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,3,404,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,5,3,4,0,0,0,0,35,42716
406,7776.614,0,0,0,0,0,0,0,55,0,9,3,0,0,0,54,0,0,1,33,0,0,3,0,2,1,171,8,5,1,0,0,0,0,0,2,3,0,33,0,0,0,0,0,0,3,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,4,0,2,0,0,0,0,61,83393
426,8038.973,1,0,0,0,0,0,0,69,0,9,1,3,4,1,41,0,0,0,30,0,0,13,7,8,2,169,6,3,3,1,0,0,0,0,3,2,0,27,2,1,0,0,0,0,5,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,427,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,0,2,0,0,47,42716
446,8314.756,0,0,0,0,0,0,0,59,0,12,3,0,0,0,51,0,1,0,25,0,0,3,2,2,0,161,6,4,0,0,1,1,0,0,3,2,0,20,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,0,0,0,88,83393
466,8574.815,0,0,0,0,0,0,0,55,0,7,2,14,6,2,51,0,0,0,30,0,0,1,0,1,2,125,8,5,1,0,1,1,0,0,2,1,0,20,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,355,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,3,1,2,3,0,0,0,0,0,37,42716
486,8855.462,0,3,0,0,0,0,0,25,0,3,0,0,0,0,23,0,0,0,46,0,0,1,0,3,0,171,9,4,0,0,0,0,0,0,0,1,0,26,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,88,83393
506,9137.081,0,0,0,0,0,0,0,73,1,12,10,15,5,4,33,0,0,0,17,0,0,6,2,2,0,121,3,2,0,2,1,1,0,0,0,2,0,8,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,341,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,0,0,0,0,20,42716
526,9354.009,0,0.5,0,0,0,0,0,189,0,20,3,0,0,0,71,0,0,0,21,0,0,4,0,0,0,167,0,6,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,509.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,59,83393
546,9606.894,0,0,1,0,0,1,0,72,1,10,1,15,11,1,25,0,1,0,9,0,0,3,3,4,0,125,5,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,26,42716
566,9953.216,0,1.5,0,0,0,0,0,190.5,0,13,2,0,0,0,50,0,1,0,22,0,0,3,0,0,0,92,4,7,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,60,83393
586,10299.54,0,5,4,0,0,0,1,160,1,45,16,40,21,9,46,0,0,1,19,0,0,13,2,1,1,44,4,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,462,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,2,0,7,0,0,0,0,0,0,27,42716
