Depth (cm),Cal age,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Juglans,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Other shrubs,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Impatiens,Other herbs,Dennstaeditia, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Selaginella,Monolete spore,Trilete spore,Upland sum,Eriocaulon,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Saggitaria,Pediastrum,Equisetum,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic count,Exotic spike
120,3473.463,,,,,30,3,1,134.5,,,,95,,21,10,2,3,2,59,11,14,1,9,,,1,1,15,1,,109,,3,,,1,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,3,,536.5,,,,,,,,,,,,,27,5,1,47,1,205,42716
140,4003.744,,1.5,,,46.5,11,1,60.5,,,1,117,,18,13,1,6,3,87,11,14,,10,3,1,5,,10,2,,84,5,1,,,1,,1,5,3,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,527.5,,,,,1,1,,,,,,,46,2,1,51,2,247,42716
154,4359.977,,1.5,,,51.5,5,7,46,,,1,104,,13,10,3,8,3,127,5,17,3,2,1,,4,,24,3,,86,2,,,,,,,2,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,534,,,,,,2,,,,,1,,29,5,,49,2,264,42716
174,4576.783,1,,2,,32,8,4,39,,,,104,,8,7,1,7,6,122,14,15,2,1,3,1,1,3,15,1,,111,,2,,,1,,,2,1,2,,,,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,1,,523,,,1,,1,6,,,,,,,31,4,3,59,4,210,42716
194,4781.491,,,,,19.5,1,1,61.5,,,1,136,,19,8,5,3,5,59,7,20,4,6,2,,4,,9,1,,148,1,1,,,1,,,3,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,535,,,,,,8,,,2,,1,,20,9,6,63,3,194,42716
214,4995.694,,,,,16,3,2,78.5,,,,119,,18,4,,4,7,55,12,11,,6,3,1,9,1,18,1,,145,,4,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,524.5,,,,,,5,,,,,3,,25,5,3,49,1,181,42716
224,5100.088,,0.5,,,5.5,2,1,118,,,,135,,11,3,,8,8,64,13,8,,7,3,,5,6,5,1,,134,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,544,,,,,,6,,1,,,,,18,6,2,58,1,236,42716
229,5148.278,,1,,,12,2,1,124,,1,,119,,8,,,4,4,70,11,11,2,4,6,,2,,8,,,122,,3,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,520,,,,,,6,,,,,4,,7,2,1,53,,132,42716
234,5339.447,,,,,11.5,,,287.5,,,1,86,,15,,1,4,1,39,9,6,1,1,3,,2,,8,2,,35,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,517,,,,,,,,,,,,,13,4,,40,2,191,42716
239,5379.341,,,,,10.5,,,227.5,,,,95,,15,3,1,2,5,50,4,3,,6,5,,7,,7,,,80,2,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,529,,,,,,,,,,,,,12,1,,64,1,243,42716
244,5512.633,,,,,11,,2,260,,,,72,,7,1,1,1,3,45,8,5,3,6,5,,6,,12,3,,62,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,1,,519,,,,,,,,,,,1,,4,3,2,34,,190,42716
249,5672.417,,,,,8.5,2,2,187,,,,97,,13,4,,4,7,79,8,8,2,4,4,,3,,6,2,,85,,1,,,,,,2,2,1,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,535.5,,,,,,,,,,,2,,21,2,,38,,215,42716
254,5820.732,,,,,10.5,,,173,,,1,106,,11,4,2,7,2,49,11,8,2,4,4,,7,,12,2,,97,,1,,,,,,1,,1,,,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.5,,,,,,,,,,,2,,22,6,5,61,,289,42716
259,5963.523,,,,,12.5,,,158.5,,1,2,88,,15,,2,12,4,75,6,10,,6,3,,2,,8,3,,93,,4,,,,,,2,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,513,,,,,,,,,,,3,,21,2,2,58,,544,42716
264,6103.801,,,,,8,,,207.5,,,,92,,8,6,1,6,6,66,8,9,,4,2,,5,1,13,4,,80,1,,,,,,,1,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,534.5,,,,,,,,,,,1,,16,7,,49,,231,42716
274,6390.39,,,,,13.5,1,1,175,,,,110,,15,3,,2,3,60,7,14,2,3,5,,4,1,9,3,,97,,3,,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,537.5,,,,,,,,,,,3,,20,6,1,42,2,150,42716
284,6670.998,,1,,,11.5,1,,178,,,4,87,,5,,2,7,5,67,7,9,2,10,1,,6,,7,2,,96,1,1,1,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,516.5,,,,,,,,,,,8,,16,,,20,,207,42716
294,6959.789,,2,,,6,3,,147.5,,1,,85,,15,6,1,3,8,60,10,20,2,4,2,1,3,,9,,,129,,2,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,1,,528.5,,,,,,,,,,,2,,23,4,1,54,3,169,42716
304,7275.92,,,,,4.5,2,1,254.5,,,,50,,8,1,,2,4,44,8,9,1,2,1,,,,12,,,96,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,504,,,,,,,,,,,5,,7,3,,39,1,163,42716
314,7465.814,,,,,8,,1,214.5,,,,94,,4,5,,7,3,78,11,9,1,4,2,,1,,5,1,,89,,4,,,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,546.5,,,,,,,,,,,4,,14,9,2,15,,226,42716
324,7640.676,,,,,6,1,,244.5,,,,84,,9,3,,2,,61,9,7,,3,2,,3,,9,2,,102,,1,,,,,,,,2,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.5,,,,,,,,,,,14,,19,2,,45,,204,42716
334,7805.903,,0.5,,,12,2,1,228,,,,80,,19,1,,3,,43,8,12,,3,1,,2,,9,1,,98,,5,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,532.5,,,,,,,,,,,13,,13,2,1,42,4,162,42716
344,7971.149,,3.5,,,6,1,1,173,,,,122,,6,7,3,3,6,34,8,33,3,13,5,,2,,10,,,141,,,,,1,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,,591.5,,,,,,,,,,,14,,10,6,,25,,197,42716
349,8053.901,,1.5,,,11.5,2,1,177.5,,,,79,,14,4,,7,1,59,13,9,,3,2,,2,,5,4,,100,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,7,1,507.5,,,,,,,,,,,26,,16,1,2,26,2,147,42716
354,8140.131,,,,,12.5,3,1,226.5,,,,84,,7,1,,7,4,56,3,15,1,2,3,,4,,8,,,92,1,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,535,,,,,,,,,,,6,,8,2,2,49,1,149,42716
359,8224.716,,4,,,5,5,1,224,,,,74,1,3,4,2,7,12,39,12,10,1,7,3,,,,7,,,166,,,,,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,594,,,,,,,,,,,28,,15,11,1,26,,167,42716
364,8307.961,,,,,9.5,2,,170.5,,,1,93,,5,3,1,10,3,59,12,9,,6,1,1,2,,4,3,,119,,5,,,,,,4,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,529,,,,,,,,,,,24,,22,,,17,3,130,42716
369,8392.324,,,,,2,7,,276,,,,76,1,5,6,3,1,2,49,10,7,5,6,2,,2,,2,,,77,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,2,549,,,,,,,,,,,15,,10,13,2,27,,169,42716
374,8485.489,,2,,,13.5,1,,133,,1,1,129,,6,5,1,7,2,62,16,7,,8,2,,,,7,1,,118,,2,,,,,,2,1,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,4,,535.5,,,,,,,,1,,,6,,19,,1,19,1,132,42716
