Study site,Depth (cm),Type/material,Lab #,14C age,14C error,d13C,Bchron 50%,Bchron 2.5%,Bchron 97.5%
Uncle Seth's,0-1,surface,,,,,-61,-61,-61
,30-31,Euro,,,,,260,260,260
,70-71,sediment,OS-98771   ,1470,45,-24.58,1359,1303,1503
,125-126,sediment,OS-98770   ,3570,40,-26.34,3870,3731,3970
,165-166,sediment,OS-102202  ,4330,25,-25.92,4879,4849,4963
,210-211,sediment,OS-98769   ,6840,60,-26.05,7675,7589,7814
,250-251,plant macrofossil,OS-99156   ,8740,55,-22.78,9722,9564,10053
,268-269,plant macrofossil,OS-99157   ,9180,60,-22.58,10349,10241,10508
,290-291,sediment,OS-98768   ,11500,90,-28.73,13342,13152,13502
