Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,P. indet.,P. rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus diploxylon,Pinus banksiana t.,P. resinosa t.,P. rigida t.,vesiculate conif ,Tsuga,Taxus,Taxodium t. papilate,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus undiff,Quercus,Ulmus,Acer saccharum,Acer rubrum,A. negundo,Acer spicatum t.,Acer ,Tilia,Magnolia,Juglans nigra,Juglans cinerea,Juglans,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus rugosa,Alnus crispa,Corylaceae,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Rhus, Ericaceae,Viburnum,Hammamelis,Cornus,Ptelea trifoliata t.,Cephalanthus,Clethra,cf. Ribes,Other shrubs,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Cannabis/Humulis,Polygonum bist.,Polygonum aviculare  t,Phlox,Xyris,Epilobium,Dalea candida t.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Brassicaceae,Rubus Chamaemorus,Hypericum t.,Liliaceae,Saxifraga oppositifolia t.,Scrophulariaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Lamiaceae,Solanaceae,Other herbs,Dennstaeditia, Pteridium,Botrychium,Dryopteris t.,Polypodium t.,Gymnocarpium.,Lyc. lucidulum,L. obscurum t..,L. selago t.,Lyc. annotinum,Lyc. clavatum,L. inundatum,Lycopodium undifferentiated,Osmunda,Asplenium t.,Woodsia,Sellaginella sp.,Monolete spore,Trilete spore,Other Pterid,Upland sum,Myriophyllum,Sphagnum,Eriocaulon,Typha,Sparganium t.,Pontederia sp.,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Sagittaria,Lemna,cf.Equisetum,Other Aquatics,Degraded,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,PreQuaternary,Cupressaceae stom.,Exotic count,Exotic spike
568,6387.47,1,0,0,0,0,0,0,41,0,1,11,0,0,0,0,21,0,0,0,0,13,0,1,2,1,0,0,333,5,0,0,0,0,0,2,0,0,0,0,2,4,0,29,0,1,0,0,0,0,28,0,0,2,7,0,0,0,0,0,0,0,6,2,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,198,85432
576,6483.003,2,0,0,0,0,0,0,38,0,2,13,0,0,0,0,29,0,0,0,0,13,0,0,1,1,3,0,338,3,3,2,0,0,0,0,0,0,1,0,0,3,0,20,0,0,0,0,0,0,30,0,0,2,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,197,85432
584,6576.847,3,0,1,0,0,0,0,38,0,0,3,0,2,0,0,23,0,0,1,0,19,0,1,2,0,5,0,356,8,4,2,0,0,0,1,0,0,0,0,4,7,0,23,1,3,0,0,0,0,16,0,0,6,13,1,0,0,0,0,0,0,7,0,0,0,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,569,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,2,1,5,1,0,0,161,85432
592,6667.774,2,0,0,0,0,0,0,38,0,3,8,0,0,0,0,13,0,0,0,1,15,0,0,1,1,3,0,355,4,2,2,0,0,1,0,0,0,1,0,5,1,0,23,1,7,2,0,0,0,25,0,0,2,7,0,0,1,0,0,0,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,547,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,199,85432
600,6769.675,2,0,0,1,0,0,0,57,0,0,26,0,0,0,0,22,0,0,0,0,18,0,3,2,2,4,0,344,6,2,6,0,0,0,0,0,0,0,0,2,2,0,20,1,3,1,1,0,0,25,0,0,3,3,0,1,2,0,0,0,0,6,0,0,0,5,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,581,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,3,2,0,0,159,85432
608,6881.98,1,0,0,2,0,0,0,62,0,3,17,0,0,0,0,18,0,0,2,0,25,0,0,11,0,9,0,297,6,6,0,0,0,1,0,0,0,0,0,6,5,0,17,0,2,0,0,0,1,22,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,5,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,2,0,0,132,85432
616,6994.285,5,0,0,0,0,0,0,56,0,0,14,0,0,0,0,26,0,0,0,0,27,0,1,1,0,4,2,332,6,2,1,0,0,0,0,0,0,0,0,2,7,2,20,0,2,0,0,0,0,27,1,0,1,9,0,0,1,0,0,0,0,5,2,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,1,1,0,155,85432
624,7106.59,2,0,0,2,0,0,0,39,0,1,11,0,0,0,0,18,0,0,1,0,27,0,0,3,0,2,0,338,8,7,2,0,0,0,0,0,0,0,0,5,1,0,22,1,3,1,0,0,0,21,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,3,1,0,0,186,85432
632,7218.895,2,0,0,0,0,0,0,47,0,1,14,0,0,0,0,23,1,0,0,0,29,0,0,1,1,2,0,341,5,4,3,0,0,2,1,0,0,0,0,5,1,0,21,0,2,1,0,0,0,15,1,0,2,13,0,0,0,0,0,0,0,3,0,0,0,5,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0,5,0,0,0,153,85432
640,7331.2,4,0,0,0,0,0,0,44,0,0,8,0,0,0,0,24,0,0,0,0,36,0,1,3,0,5,0,312,9,3,3,0,0,0,0,0,0,4,0,3,5,0,27,0,1,0,0,0,0,14,0,0,2,7,0,0,1,0,0,0,0,4,0,0,0,5,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,1,0,0,150,85432
