Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,P. indet.,P. rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus diploxylon,Pinus banksiana t.,P. resinosa t.,P. rigida t.,vesiculate conif ,Tsuga,Taxus,Taxodium t. papilate,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus undiff,Quercus,Ulmus,Acer saccharum,Acer rubrum,A. negundo,Acer spicatum t.,Acer ,Tilia,Magnolia,Juglans nigra,Juglans cinerea,Juglans,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus rugosa,Alnus crispa,Corylaceae,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Rhus, Ericaceae,Viburnum,Hammamelis,Cornus,Ptelea trifoliata t.,Cephalanthus,Clethra,cf. Ribes,Other shrubs,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Cannabis/Humulis,Polygonum bist.,Polygonum aviculare  t,Phlox,Xyris,Epilobium,Dalea candida t.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Brassicaceae,Rubus Chamaemorus,Hypericum t.,Liliaceae,Saxifraga oppositifolia t.,Scrophulariaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Lamiaceae,Solanaceae,Other herbs,Dennstaeditia, Pteridium,Botrychium,Dryopteris t.,Polypodium t.,Gymnocarpium.,Lyc. lucidulum,L. obscurum t..,L. selago t.,Lyc. annotinum,Lyc. clavatum,L. inundatum,Lycopodium undifferentiated,Osmunda,Asplenium t.,Woodsia,Sellaginella sp.,Monolete spore,Trilete spore,Other Pterid,Upland sum,Myriophyllum,Sphagnum,Eriocaulon,Typha,Sparganium t.,Pontederia sp.,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Sagittaria,Lemna,cf.Equisetum,Other Aquatics,Degraded,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,PreQuaternary,Cupressaceae stom.,Exotic count,Exotic spike
728,8798.118,0,0,1,0,0,1,0,102,0,1,27,0,0,0,0,9,0,0,0,0,15,0,6,6,3,0,3,260,5,1,2,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,2,0,0,24,4,0,15,18,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,2,3,2,0,5,0,82,85432
732,8887.851,1,0,0,0,0,0,0,121,0,6,4,3,19,0,1,11,1,0,0,0,19,0,1,7,0,2,0,259,3,1,1,0,0,0,0,0,0,0,0,3,1,0,8,0,0,3,0,0,0,15,4,0,4,14,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,8,3,3,4,15,0,0,0,63,85432
736,8977.583,1,0,0,1,0,0,0,122,0,4,12,0,0,0,0,15,0,0,0,0,29,0,6,6,2,2,0,282,5,4,0,0,0,0,1,0,0,1,0,0,2,0,4,0,0,1,0,0,0,14,2,0,23,25,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,615,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,6,0,1,9,9,0,0,0,63,85432
740,9067.316,0,0,0,1,0,0,0,123,0,0,27,2,0,0,0,12,0,0,1,0,17,0,2,2,3,4,1,241,1,1,2,0,0,0,0,1,0,2,0,0,2,0,2,0,0,1,0,0,0,4,4,10,20,46,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,15,0,5,2,13,0,0,0,56,85432
744,9157.049,1,1,1,0,0,0,0,132,0,3,0,0,15,0,0,11,0,0,0,2,23,0,2,4,2,3,0,294,6,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,3,3,0,19,37,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,6,0,5,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,621,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,5,0,0,1,14,3,0,0,82,85432
748,9246.782,0,0,0,1,0,0,0,111,0,7,15,0,0,0,0,12,0,0,0,1,20,0,5,4,0,4,3,261,5,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,8,2,0,9,27,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,543,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,2,1,1,6,3,0,2,0,73,85432
752,9336.515,1,1,2,0,0,0,0,104,0,2,16,0,0,0,0,11,0,0,0,0,30,0,5,5,3,5,2,265,3,3,0,0,0,0,2,0,0,0,0,0,1,0,10,0,2,0,0,0,0,10,6,0,19,24,0,0,2,0,0,0,0,1,0,0,0,15,0,0,2,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,584,0,4,0,0,0,0,0,0,16,1,0,0,0,0,0,10,0,13,3,11,1,0,0,67,85432
756,9426.248,1,0,1,0,0,1,0,101,0,4,2,1,8,0,0,5,0,0,0,0,22,0,2,6,0,3,0,267,4,2,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,8,6,0,17,37,1,0,1,0,0,0,0,0,0,0,0,12,0,0,0,5,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,543,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,3,0,4,0,4,0,51,85432
760,9515.981,0,0,0,3,0,0,0,121,0,7,7,0,0,0,0,11,0,0,1,0,24,0,6,7,1,3,0,326,7,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10,3,0,9,46,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,6,0,0,0,103,85432
764,9605.714,3,1,3,2,0,1,0,156,0,5,0,9,20,0,2,16,0,0,0,0,26,0,3,7,1,2,0,263,4,1,1,0,0,0,1,0,0,0,0,3,2,0,3,0,0,0,0,0,0,5,7,0,25,29,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,637,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,1,1,1,0,5,1,1,0,53,85432
768,9695.447,2,0,1,1,0,0,0,177,0,7,22,0,0,0,0,11,0,0,0,2,22,0,3,5,1,1,0,265,4,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,0,9,3,0,15,25,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,651,0,2,0,0,0,0,0,1,31,0,0,0,0,2,0,16,0,2,3,3,0,1,0,70,85432
772,9785.18,1,0,3,0,0,2,0,205,0,4,1,5,6,0,1,19,0,0,1,0,22,0,0,4,1,9,0,212,4,2,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,5,0,33,29,0,0,3,0,0,0,0,0,0,0,0,24,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,621,0,2,0,0,0,0,0,0,79,0,0,0,0,0,0,3,4,6,1,9,3,2,0,50,85432
776,9935.795,0,0,0,5,0,0,0,243,0,5,27,0,0,0,0,19,0,0,0,0,33,0,4,3,1,1,0,281,4,2,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,2,1,0,6,45,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,3,0,5,3,5,0,3,0,45,85432
780,10220.41,1,0,1,0,0,0,0,215,0,25,0,5,17,0,0,20,0,0,0,0,20,0,1,11,1,4,0,219,6,4,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,17,21,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,2,5,0,27,1,0,0,39,85432
784,10505.03,1,0,1,0,0,0,0,339,0,20,44,0,0,0,0,23,0,0,0,1,31,0,0,5,1,0,3,126,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,19,15,1,0,7,0,0,0,0,0,0,0,0,14,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,684,0,1,0,0,0,0,0,0,46,0,0,0,0,0,0,7,0,1,0,2,2,0,0,53,85432
788,10789.65,0,1,1,0,0,0,0,283,0,9,0,2,72,0,1,16,0,0,4,0,23,0,5,7,0,2,0,89,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,12,11,0,0,2,0,0,0,0,0,0,0,0,7,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,577,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,1,2,0,17,0,1,0,63,85432
792,11074.27,0,1,1,5,0,2,0,258,0,54,21,0,0,0,0,13,0,0,1,0,33,0,2,5,2,0,0,80,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,13,9,0,0,11,0,0,0,0,0,0,0,0,8,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,550,0,2,0,0,0,0,0,1,59,0,0,0,0,0,0,0,0,3,0,3,1,0,0,51,85432
796,11358.89,1,1,10,12,0,6,0,232,0,37,0,33,25,0,0,11,0,0,0,2,58,0,2,4,2,1,0,58,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,3,16,20,0,0,31,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,625,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,25,0,0,0,29,85432
800,11659.76,0,3,17,31,0,5,2,196,0,4,112,0,0,0,2,4,0,0,0,1,65,0,0,2,0,2,2,20,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,3,42,0,22,5,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,596,0,2,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,1,0,7,2,1,0,64,85432
804,12424.12,0,10,74,24,0,13,11,113,0,7,2,127,5,0,3,10,0,0,0,0,91,0,0,5,0,0,4,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,30,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,571,0,3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,6,1,0,0,56,85432
808,13188.47,0,45,48,42,0,19,0,65,0,14,87,0,0,0,0,0,0,0,1,0,76,0,0,4,2,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,1,0,4,0,0,5,1,1,2,1,0,0,0,0,0,0,560,0,5,0,1,0,0,0,0,50,0,0,0,0,0,0,0,1,0,1,1,0,0,0,68,85432
816,14717.16,1,17,26,32,0,1,0,160,0,0,151,0,0,0,0,1,0,0,2,1,19,0,0,12,2,0,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,5,58,0,2,7,1,0,5,0,0,0,0,0,0,0,0,11,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,0,0,0,5,4,0,4,1,0,0,0,0,0,0,591,0,1,0,0,0,0,0,0,15,0,0,1,0,0,0,2,0,0,0,1,0,0,0,81,85432
822,15420.32,0,8,65,15,0,0,0,201,0,0,0,168,1,0,12,0,0,0,0,1,12,0,0,17,2,0,1,17,3,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,4,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,562,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,2,1,25,0,0,0,194,85432
