Depth (cm),Cal age,Pinus indet,Pinus undiff,Pinus banksiana t.,P. resinosa t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. rubens t.,P. undiff,P. indet.,Abies,Vesciculate conif,Larix,Thuja/Juniperus,Taxus t.,Quercus,Carya,Castanea,Juglans cinera,J. nigra,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus rugosa/incana t.,A. crispa/viridis,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Tilia,Magnolia sp.,Ilex,Clethra,Salix,Populus,Ericaceae,Vitis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Cephalanthus,Platanus,Celtis,Rhamnus,Viburnum,Sambucus,Rhus sp..,Moraceae/Urtica,Poaceae,Artemisia,Ambrosia,Iva sp.,Rumex,Tubuliflorae,Liguliflorae,Secale,Zea mays,Triticum t.,Urtica,Plantago,Cheno Am,Iva ciliata t.,Potentilla t.,Rosaceae undiff,Thalictrum,Fabaceae,Ranunculus sp.,Geranium sp.,Impatiens,Liliaceae,Polygonum persicaria t.,P. aviculare t.,Apiaceae,Fagopyron,Paronychia t.,Cruciferae,Caryophyllaceae,Galium,Cyperaceae,Onagraceae,Oenotheraceae,Hernaria t. ,cf Hypericum,cf. Viola sagittata,Allium t.,Cornus racemosa t.,Ceanothus,Rubus Chamaemorus,Pteridium t.,Dryopteris t.,Osmunda spp.,Gymnocarpium t.,Asplenium t,Athyrium t.,Botrychium sp.,Trilete unk,Lycopodium lucidulum,"Lycopodium sp.,",Upland sum,Isoetes,Equisetum,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Pontederia ,Potamogeton,Brasenia,Sagittaria,Sparganium t.,Typha,Lemna  t.,Pinus stomta,Larix,Cupress stom t.,Tsuga stomata,Unknown conifer stomata,Non conifer ,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,PreQuaternary,Exotic count,Exotic spike
110,867.801,17,,,,1,,4,18,,,,,,,1,,4,,140,35,3,,,12,29,1,4,2,3,,37,,2,1,,1,,,1,,1,,,,1,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,14,,,,,,,,,,2,19,6,1,,,,,,,365,,,1,,1,,,,1,,,,,,,,,,,3,3,,,10,2,,95,42716
120,975.8405,12,,,,2,,,18,1,,,,,,,1,,,99,42,4,1,,9,34,2,3,1,2,,41,,5,5,,,,1,,,,,1,,2,,,,1,,,,,,,,,,1,1,2,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,15,,,,,,,,,,4,24,4,,,1,,,,,343,,,,,,,,,1,,,,,,,1,,,,2,,,,15,1,,83,42716
130,1082.649,12,,,,,4,1,12,,,,,1,,,1,1,,115,28,12,,,8,39,6,2,2,12,,35,,,2,,1,1,,2,,2,,2,,,,,,,,1,1,,,1,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,1,15,1,,,,,,,,338,,,1,,1,,,2,,,,,,,,3,,,,4,2,2,,9,1,,75,42716
140,1196.055,12,,1,,2,1,4,13,,1,,,,,,,1,,131,16,10,2,,12,42,2,1,,,,32,,2,1,,,,,,,,,1,,1,,,,,,,1,,,1,,,,2,,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,1,16,,,,,,,,,,2,13,1,,,,,1,,,333,,,,,,1,,,,,,1,,,,3,,,,1,1,1,,9,,,75,42716
150,1317.462,13,,,,,2,3,14,,,,,1,1,,,4,,130,21,7,2,,9,42,3,4,1,2,1,30,,,3,,1,,1,,,,,,,,,,,1,,,1,,,,,,,4,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,10,,,,,,,,,,5,18,1,2,1,,,1,,,343,,,,,1,,,2,,1,,,,,,,,1,,1,,2,1,31,1,2,99,42716
160,1416.86,21,1,1,,1,4,,19,1,,,,,,,,2,,136,16,4,,,21,33,3,10,,5,,19,,,4,1,,,,2,,,1,,,1,,,1,,,,1,,,,,,,4,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,11,,,,,,,,,,0,30,1,,,,,,,,357,,,,,,,,,,,,,,,,,,,,3,1,1,2,13,4,,130,42716
170,1509.826,13,,,,3,4,7,25,1,,,,,,,,2,,165,20,5,4,,24,31,,6,1,2,,48,,3,2,,,1,1,,,,1,1,1,1,,,,2,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,1,24,5,,,,,,,2,433,,,3,,5,,,1,,,4,1,,,,,,,,1,1,1,2,15,4,,70,42716
180,1605.497,21,1,3,3,1,1,1,15,,,,,4,,,2,1,,180,34,7,1,,14,29,1,6,2,1,,31,,,3,,,,1,1,,,,,,,,,1,2,1,,2,,,1,1,2,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,3,29,8,1,,,,1,,,454,,,1,,2,1,,2,,,,,,,,,,,,4,2,,,12,1,,96,42716
190,1700.017,21,,,2,2,1,7,17,1,,,,,,,,2,,145,40,8,6,,18,41,4,1,5,,,36,,2,4,,1,1,1,,,1,1,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,20,,,,,,,,,,2,17,8,,,,,,,1,423,,,,,1,,,1,,,,,,,,,,1,,6,3,4,1,15,5,,87,42716
200,1764.145,14,,,,,3,,14,1,,,1,,,,,,,100,23,3,,,12,30,5,3,2,3,,59,,,,,7,,,1,,,1,,,,,,1,,,,,,,,,,,2,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,14,,,,,,,,,,1,30,3,,,,,,,,336,,,,,2,,,,,1,,2,,,,,,,9,2,,,,26,2,,119,42716
220,1872.602,9,,,,,1,1,6,,,,,,,,,1,,128,14,8,1,,24,45,7,4,2,,,31,3,1,6,,,,,,1,,1,,,1,,,,1,1,,,,1,,,,,1,,,,,2,,,,,,,1,,,,,,,,,,,,1,,,,,1,12,,,,,,,,,,4,8,2,,,,,,1,,331,3,,,,1,1,2,1,,,2,,,,,1,,1,2,3,1,1,1,22,3,,123,42716
240,1986.437,10,,,,,,,15,,,,,,,,,,,107,37,11,5,,31,47,2,1,2,5,,11,1,2,1,,,,,,,,,,1,1,,,,1,2,,1,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2,5,2,6,2,1,,,,,318,,,1,,,,,1,,,1,,,,,,,,,1,,,,,1,,77,42716
250,2049.057,9,1,2,1,1,2,3,11,,,,,,,,,3,,108,33,9,1,,43,50,6,5,1,2,,28,,,2,,,,,1,,,,1,,,,,,1,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,,1,6,3,,,,,,,,347,,,1,,,2,1,,,1,,1,,,,,,,,8,2,2,,12,,,96,42716
270,2199.217,7,,,,2,8,1,15,,1,,,,,,,1,,102,30,21,1,,49,73,3,5,2,2,,19,,,10,1,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,1,5,5,,,,,,,,380,,,1,,,11,,1,,,,,,,,,,,,1,,,1,10,1,,70,42716
280,2264.405,11,,,1,,,3,8,,,,,,,,,,,96,23,11,3,,60,49,4,2,2,3,,43,,3,3,,1,,,1,,,,,,2,,,1,1,,,3,,,,,,,2,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,7,,,,,,,,,,1,17,2,,,,,,,,366,,,,,,,1,1,2,,2,,,,,,,,,2,5,1,,7,,,102,42716
300,2395.058,11,,,,,1,4,14,1,1,,1,,1,,,1,,97,29,16,2,,30,30,2,6,,1,5,41,,,7,,,,,,,1,,1,,6,,,,1,,1,,,,,,,,1,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,15,,,,,,,,,,2,11,2,0,,,,1,,,347,,,,,,1,,,,,,,,,,,,,2,2,4,5,1,19,2,,126,42716
