Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,Picea,Abies,Larix,Pinus undiff,Pinus haploxylon,Pinus diploxylon,P. rigida t.,Pinus banksiana t.,P. resinosa t.,Vesciculate conif,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Fraxinus undiff.,Quercus,Ulmus,Acer saccharum/nigrum,Acer rubrum,Acer spicatum t.,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Fagaceae,Betuloid,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus undiff.,Corylus,Myrica,Comptonia,Myrica-Comptonia,Rhamnus,Vitis,Rhamnus-Vitis,Ericaceae,Shepherdia canadensis,Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Amelanchier,Potentilla t.,Sambucus,Parthenocissus,Clethra,Poaceae,Cereal,Zea,Artemisia,Ambrosia,Iva,Urtica spp.,Xanthium t.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Sarcobatus,Polygonum bistoides,Polygonum persicaria t.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulis/Cannabis,Xyris,Stellaria,Caryophyllaceae,Brassicaceae,Ranunculaceae,Menyanthes,Liliaceae,Malvaceae,Lamiaceae,Apiaceae,Hypericum t.,Galium,Fabaceae,Thalictrum,Epilobium,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,L. selago t.,Lycopodium undiff.,Sellaginella sp.,Osmunda,Asplenium t.,Gymnocarpium t.,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris t.,Dryopteris thelypteris,upland sum,Equisetum,Myriophyllum,Sphagnum,Typha/Sparganiumt.,Utricularia,Nymphoides,Nuphar,Nymphaea,Sagittaria,Eriocaulon,Pontedaria,Lemna,Isoetes,Potamogeton,Brassenia,Indetermined crumpled,Indetermined broken,Indetermined coroded,Degraded,Indetermined obscured,Unknown,Exotic count,Exotic spike
40,158.951,1,0,0,5,0,4,78,23,40,0,0,0,0,27,0,0,0,48,0,4,2,2,1,216,3,5,10,0,0,0,0,1,14,2,0,21,0,0,1,0,0,0,0,4,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,35,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,31,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,632,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,5,388,85432
44,179.906,0,0,0,5.5,0,2,91,17,5,0,0,0,0,39,0,1,0,68,0,1,1,3,0,282,7,3,8,0,0,1,0,1,24,1,0,15,0,1,4,0,0,0,1,9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,1,1,22,0,0,0,2,0,0,0,0,0,0,0,23,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,689.5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,576,85432
48,200.861,0,0,0,9,0,0,51,13,6,0,0,0,0,21,0,0,0,50,0,2,2,3,0,289,2,6,7,0,0,0,0,1,12,0,0,22,0,0,0,0,0,0,1,11,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,560,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,458,85432
52,221.816,1,0,0,2.5,0,4,53.5,11,7,0,0,0,0,18,0,1,1,78,0,1,3,1,0,262,1,3,3,0,0,1,0,1,9,0,0,18,0,0,0,1,0,0,0,18,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,8,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,552,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,395,85432
56,242.771,2,0,0,5,0,0,64,10,8,0,0,0,0,38,0,0,1,62,0,2,4,2,0,265,5,5,1,0,0,0,0,1,12,0,0,15,0,0,2,0,0,0,0,16,0,0,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,371,85432
60,263.726,0,0,0,9.5,0,2,72,7,4,0,0,0,0,36,0,1,0,71,0,4,0,1,0,263,3,5,6,0,0,2,0,0,8,3,1,17,0,0,1,1,1,0,0,18,0,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,578.5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,4,1,0,0,0,0,552,85432
64,284.681,1,0,0,2,0,3,63,2,15,0,0,0,0,43,0,3,2,77,0,2,3,3,0,248,5,5,1,0,0,1,0,0,9,0,0,21,0,0,4,0,0,0,0,17,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,566,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,1,1,293,85432
68,306.459,0,0,0,1,0,0,46.5,2,3,0,0,0,0,44,0,0,0,69,0,7,0,4,1,270,5,5,0,0,0,0,1,0,15,0,0,19,0,0,3,2,0,1,0,16,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,548.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,351,85432
72,356.324,0,0,0,2,0,1,74.5,4,6,0,0,0,0,46,0,0,0,69,0,3,4,4,0,318,5,2,3,0,0,0,0,2,10,2,0,19,0,0,2,1,0,0,0,16,0,0,3,0,0,5,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,626.5,0,0,1,0,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,1,0,206,85432
76,406.19,0,0,0,5.5,0,2,62.5,13,2,0,0,0,0,34,0,0,0,57,0,1,1,0,0,271,7,4,2,0,0,0,0,0,14,0,0,9,0,0,1,2,0,0,0,9,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,529,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,332,85432
