Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,Picea,Abies,Larix,Pinus undiff,Pinus haploxylon,Pinus diploxylon,P. rigida t.,Pinus banksiana t.,P. resinosa t.,Vesciculate conif,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Fraxinus undiff.,Quercus,Ulmus,Acer saccharum/nigrum,Acer rubrum,Acer spicatum t.,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Fagaceae,Betuloid,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus undiff.,Corylus,Myrica,Comptonia,Myrica-Comptonia,Rhamnus,Vitis,Rhamnus-Vitis,Ericaceae,Shepherdia canadensis,Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Amelanchier,Potentilla t.,Sambucus,Parthenocissus,Clethra,Poaceae,Cereal,Zea,Artemisia,Ambrosia,Iva,Urtica spp.,Xanthium t.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Sarcobatus,Polygonum bistoides,Polygonum persicaria t.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulis/Cannabis,Xyris,Stellaria,Caryophyllaceae,Brassicaceae,Ranunculaceae,Menyanthes,Liliaceae,Malvaceae,Lamiaceae,Apiaceae,Hypericum t.,Galium,Fabaceae,Thalictrum,Epilobium,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,L. selago t.,Lycopodium undiff.,Sellaginella sp.,Osmunda,Asplenium t.,Gymnocarpium t.,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris t.,Dryopteris thelypteris,upland sum,Equisetum,Myriophyllum,Sphagnum,Typha/Sparganiumt.,Utricularia,Nymphoides,Nuphar,Nymphaea,Sagittaria,Eriocaulon,Pontedaria,Lemna,Isoetes,Potamogeton,Brassenia,Indetermined crumpled,Indetermined broken,Indetermined coroded,Degraded,Indetermined obscured,Unknown,Exotic count,Exotic spike
120,875.465,1,0,0,0,0,0,33.5,1,2,0,0,0,0,49,0,0,2,71,0,6,2,2,1,273,7,4,2,0,0,0,0,0,8,1,0,32,0,0,1,1,0,0,0,16,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,543.5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,327,85432
124,908.327,0,0,0,6,0,3,44.5,10,1,0,0,0,0,49,0,1,1,68,0,2,0,3,0,271,1,5,3,0,0,0,0,2,14,2,0,31,0,0,2,2,1,0,0,14,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,570.5,0,0,4,0,0,0,1,1,0,0,0,0,0,1,8,0,0,1,0,0,0,353,85432
128,941.188,2,0,0,1,0,2,47.5,4,4,0,0,0,0,39,0,0,1,61,0,1,4,1,0,257,1,4,1,0,0,0,0,0,17,0,0,22,0,0,3,0,0,0,0,15,0,0,3,0,0,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,517.5,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,2,0,379,85432
132,974.049,0,0,0,3.5,0,4,35,18,8,0,0,0,0,57,0,3,0,70,0,1,1,2,0,306,7,6,3,0,0,0,0,1,19,1,0,22,0,0,2,0,0,0,0,15,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,612.5,0,1,6,0,0,0,1,3,0,0,0,0,0,0,7,2,0,0,0,1,1,291,85432
136,1006.911,1,0,0,4.5,0,1,36,5,8,0,0,0,0,58,0,0,1,68,0,2,0,0,0,306,4,5,2,0,0,1,0,0,12,0,0,23,0,0,0,2,0,0,1,14,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,579.5,0,0,4,0,0,0,1,1,0,0,0,0,0,0,4,1,1,0,0,0,1,455,85432
140,1039.772,0,0,0,1,0,0,23,9,2,0,0,0,0,49,0,0,0,44,0,2,1,3,0,279,7,4,1,0,0,0,1,0,24,1,0,23,0,0,2,3,0,0,1,9,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,517,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,237,85432
144,1072.633,0,0,0,2,0,2,43.5,6,1,0,0,0,0,47,0,1,1,61,0,4,4,4,1,278,8,6,3,0,0,0,1,0,15,0,0,20,0,0,1,2,0,0,1,11,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,550.5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,1,248,85432
148,1105.495,3,0,0,0,0,1,46,4,2,0,0,0,0,46,0,0,1,56,0,1,0,8,0,280,4,3,5,0,0,0,0,1,7,2,0,33,0,0,1,1,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,546,0,0,4,0,0,0,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,212,85432
151,1130.141,1,0,0,2,0,1,47.5,12,7,0,0,0,0,51,0,1,0,62,0,1,3,4,1,254,2,7,1,0,0,0,0,1,17,1,0,28,0,0,0,0,0,0,0,5,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,525.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,402,85432
154,1154.787,0,0,0,4,0,1,67,10,1,0,0,0,0,46,0,0,1,67,0,2,1,7,0,284,1,4,1,0,0,1,0,0,17,4,0,28,0,0,3,0,0,0,1,12,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,596,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,0,0,201,85432
159,1195.925,1,0,0,5,0,0,29,8,0,0,0,0,0,30,0,1,0,79,0,2,5,1,1,291,11,6,5,0,0,0,0,2,22,2,0,23,0,0,0,1,0,0,1,8,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,555,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,287,85432
164,1257.379,2,0,0,2,0,0,54,9,3,0,0,0,0,37,0,0,0,49,0,1,4,1,0,285,7,1,4,0,0,0,1,0,15,2,0,23,0,0,6,1,0,0,1,16,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,545,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,212,85432
167,1294.253,0,0,0,1,0,0,60.5,11,4,0,0,0,0,42,0,0,0,47,0,3,3,4,1,273,7,7,0,0,0,0,0,0,8,0,1,28,0,0,0,1,0,0,1,20,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,0,0,556.5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,168,85432
172,1355.708,0,0,0,2,0,2,37,24,10,0,0,0,0,37,0,2,0,63,0,4,1,2,0,277,7,6,3,0,0,1,0,1,13,2,0,25,0,0,0,0,0,0,0,13,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,561,0,0,4,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,230,85432
176,1404.872,2,0,0,0,0,0,30,22,12,0,0,0,0,36,0,0,0,55,0,3,4,2,0,280,7,2,2,0,0,0,1,0,12,4,1,28,0,0,0,0,0,0,1,14,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,539,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,218,85432
180,1454.036,0,0,0,1,0,0,32.5,22,11,0,0,0,0,36,0,2,0,52,0,8,2,1,0,264,2,6,0,0,0,0,1,1,10,3,0,33,0,0,2,2,0,0,1,17,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,526.5,0,0,8,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,261,85432
184,1503.2,0,0,0,0,0,0,26.5,21,9,0,0,0,0,24,0,1,0,42,0,9,2,3,0,262,4,8,0,0,0,0,0,1,20,4,0,30,0,0,0,3,0,0,0,22,0,0,1,0,0,1,0,0,0,5,0,0,0,0,1,1,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,526.5,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,3,1,0,0,0,0,304,85432
188,1552.364,0,0,0,0.5,0,1,31,24,14,0,0,0,0,29,0,0,1,69,0,0,1,3,0,252,4,3,1,0,0,0,1,0,20,0,0,30,0,0,1,0,0,0,2,17,0,0,4,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,536.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,271,85432
192,1601.528,1,0,0,0,0,0,43,21,11,0,0,0,0,28,0,0,0,46,0,1,4,1,0,258,7,4,3,0,0,0,0,0,10,0,0,26,0,0,1,3,0,0,2,17,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,11,1,0,0,0,525,0,0,10,1,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,1,253,85432
196,1650.692,1,0,0,0.5,0,2,32.5,16,10,0,0,0,0,24,0,0,0,51,0,4,1,1,1,283,3,4,4,0,0,1,0,1,14,1,0,31,0,0,0,0,0,0,1,20,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,540,0,0,7,1,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,331,85432
198,1675.274,2,0,0,0,0,0,40,10,3,0,0,0,0,20,0,0,1,55,0,0,1,4,0,264,7,3,2,0,0,0,0,1,12,0,0,30,0,0,0,2,0,0,0,19,0,0,3,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,512,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,3,0,178,85432
202,1724.438,1,0,0,2,0,1,23.5,9,3,0,0,0,0,22,0,0,0,49,0,5,0,8,0,296,8,11,4,0,0,0,0,0,10,2,0,25,0,1,0,4,0,0,1,10,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,520.5,0,0,4,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,187,85432
206,1773.603,0,0,0,0.5,0,0,39.5,13,14,0,0,0,0,33,0,0,3,59,0,3,1,10,0,301,6,3,7,0,0,0,0,0,11,2,0,21,0,0,0,2,1,0,1,14,0,0,8,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,579,0,0,2,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,123,85432
210,1822.767,1,0,0,1,0,0,41.5,12,1,0,0,0,0,39,0,0,0,46,0,2,0,6,0,268,3,5,3,0,0,0,0,0,16,2,0,46,0,0,1,0,0,0,1,11,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,533.5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,147,85432
214,1871.931,0,0,0,1,0,0,49,7,0,0,0,0,0,33,0,0,0,33,0,1,1,1,1,292,5,6,2,0,0,0,0,0,11,2,0,23,0,0,0,9,0,0,0,7,0,0,1,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,512,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,176,85432
218,1921.095,0,0,0,0,0,0,27.5,13,3,0,0,0,0,40,0,0,0,60,0,5,0,5,1,266,6,4,2,0,0,0,0,2,20,1,0,24,0,0,2,4,0,0,0,14,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,523.5,0,0,4,0,0,0,2,3,0,0,0,0,0,0,1,1,0,0,0,1,1,263,85432
222,1970.259,1,0,0,1,0,0,36,15,4,0,0,0,0,43,0,0,0,38,0,2,2,2,1,264,5,1,1,0,0,1,0,0,15,0,0,36,0,0,2,1,0,0,0,24,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,517,0,0,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,317,85432
225,2007.132,0,0,0,0,0,2,52.5,10,0,0,0,0,0,31,0,0,0,43,0,4,0,6,0,297,5,7,1,0,0,0,0,0,20,2,0,34,0,0,1,4,0,0,0,17,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,573.5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,272,85432
230,2068.587,0,0,0,0,0,2,43,5,7,0,0,0,0,26,0,1,0,59,0,3,5,2,1,294,4,6,2,0,0,0,0,0,9,2,0,38,0,0,2,3,0,0,2,28,0,0,5,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,575,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,316,85432
234,2117.751,2,0,0,0,0,2,40.5,17,4,0,0,0,0,43,0,0,0,59,0,4,0,1,1,279,5,3,0,0,0,0,0,0,13,2,0,37,0,0,0,3,0,0,1,17,0,0,4,0,0,3,0,0,0,5,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,560.5,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,259,85432
238,2166.915,0,0,0,3,0,1,46,25,13,0,0,0,0,30,0,0,0,74,0,2,2,8,0,284,9,6,3,0,0,0,1,1,5,2,0,27,0,0,0,3,0,0,0,19,0,0,4,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,596,0,0,3,0,0,0,2,4,0,0,0,0,0,0,1,2,0,1,0,0,0,315,85432
242,2216.079,0.5,0,0,0,0,1,45,12,12,0,0,0,0,46,0,0,0,35,0,1,2,1,0,290,2,7,2,0,0,1,0,0,8,0,0,34,0,0,0,0,0,0,1,16,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,536.5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,232,85432
246,2265.244,0,0,0,1,0,0,38,16,11,0,0,0,0,33,0,2,0,56,0,1,1,1,0,274,1,2,2,0,0,0,0,0,12,3,0,28,0,0,0,0,0,0,0,15,0,0,2,0,0,2,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,525,0,0,4,0,0,0,0,11,0,0,0,0,0,0,1,0,2,0,0,0,0,167,85432
250,2314.408,1,0,0,0,0,3,46.5,17,10,0,0,0,0,30,0,0,0,54,0,1,2,1,0,259,3,7,3,0,0,0,0,0,5,2,0,37,0,0,0,0,0,0,0,13,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,521.5,0,0,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,211,85432
254,2363.572,2,0,0,0,0,0,48,6,8,0,0,0,0,43,0,0,1,70,0,5,0,1,0,266,4,2,4,0,0,0,0,1,14,2,0,23,0,0,0,1,1,0,1,18,0,0,1,0,0,16,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,565,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,206,85432
258,2412.736,0,0,0,1,0,0,47.5,19,7,0,0,0,0,35,0,1,0,73,0,2,0,3,0,273,3,5,4,0,0,0,0,2,1,0,0,35,0,0,0,0,0,0,0,19,0,0,3,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,551.5,0,0,2,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,266,85432
262,2461.9,0,0,0,1,0,3,31,15,2,0,0,0,0,34,0,1,1,55,0,3,1,4,0,277,10,9,4,0,0,0,1,1,18,4,0,25,0,0,0,1,0,0,2,24,0,0,6,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,552,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,189,85432
266,2511.064,1,0,0,0,0,2,43,9,5,0,0,0,0,27,0,0,0,43,0,2,8,3,0,303,8,6,5,0,0,0,1,0,7,2,0,23,0,0,1,0,1,0,0,10,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,533,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,226,85432
270,2560.228,0,0,0,0,0,1,41.5,12,7,0,0,0,0,26,0,0,0,45,0,2,1,4,0,276,2,7,4,0,0,0,1,0,13,1,0,23,0,0,1,4,2,0,2,17,0,0,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,513.5,0,0,1,0,0,0,1,4,0,0,0,0,0,0,1,3,3,0,0,0,0,210,85432
274,2609.392,0,0,0,0,0,0,39.5,21,6,0,0,0,0,27,0,0,0,46,0,2,1,1,2,308,6,3,3,0,0,0,1,0,11,0,0,35,0,0,0,2,0,0,0,15,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5,0,0,0,6,1,0,0,0,560.5,0,0,5,0,0,0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,184,85432
278,2658.556,0,0,0,3,0,0,45.5,30,8,0,0,0,0,38,0,0,0,52,0,3,4,3,1,263,10,7,4,0,0,0,0,1,9,1,0,38,0,0,0,0,1,0,2,15,0,0,7,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,572.5,0,0,5,0,0,0,0,7,0,0,0,0,0,0,2,0,0,1,0,0,0,291,85432
282,2707.72,0,0,0,0,0,0,36.5,26,4,0,0,0,0,38,0,0,0,43,0,4,3,1,1,283,5,4,4,0,0,0,0,1,13,0,0,39,0,0,0,1,0,0,0,15,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,543.5,0,0,3,2,0,0,1,2,0,0,0,0,0,0,0,1,1,2,0,0,0,160,85432
