Depth (cm),Cal age,Cupressaceae,Picea,Abies,Larix,Pinus Undiff.,Pinus Haplox ,Pinus Diplox,Tsuga,Taxus,Populus,Salix,Betula,Betula-small,Betulacee,Ostrya/carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica/Comptonia,Rhamnus/Vitis,Ericaceae,Viburnum,Hamamelis,Cornus,Cephalanthus,Clethra,Poaceae,Zea,Artemisia,Ambrosia,Urtica,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Roseaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Sarracenia,Lythrum,Brassicaceae,Dennstaeditia,Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. Clavatum,Lycopodium,Osmunda,Woodsia,Monolete spore,Trilete spore,Upland sum,Equisetum,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Pediastrum,Indet.Crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic count,Exotic spike
146,209.664,,10,,1,15,26,,17,,,1,22,,,2,,,2,63,3,1,,,,,,13,,,20,3,,,,,,,11,,,,,,,,,,30,,,15,,1,,,,,27,,,,,,,,,,,,,,,1,,3,,,,,,4,,38,,329,,,,,3,1,,,,,,,,,,176,83393
150,217.171,,8,,1,19,16,1,17,,,,22,,,2,,,1,83,5,2,,,,1,,19,,,8,1,,,,,,,14,,1,,1,,,,,,33,,,12,,1,,,,,13,1,,,,,,,,,,,,,,,,2,,,,,,4,,32,,320,,,,1,7,3,,,,3,2,,,2,,188,83393
160,235.937,,9,,4,20,21,1,15,,,,29,,,3,,,,95,1,1,,,,,,22,,,16,,,,,1,,,10,,2,,,,,,,,20,,,14,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,2,,27,,318,,,,,4,1,,,,2,1,,,5,1,150,83393
170,258.782,,7,,4,15,16,,22,,,,29,,,4,,,,113,1,3,1,1,,,,21,,,11,,,,,,,,6,,2,,,,,,,,14,,,15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,17,,306,,,,,2,,,,,,,1,,6,1,119,83393
173,289.815,1,7,,,35,8,3,24,,,,35,,,3,,1,,162,5,3,2,,,,1,31,,,14,,,,,1,,,16,2,2,,6,,,,,,5,,,3,,3,,1,,,1,,,10,,,,,,,,1,,,,,,1,,,,,,3,,10,1,401,,,,,1,1,,,,,2,,,6,4,197,83393
177,331.192,4,6,,,43,4,2,31,,,,34,,,1,,,,167,4,2,1,1,,,2,43,1,,23,3,,,,,,,8,,2,,5,,,,,,5,,,1,,,,,,,1,,,8,,,,,,,,,,,,,,5,,,,,,,,21,,428,,,1,,2,3,,,,3,3,,,6,5,200,83393
180,362.224,,7,,,18,17,1,30,,,,34,,,4,,,,142,5,2,2,,,1,,29,,,16,,,,,,,,8,,2,,2,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,12,,344,,,,,3,,,,,,,,,5,1,128,83393
183,393.257,1,,,,32.5,4,,20,,,,27,,,2,3,2,,162,7,1,,1,1,,,30,2,,14,1,,,,,,,6,,4,,,,,,,,4,,2,,,4,,,,,,,,9,,,,,,,,1,,,,,,6,,,,,,6,,7,1,360.5,,,2,,1,6,,,1,4,,,,3,2,199,83393
187,434.634,7,1,,,34.5,4,3,29,,,2,54,,,2,2,2,,159,6,2,1,1,1,,2,35,,,6,,,,,,,,1,,4,,,,,,,,7,,,,,1,,,,,,,,12,,,,1,,,,,,,,,,2,,,,,,6,,6,1,394.5,,,,,1,3,,,4,2,2,,,5,2,220,83393
190,465.667,,8,,,13,10,2,26,,,,16,,,5,,,,141,,2,,,,2,,32,,,21,,,,,,,,5,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,13,,300,,,,,3,,,,,,1,,,5,1,125,83393
