Depth (cm),Cal age,Pinus indeterminable,Pinus undiff,Pinus banksiana t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. undiff,P. indet.,Abies,Vesciculate conif,Thuja/Juniperus,Larix,Quercus,Carya,Castanea,Juglans cinera,J. nigra t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus viridis t.,A. incana,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Celtis,Clethra,Moraceae,Tilia,Salix,Populus,Ledum/Chamydaphnea, Ericaceae undiff,VItis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Ilex,Platanus,Cephalanathus,Viburnum,Rhamnus,Rhus,Poaceae,Artemisia,Ambrosia,Rumex,Tubuliflorae,Liguliflorae,Plantago,Secale,Zea,Cheno Am,Solanaceae,Urticaceae,Iva ciliata t.,Rosaceae ,Thalictrum,Fabaceae,Brassicaceae,Ranunculaceae,Hydrocotyle t.,Apiaceae,Hypericum t.,Polygonum lapthifoliu t.,Lamiaceae,Cyperaceae,Xyris,Myrtaceae t.,Lonicera,Sisyrinchium,cf Rhexia,Xanthium t.,Acacia/Mimosa t.,Cornus sanquinaria t.,Pteridium t.,Dryopteris t.,Osmunda ,Trilete unk,"Lycopodium sp.,",Lycopodium inundatum T.,Upland sum,Isoetes,Eriocaulon sp.,Equisetum,Sphagnum,Typha,Myriophyllum,Nuphar,Nymphaea,Brasenia,Potamogeton,Sagittaria,Sparganium t.,Cupressaceae stomata,Non conifer stomata,Pinus stomata,PreQuaternary,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
90,2272.128,35,,,2,1,3,12,,1,,,,,1,,145,20,1,,,11,28,1,6,1,,,4,,,4,,1,,,,1,,,,1,,,,,10,,,,,,,,,3,1,1,,5,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4,1,2,,1,3,314,2243,1,1,,,,,,,,,,,,,,17,1,,4,1,,39,42716
95,2494.647,47,,,1,2,1,10,,1,,,,1,3,,149,14,,,,19,15,2,2,1,1,1,2,,,1,,,,,,,,1,,0,,,1,,20,1,1,,1,,,,,10,1,,,4,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,1,2,2,,1,,322,2489,,,,,1,,,,,,,,,,,13,1,1,2,7,7,63,42716
110,3170.771,28,,,,1,,11,,,,,,1,,,140,12,1,,,55,26,5,1,2,,,4,,,,,,4,1,,2,,,,0,,,,,20,1,,,,,,,,11,1,,,11,,,,,,,,,,2,1,,1,,,,,,4,,,,,,,,,,1,1,,,,348,754,1,,,,,,,,,,,,,,,13,2,5,4,12,3,41,42716
115,3393.309,26,,,,1,1,2,,,,,,,6,,115,11,3,,,62,24,1,,,1,,,,1,1,,,8,,,,,1,,1,,,,,15,3,,,,,,,,6,,1,,4,,,,,,,,,,1,,,,,,,,,7,,,,,,,,,,,,,,1,303,481,,,,,,,,,1,,,,,,,9,3,3,5,5,2,37,42716
120,3622.459,32,,,1,2,1,1,,1,,1,,1,4,,127,8,,1,,59,20,7,3,,1,,3,,1,1,,1,6,,,1,,,,0,,,,,7,5,,,,,,,,9,2,,,3,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,2,,,,,319,427,,1,,,,,,,,,,,,,,17,,2,6,10,,50,42716
125,3855.645,35,1,,2,1,,2,,,,,,1,4,,175,13,,,,39,10,2,1,,,,2,,3,,,,1,,,,,,,2,,1,,,1,2,1,1,,,,,,5,,,,4,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,1,2,3,,,,320,898,,,,,2,,,,,,,,,,,5,2,5,1,8,4,35,42716
130,3995.586,33,,,,,1,1,,,,1,,,5,,191,8,1,,,23,13,1,,,1,,3,,1,1,,1,1,,,,,,,0,,,,,7,2,,,2,,,,,11,,1,2,1,,,,,,,,1,,,,,,,,,,,6,,,,1,,,,,1,2,2,,,,325,747,,,,,3,,,,,,1,,,,,9,1,3,,1,2,60,42716
135,4132.424,38,,,3,1,3,4,,,1,,,,2,,150,7,2,1,,32,21,1,4,,2,,5,,1,2,,,,,,,,1,,0,,,,,21,3,,,,,,,,22,,2,,8,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,2,,,,345,1880,,,,,3,,,,,,,,,,,15,,4,3,1,1,47,42716
140,4270.933,33,,,,,,4,,,,1,1,,3,,178,5,,,,35,26,3,4,2,2,2,,,,1,,1,1,,,1,,,,2,,,,,4,,,,1,,,,,5,,1,,4,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,1,1,1,,,,331,840,,,,,1,,,,,,,,,,,7,,7,4,8,3,24,42716
145,4409.443,28,,,2,,,1,,,,,,,3,,172,6,1,,,31,29,3,5,1,1,1,1,,,2,,1,3,1,,,,,,1,,,,,15,1,,,,,,,,12,2,,,12,,,,,,,,,,,,,,,,1,,,7,,,,,,,,,3,,3,,,2,351,2208,,,,,2,,,,,,,,,,,17,,1,1,3,2,32,42716
150,4540.805,22,,,,,,2,,,,1,,,1,,178,9,,,,32,21,4,3,,1,,3,,,,,1,2,,,,,3,,0,,,,,11,1,,,,1,,,,14,,,,12,,1,,,,,,1,,,,,,,,,,,8,,,,1,,,,,1,,,,,,334,574,,,1,,4,,,,,,,,,,,16,1,5,2,9,4,37,42716
155,4670.54,17,,,1,2,,16,,,,,,,2,,163,8,,,,27,18,1,5,2,,2,4,,,,,2,1,,,2,1,1,,3,,,,,22,1,,,2,,,,,8,2,1,,7,,,,,,,,,,,,,,,,,,,8,,,,,,,,,1,,2,,,4,336,263,,,,,2,,,,1,,,,,,,10,,3,,,2,34,42716
165,4968.141,16,,,,2,,3,,,,,,,,,189,7,,,,39,12,1,4,,,1,2,,,3,,,3,,,,,,1,0,,,,,11,1,,,3,,,,,6,,1,,8,,,,,,,,,,,,,,,,,,,7,,,,,,,,,1,1,1,,1,2,326,481,,,,,3,,,,,,,,,,,9,1,1,1,5,2,31,42716
