Depth (cm),Cal age,Pinus indeterminable,Pinus undiff,Pinus banksiana t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. undiff,P. indet.,Abies,Vesciculate conif,Thuja/Juniperus,Quercus,Carya,Castanea,Juglans cinera,J. nigra t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus viridis t.,A. incana,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Clethra,Moraceae,Tilia,Salix,Populus,Ledum/Chamydaphnea, Ericaceae undiff,VItis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Ilex,Platanus,Cephalanathus,Viburnum,Rhamnus,Rhus,Myrtaceae t.,Cornus sanquinaria t.,Combretaceae T.,Anacardiaceae,Ceanothus t.,Sambucus,Poaceae,Artemisia,Ambrosia,Rumex,Tubuliflorae,Plantago,Secale,Zea,Cheno Am,Solanaceae,Urticaceae,Iva ciliata t.,Rosaceae ,Thalictrum,Fabaceae,Brassicaceae,Ranunculaceae,Hydrocotyle t.,Apiaceae,Hypericum t.,Polygonum aviculare. t.,Lamiaceae,Liliaceae,Saxifraga oppositifolia t.,Impatiens,Lycopodium inundatum T.,Caryophyllaceae,Boraginaceae,Triticum t.,Sisyrhincium t.,Petalostemum purpereum t.,Cyperaceae,Pteridium t.,Dryopteris t.,Osmunda ,Trilete unk,"Lycopodium sp.,",Upland sum,Isoetes,Equisetum,Sphagnum,Typha,Myriophyllum,Nuphar,Nymphaea,Brasenia,Potamogeton,Sagittaria,Sparganium t.,Eriocaulon,Pontederia,Utricularia,Cabomba,Cupressaceae stomata,Pinus stomata,Non conifer stomata,PreQuaternary,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
72,151.75,18,,6,4,1,4,8,,1,1,1,,2,1,56,12,,,,14,24,3,1,,2,,1,,1,1,,1,2,1,3,,,,,,1,,,61,,1,10,,,,,,,,,,,,12,1,30,18,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,3,15,5,,336,,,,1,,2,1,,,,,,,,,,,,,1,,2,3,11,1,69,42716
78,169.402,24,1,,2,,2,10,,,3,1,,2,2,56,5,,1,,20,24,,2,1,1,,2,2,4,,,1,1,,7,1,,,,,2,,,65,2,,8,,,,,,,,,,,,14,,12,16,2,,,,1,,,,1,,1,,,,,,,,,,,,,,1,,,,2,4,31,,,337,,,,,,,2,1,,,,,,,,,,,,4,,5,,3,3,144,42716
84,187.053,33,,,3,,3,14,,,1,,,,1,62,5,,1,,11,36,1,2,2,1,,3,,4,4,1,,4,2,5,,,1,,,1,,,59,2,,12,,,,,,,,,,,,4,1,14,14,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,4,5,38,1,,359,,,1,,,3,1,2,,,,,,,,,,,,,,6,1,12,,86,42716
90,204.705,23,,1,2,3,,12,,,1,,,1,3,107,11,2,,,13,27,4,1,2,4,,2,,3,5,1,1,2,,6,,,,,,4,,,44,4,,12,,,,,1,,,,,,,14,,5,4,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,4,13,2,,348,,,,,,,2,,,,,,,,,,,,,8,,16,,,2,68,42716
96,222.356,28,,1,1,,1,20,,,,1,,1,1,101,14,,,,26,24,3,1,2,,,6,,3,4,1,2,2,1,3,,,,,,3,,,53,3,,14,,1,,,,,,,,,,,2,2,1,1,,,1,,,,,2,2,,,,,,,,,,,,,,,,,,1,3,2,18,2,,358,,,,,,,2,1,,,,,,,,,,,,2,,2,,19,5,102,42716
102,240.008,26,,2,,1,1,18,,,1,1,,,5,107,9,,,,33,27,3,,1,,,4,,5,3,,,8,,,,1,1,,,1,,,39,1,,5,1,,,,,,,,,,,5,,4,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,3,1,13,,,333,,,,,,,2,,,1,,,,,,,,,,,,2,,4,3,99,42716
108,257.659,9,,2,2,2,,11,,,,,,,1,110,27,2,,,20,27,2,3,1,4,1,1,,3,4,,,6,2,2,,,,,,3,,,43,1,1,3,2,,,,,,,,,,,3,1,2,5,2,,,,,,,1,,,,,,1,,,,,,,,,,,,,,2,4,,13,,,329,,,,,,,4,1,,,,,,,,,,,,1,,3,1,17,4,87,42716
114,361.936,19,,1,1,1,,17,,,,1,,,1,135,14,3,,,27,24,6,3,1,1,,1,,7,3,,,3,,,1,,,,,,,,30,,,5,3,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,2,6,8,,,329,,,,,,1,1,2,,,,,,,,,,,,6,,,,6,1,43,42716
120,473.552,16,2,,6,2,,19,,,4,1,,2,,101,23,1,,,46,21,7,2,,1,,2,,3,1,,1,5,,1,,,,,,,,,37,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,6,7,,,320,,,,,,5,2,1,,,,,,,,,,,,1,,,,6,2,65,42716
126,585.169,11,,3,8,,2,15,,,,,,2,1,112,18,,,,25,36,2,1,1,3,,1,,6,5,1,1,,,1,,,,,,1,,,46,,,6,1,,,,,,,,,,,4,,2,3,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,5,9,,,336,,,3,,,1,5,,,,,,,,,,,,,2,,2,,1,2,52,42716
