Depth (cm),Cal age,Pinus indet.,Pinus diplox,P. banksiana t.,P. resinos/rigida t.,P. haplox,Tsuga,Picea glauca,P. mariana,Picea indet.,Picea undiff..,Abies,vesiculate conif ,Larix,Cupressaceae,Quercus,Carya,Castanea,Juglans nigra t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp,Clethra,Alnus viridis t.,A. crispa/incana t.,Acer rubrum,Acer sacc t.,A. negundo,Acer sp.,Nyssa,Salix,Populus,Ericaceae,Vitis,Myrica,Corylus,Corylaceae,Platanus,Cephalanthus,Viburnum,Ilex,Poaceae,Artemisia,Ambrosia,Rumex,Urtica,Plantago,Iva ciliata t.,Asteraceae,Rosaceae,Fabaceae,Apiaceae,Cannabis T.,Cheno/Ams,Caryophyllaceae,Polygonella sp.,Thalictrum,Polygonum lapath t.,Hypericum t.,Cyperaceae,cf. Cucurbitae,Secale,Triticum t.,Brassicaceae,Rhexia t.,Pteridium t.,Dryopteris t.,Osmunda,Trilete unknown,L. inundatum,Lycopodium sp.,Sellaginella t.,Upland sum,Isoetes,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Brasenia,Sagittaria,Typha,Sparganium t.,Eriocaulon,PreQuaternary,Pinus stomata,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
752,8251.587,63,,,1,2,8,,3,5,,,1,,7,160,1,,,1,30,5,,,1,,,11,1,2,1,,4,2,3,,,1,12,3,,,,,,5,2,8,1,,,,3,,,,,,,,,,,2,,,,,,7,2,2,,,,,360,3,1,,1,,,,,,1,1,,14,,1,1,,,48,104242
768,8688.533,66,2,,,8,13,3,,2,,,1,,3,136,1,,1,4,14,9,4,,,,,22,,,,,,2,,,1,,5,2,,,,,,4,,12,,,,,,,,,,,,,,,,,,,,,,4,4,5,,,,,328,2,,,,,,,,,,,,6,,4,,,,23,104242
784,9125.48,90,1,3,3,8,10,,4,5,,,3,,4,140,2,1,,7,12,1,5,,,,,11,1,,,,,,2,2,1,,20,1,,,,,1,10,,4,,,,,1,,,,,,,,,,,1,,,,,,3,1,4,,,,1,363,2,,,,,,,,,,2,,14,,,1,1,2,45,104242
800,9562.427,115,1,3,3,3,7,5,5,7,,,,,3,163,,1,,,26,6,1,2,2,,,3,1,,1,,1,1,1,1,2,,8,12,,,,,1,2,,3,,,,,3,,,,,,,,1,,,4,,,,,1,3,9,4,,,,,415,4,1,,,,,,,,,,,8,1,2,3,5,4,64,104242
832,9795.153,117,,11,1,16,7,2,10,2,,,1,1,,110,1,,,2,11,8,4,2,,,,1,3,,1,1,,,,,,,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,328,1,1,,,1,1,,,,,,,,,,,1,1,19,104242
848,9910.47,140,,12,2,3,14,,1,2,2,,1,,,102,1,,1,7,14,1,4,1,3,,1,6,,1,1,,4,,1,1,1,1,15,4,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,14,,2,,,1,,367,,,,1,,,,,,,,,14,,3,2,3,1,26,104242
864,10025.79,171,,12,,27,23,,5,1,,,,,1,35,1,,,,13,1,1,,,,,1,,,,,,,,3,,,3,1,,,,,1,,,,,,,,1,,,,,,,,,,,2,,,,,,1,,1,,,,,305,1,1,,,,,,,,,,,3,,2,,,1,12,104242
880,10141.1,207,5,3,1,25,20,1,5,4,1,,,,2,33,,,,,8,3,,,,,,3,1,,,,,,,1,2,,3,4,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,2,,,,,1,,338,,,,,,,,,,,,,2,,1,,1,1,14,104242
896,10251.13,131,2,9,8,55,23,,10,2,3,,2,,1,36,1,,,,20,4,1,,1,,,,,3,,,,,1,,1,,2,6,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,,,,2,,2,1,,,,331,1,1,,,,,,,,,,,6,,,,,,7,104242
928,10436.26,376,7,39,6,19,30,,19,6,,,1,1,3,71,,,,1,43,11,4,1,,,,9,,1,1,,,,,1,3,,4,4,,1,,,1,6,,,,,,,1,,,,,,,,,,,,,,,,,8,3,,,,,,681,18,1,,,,,,,,,,,9,,4,6,6,4,52,104242
944,10528.82,200,,1,3,1,7,5,1,9,,,3,,3,22,,,,,25,2,1,,,,,5,,,,,2,,,,,,8,,1,,,,3,,,,,,,,3,,,,,,,,,,,1,,,,,,3,,,1,,,,310,,,,,,,,1,,,,1,7,,1,2,,3,33,104242
960,10621.38,171,3,10,,16,7,1,2,2,2,,,,7,35,1,,,,17,7,1,1,1,1,,1,1,2,,,,,,,,,3,3,,1,,,,1,,,,,,,2,,,,,,,1,1,,1,,,,,,,4,3,,,,,,309,,,,,,,,,,,,,,,1,,,,10,104242
976,10713.94,230,,19,1,5,3,,3,1,,,,1,2,38,,,,,19,5,,,,,,6,,1,,,,,,1,,,7,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,351,1,,,,1,,,,,,,,7,,,,,,20,104242
992,10806.5,187,2,14,1,24,3,1,2,,,,,,,36,2,,,,26,4,,,,,,4,1,,,,,,,,3,,3,1,,,,,1,1,,,,,,,3,,1,,,,,,,,,,,,,,,7,2,,,,,,329,1,,,,,,,,,,,,,,1,,1,1,25,104242
1028,11198.29,136,1,14,,1,1,4,1,9,1,,2,1,5,19,1,,,1,42,,1,,,1,,,,,,,,,1,4,2,,6,7,2,,,,7,,,,,,,,1,,,,,,,,,,1,2,,,,,,,,,,,,,274,2,1,1,,,,,,,,1,,10,,1,2,2,2,29,104242
1040,11736.34,94,1,51,2,4,5,1,21,32,,2,1,1,6,23,1,,,2,25,2,,,1,,,14,1,2,,,,,,,,,5,3,,,,,2,1,,,,,,,1,,,,,,,,,,,1,,,,,,6,,,,,3,3,317,3,,,,,,,,,,,,,,,,,3,36,104242
1056,12557.88,47,,25,,4,1,26,71,45,4,3,2,1,,2,,,1,1,31,8,1,,,,,6,15,,,,,,,,,,5,1,1,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,3,,309,,12,,,,,,,,,,,2,,1,1,3,,26,104242
1072,13379.42,101,,72,,,1,15,34,47,4,3,3,4,6,6,,,,,11,5,,1,,,,,4,,,,,,,,2,,12,2,,,,,,1,2,,,,,,1,1,,,,,,,1,,,3,,,,,,,1,,,,1,,344,21,1,,,,,,,,,,,4,,,2,1,2,38,104242
1088,14200.96,110,2,94,,1,,6,56,29,5,1,5,,1,9,,,,1,10,7,,2,1,,,2,,,,,,,,2,,,7,2,,,,,,1,,,,,,,1,,,,,,,,2,,1,3,,,,,,1,,,1,,,,363,20,2,,,,,,,,,,,2,,1,,1,1,17,104242
1104,15022.49,22,,44,,,,48,71,61,11,10,4,,9,15,2,,,1,11,5,2,1,2,,,1,,,,,,,,,,,2,,1,,,,,7,,,,,,,1,,,,,,,,,,,5,,,,,,,3,,,,1,5,345,,1,,,,,,,,,,,4,,,1,,,60,104242
1120,15844.03,10,,10,,,,115,17,46,20,1,3,,7,12,,,,,25,14,1,,2,,,1,,,,,1,,6,7,,,17,,1,,,,,7,2,,,,,,3,,,,,,,,,,,20,,,,,,1,7,,,,,,356,2,1,,,,,1,1,,,,,10,,,2,4,3,112,104242
1152,16007.91,2,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,,,,,,2,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,16,,,,,,,,,,,,,4,,,,,,107,104242
