Depth,Pinus undiff,Pinus diplox,Pinus haplox,Pinus rigida t.,Pinus Total,Tsuga,Larix,Picea total,Picea glauca,Picea mariana t.,Picea undiff,Abies,Cupressaceae,Quercus,Carya,Castanea,Juglans,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra,Fraxinus penn t.,Fraxinus sp,Liquidambar,Ilex,Clethra,Alnus rugosa t.,Alnus crispa t.,Acer rubrum,Acer saccharum,Acer sp.,Nyssa,Salix,Populus,Ericaceae,Vitis,Myrica,Corylus,Betuloid,Viburnum,Rhus,Tilia,Platanus,Cephalanthus,Sambucus,Celtis,Moraceae,Liriodendron,Magnolia,Rhamnus,Cornus,cf Taxus,Poaceae,Artemisia,Ambrosia,Rumex,Liguliflorae,Iva ciliata t.,Tubuliflorae,Plantago,Cyperaceae,ChenoAm,Salsola,Sarcobatus,Ephedra,Secale,Zea,Triticum,Trifolium t.,Fabaceae,Urticaceae,Rosaceae,Thalictrum,Ranunculaceae,Apiaceae,Polygonum persicaria t.,Xyris,Helianthaceae,Araliaceae,Itea,Pinguicula t.,Solanaceae,Impatiens,Menyanthes,Rutaceae,cf. Parthenocissus,Galium,Cannabis,Lamiaceae,Pteridium t.,Dryopteris t.,Osmunda,Lycopodium sp,L. lucidulum,L. inundatum,Gymnocarpium,Polypodium,Asplenium,Athyrium,Trilete unknown,Isoetes,Equisetum,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Brasenia,Potamogeton,Typha,Sparganium,Pontederia,Eriocaulon,Saggitaria,preQuat,Degraded,Corroded,Broken,Crumpled,Obscured,Unknown,Exotic,upland sum,tree sum,tree&shrub
56,64,5,20,0,89,22,0,5,1,0,4,1,9,161,13,16,4,20,79,8,4,2,7,0,1,3,5,20,0,3,2,2,2,3,1,2,0,20,1,1,0,2,0,0,2,0,1,0,0,0,0,1,0,59,0,49,38,0,0,0,2,0,6,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,23,0,0,0,4,0,0,1,0,0,1,8,0,2,3,0,1,0,0,0,0,1,0,11,4,0,0,2,631,719,455,512
60,82,12,16,4,114,47,0,4,0,0,4,0,4,196,16,12,5,31,84,1,2,2,9,0,0,3,3,12,0,4,4,0,2,2,2,3,0,9,2,0,0,0,0,2,2,0,0,0,0,0,0,1,0,93,0,34,35,0,0,0,3,1,8,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,21,1,1,0,3,0,0,0,2,0,0,6,0,2,0,3,0,1,0,0,1,0,0,7,1,2,0,23,162,810,543,578
64,67,5,10,4,86,18,0,9,5,0,4,2,3,174,18,19,4,20,66,2,5,0,6,0,0,5,2,13,0,4,4,0,8,0,3,2,1,17,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,74,2,46,29,0,0,0,4,0,7,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,26,0,0,0,0,0,0,0,0,0,0,7,0,2,1,0,0,0,1,0,0,0,0,1,0,2,1,3,595,711,453,497
72,54,5,9,3,71,35,0,6,0,0,6,0,3,215,17,10,1,17,81,1,1,0,5,0,0,0,0,14,0,5,6,0,3,1,2,2,0,3,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,23,0,8,8,0,0,0,0,1,5,0,0,0,0,3,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,19,0,0,0,1,0,0,0,0,0,0,4,0,2,1,1,0,0,0,0,0,0,0,2,1,0,1,5,398,601,482,508
80,52,6,4,2,64,44,0,0,0,0,0,0,4,234,22,4,3,25,69,7,4,1,6,0,2,1,0,11,0,2,2,1,1,0,0,1,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,6,0,0,0,1,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,2,0,5,306,560,496,516
88,62,5,8,2,77,34,0,7,2,2,3,1,6,225,30,10,2,34,79,2,6,2,4,0,0,0,0,11,0,3,5,0,1,1,1,0,0,4,3,0,0,0,0,4,0,0,0,1,0,0,0,0,0,9,1,6,3,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,1,0,2,11,219,595,535,553
96,68,5,12,3,88,66,0,4,2,0,2,0,7,216,20,17,1,39,105,4,5,1,8,0,0,0,0,6,0,5,4,1,0,0,2,1,0,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,5,1,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0,1,0,0,0,2,1,0,241,646,595,610
104,82,3,25,0,110,53,0,4,4,0,0,0,6,229,20,17,0,47,104,8,9,4,10,0,1,0,0,10,0,4,6,2,0,0,0,0,0,3,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,2,0,0,0,0,0,0,1,1,4,0,3,241,680,638,654
112,72,10,18,0,100,35,0,3,2,0,1,0,2,171,0,21,2,50,100,7,6,2,5,0,0,0,1,8,0,3,6,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,3,0,1,2,194,543,515,528
120,96,6,30,0,132,37,0,2,1,0,1,0,6,208,22,8,3,75,86,5,4,4,6,0,1,0,0,7,0,2,4,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,9,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,2,1,0,0,6,239,650,605,617
128,62,6,40,0,108,55,0,3,0,0,3,0,2,202,13,2,1,50,93,7,5,3,7,0,0,0,0,3,0,1,6,1,2,1,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,9,61,588,565,571
136,67,4,31,1,103,44,0,2,2,0,0,1,1,193,17,4,0,46,82,9,8,3,4,0,1,1,0,2,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,6,109,548,524,529
144,66,8,26,1,101,46,0,3,1,0,2,1,2,211,27,3,5,36,91,1,4,2,7,1,0,0,1,8,0,1,6,1,0,0,0,1,0,9,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,1,0,0,0,0,0,0,1,0,0,0,6,122,588,551,572
152,62,3,20,0,85,52,0,2,0,0,2,0,2,192,16,1,3,56,98,5,6,3,4,1,0,0,0,10,0,1,4,0,0,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,1,0,0,1,1,1,7,119,571,533,549
160,76,5,19,0,100,48,0,2,0,0,2,0,1,172,21,4,0,66,110,9,11,2,8,5,0,1,0,9,0,0,4,2,0,0,0,0,0,4,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,13,132,604,569,584
168,65,2,18,0,85,53,0,1,0,0,1,1,2,164,15,2,0,94,114,6,4,4,6,0,1,0,0,11,0,0,4,0,0,0,0,1,1,5,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,0,0,3,2,2,0,22,157,600,559,580
176,90,3,12,1,106,45,0,0,0,0,0,0,1,194,25,3,2,77,116,8,6,0,14,0,0,1,0,4,0,4,7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,92,628,610,617
180,57,6,13,2,78,40,0,2,1,0,1,0,3,198,17,3,1,66,57,3,8,0,3,0,0,0,0,11,0,3,6,2,1,1,0,1,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,25,136,519,495,512
188,42,15,11,0,68,40,0,0,0,0,0,1,4,283,16,2,1,74,54,8,3,6,11,1,0,0,0,13,0,3,10,4,1,0,0,1,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,2,1,0,0,3,118,629,593,611
196,43,6,5,0,54,38,0,1,0,0,1,0,1,233,26,2,1,95,47,5,9,0,11,0,0,0,0,10,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,19,96,560,530,542
204,41,2,1,2,46,32,0,0,0,0,0,0,1,262,21,1,3,84,65,4,6,3,6,0,0,2,1,15,0,2,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,18,67,577,547,566
212,32,4,5,0,41,30,0,0,0,0,0,1,6,281,23,1,2,50,53,7,5,4,10,0,0,0,1,19,0,1,6,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,2,3,2,0,3,144,567,525,547
220,29,5,5,0,39,26,0,0,0,0,0,0,6,302,30,2,0,41,39,3,11,2,9,0,0,1,0,15,0,5,6,0,0,0,3,2,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,4,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,1,1,0,2,0,0,0,4,2,3,1,4,141,579,529,549
224,29,2,5,2,38,23,0,1,0,0,1,0,5,302,22,2,3,35,41,4,2,5,10,0,0,0,2,16,1,5,4,1,0,0,2,0,0,1,2,0,0,0,0,3,1,0,1,0,0,0,1,0,0,3,0,1,1,0,0,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,3,3,0,0,1,77,561,508,533
240,34,3,2,5,44,22,0,0,0,0,0,0,3,248,28,2,1,53,48,6,4,5,8,0,1,0,1,20,0,3,11,1,0,0,2,0,0,1,1,1,0,1,2,0,1,0,0,0,0,0,1,0,0,5,1,0,3,0,0,0,1,0,13,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,0,0,0,0,0,0,0,2,0,0,3,0,2,5,1,0,0,0,1,0,1,2,5,0,2,1,3,149,570,493,519
248,37,3,5,2,47,33,0,0,0,0,0,1,4,260,19,1,0,57,54,4,9,0,11,0,0,0,0,21,0,5,2,3,0,1,0,1,1,4,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,11,0,1,0,0,0,7,2,0,1,6,86,562,514,542
256,43,4,10,0,57,27,0,0,0,0,0,1,3,317,33,2,8,57,67,6,8,2,9,0,0,0,0,23,0,8,10,0,0,2,3,3,0,2,1,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,1,0,0,2,4,0,1,0,94,685,624,656
260,25,5,4,0,34,8,0,0,0,0,0,0,1,303,21,0,3,47,39,4,6,5,2,0,0,0,0,16,0,0,6,0,0,0,0,0,0,1,2,7,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,8,5,4,51,3,119,526,491,510
264,25,1,3,0,29,15,0,0,0,0,0,0,1,301,18,0,2,39,47,6,6,2,17,0,0,0,0,27,0,3,2,3,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,0,1,3,100,551,495,526
272,20,6,2,1,29,4,0,2,0,0,2,0,1,324,28,1,3,39,37,5,4,1,10,0,0,0,0,21,0,1,8,1,0,0,4,0,0,3,4,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,0,2,85,558,507,536
280,34,9,7,4,54,10,0,0,0,0,0,0,7,281,27,3,0,34,42,6,4,2,15,0,1,0,0,9,0,3,12,1,0,0,1,0,0,5,3,1,0,0,0,3,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,1,2,1,0,63,544,507,528
288,38,2,2,2,44,10,0,1,0,0,1,0,5,311,30,1,0,30,47,2,5,1,10,0,0,0,0,28,0,0,2,5,1,1,0,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,4,0,1,0,0,2,1,0,2,138,562,507,542
296,27,3,0,0,30,7,0,1,0,0,1,0,3,324,25,1,1,28,32,10,4,2,3,0,1,0,0,28,0,6,9,3,1,0,0,0,0,0,2,0,0,1,2,6,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,108,555,499,534
304,31,4,7,0,42,4,0,0,0,0,0,0,10,304,32,1,1,29,37,3,6,0,15,0,0,1,0,33,0,2,13,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,6,11,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,4,1,0,0,0,113,582,500,541
312,34,1,2,2,39,5,0,0,0,0,0,1,10,303,30,1,2,37,34,6,7,0,13,0,0,0,0,14,1,5,6,4,0,0,2,1,0,1,3,0,0,0,0,9,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,2,1,1,4,124,571,514,535
320,15,2,5,2,24,4,0,1,0,0,1,0,5,295,35,2,0,31,48,5,5,3,7,1,0,0,0,16,0,3,13,2,0,0,2,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,2,0,1,0,0,2,4,3,0,0,93,532,489,510
328,34,2,4,0,40,6,0,0,0,0,0,0,5,256,30,1,2,44,43,12,10,2,7,0,2,1,0,23,0,1,10,5,0,0,1,0,0,1,4,0,0,1,1,1,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,9,8,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,2,1,5,1,8,136,547,479,510
336,34,6,5,3,48,5,0,0,0,0,0,0,3,307,40,0,0,44,54,5,6,5,10,0,0,2,0,20,0,1,13,0,0,1,7,1,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,2,2,1,1,2,85,611,553,580
