Depth,Pinus undiff,Pinus diplox,Pinus haplox,Pinus rigida t.,Pinus Total,Tsuga,Larix,Picea total,Picea glauca,Picea mariana t.,Picea undiff,Abies,Cupressaceae,Quercus,Carya,Castanea,Juglans,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra,Fraxinus penn t.,Fraxinus sp,Liquidambar,Ilex,Clethra,Alnus rugosa t.,Alnus crispa t.,Acer rubrum,Acer saccharum,Acer sp.,Nyssa,Salix,Populus,Ericaceae,Vitis,Myrica,Corylus,Betuloid,Viburnum,Rhus,Tilia,Platanus,Cephalanthus,Sambucus,Celtis,Moraceae,Liriodendron,Magnolia,Rhamnus,Cornus,cf Taxus,Poaceae,Artemisia,Ambrosia,Rumex,Liguliflorae,Iva ciliata t.,Tubuliflorae,Plantago,Cyperaceae,ChenoAm,Salsola,Sarcobatus,Ephedra,Secale,Zea,Triticum,Trifolium t.,Fabaceae,Urticaceae,Rosaceae,Thalictrum,Ranunculaceae,Apiaceae,Polygonum persicaria t.,Xyris,Helianthaceae,Araliaceae,Itea,Pinguicula t.,Solanaceae,Impatiens,Menyanthes,Rutaceae,cf. Parthenocissus,Galium,Cannabis,Lamiaceae,Pteridium t.,Dryopteris t.,Osmunda,Lycopodium sp,L. lucidulum,L. inundatum,Gymnocarpium,Polypodium,Asplenium,Athyrium,Trilete unknown,Isoetes,Equisetum,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Brasenia,Potamogeton,Typha,Sparganium,Pontederia,Eriocaulon,Saggitaria,preQuat,Degraded,Corroded,Broken,Crumpled,Obscured,Unknown,Exotic,upland sum,tree sum,tree&shrub
344,21,2,7,1,31,11,0,1,0,0,1,0,4,321,37,1,2,48,48,11,13,1,9,0,1,1,0,13,0,5,7,3,0,0,2,0,0,3,1,0,0,1,0,3,2,0,0,0,0,0,1,0,2,8,0,4,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,5,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,3,1,0,5,128,633,559,583
352,24,2,1,1,28,11,0,1,0,0,1,0,4,363,47,2,4,59,66,9,14,3,17,0,0,0,0,20,0,8,9,6,0,0,7,0,0,1,1,0,0,1,0,10,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,139,721,668,693
358,8,3,2,0,13,11,0,1,0,0,0,0,0,271,33,0,3,43,51,6,11,8,4,3,0,0,0,22,0,4,5,0,1,0,0,0,1,1,1,3,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,9,3,4,15,0,121,523,476,501
360,15,4,3,2,24,27,0,2,1,0,1,0,3,342,35,0,2,57,55,9,12,4,11,0,0,0,0,19,0,4,6,2,0,0,0,0,0,2,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,1,0,0,0,2,9,4,1,5,138,648,604,626
368,19,2,2,1,24,56,0,0,0,0,0,0,7,242,50,2,2,46,50,3,9,7,8,0,0,1,1,29,0,7,8,1,0,0,1,1,2,1,3,0,0,1,1,6,4,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,130,614,530,573
376,24,6,4,3,37,52,0,0,0,0,0,0,4,223,35,0,2,42,39,1,7,1,11,1,0,0,0,20,0,1,14,0,0,2,1,0,1,0,5,0,0,0,1,7,5,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,2,1,2,2,121,559,481,512
384,21,0,5,2,28,61,0,0,0,0,0,0,7,266,26,1,3,47,42,9,11,3,7,1,0,2,0,21,0,6,7,2,0,0,0,1,0,3,2,0,0,0,1,7,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,2,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,4,0,1,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,7,1,0,1,5,119,603,535,565
392,30,2,3,3,38,52,0,1,0,0,1,0,6,303,13,0,0,67,37,5,11,3,4,0,0,0,0,21,0,1,11,1,2,1,1,0,0,0,3,0,0,1,0,10,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,7,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,12,2,0,3,0,105,633,567,595
396,15,2,3,0,20,46,0,0,0,0,0,0,0,266,11,0,2,51,27,7,9,6,3,3,0,2,0,17,0,1,3,0,0,0,1,0,0,0,0,7,0,0,5,12,0,0,0,1,0,0,0,0,0,6,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,1,5,40,3,130,527,481,500
400,18,6,8,2,34,44,0,0,0,0,0,0,2,270,11,1,2,64,25,4,8,4,8,0,0,0,1,26,0,3,7,1,0,0,0,0,0,1,2,0,0,0,1,8,4,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,10,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,2,2,22,1,0,2,2,97,568,497,531
404,17,4,1,0,22,32,0,0,0,0,0,0,0,284,4,0,3,52,23,8,9,5,1,3,2,1,0,10,0,4,7,0,3,1,0,0,2,0,0,8,0,0,0,12,6,0,0,0,0,0,0,0,0,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,3,36,2,160,531,483,502
408,21,3,1,3,28,53,0,0,0,0,0,0,3,274,6,0,4,55,28,9,12,1,8,1,0,0,0,16,0,5,9,0,0,0,0,0,0,0,0,0,0,0,1,13,8,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,2,1,1,1,4,2,94,556,511,535
416,16,3,4,1,24,49,0,0,0,0,0,0,0,284,4,0,0,48,35,4,16,2,6,0,1,0,0,23,0,6,5,2,0,0,1,0,0,0,1,0,0,0,1,6,2,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,3,0,86,544,494,523
424,14,7,0,0,21,69,0,0,0,0,0,0,3,248,3,1,1,75,31,3,5,2,1,2,0,0,0,15,0,4,2,1,0,0,0,0,0,0,1,0,0,0,0,10,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,2,1,4,0,19,0,43,517,483,500
432,24,3,4,2,33,78,0,0,0,0,0,0,4,269,5,1,0,69,35,8,17,0,5,0,0,0,0,19,0,6,3,5,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,6,1,95,580,543,565
440,15,4,6,0,25,62,0,0,0,0,0,0,2,319,1,0,1,99,50,12,5,5,6,0,0,0,0,24,0,3,4,1,0,0,1,0,0,1,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,3,1,1,0,7,2,103,657,609,635
444,13,0,1,0,14,30,0,0,0,0,0,0,0,202,2,0,2,153,41,8,6,0,2,2,0,0,0,14,0,6,3,0,0,0,1,0,0,1,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,40,2,137,515,490,505
448,11,3,7,1,22,54,0,0,0,0,0,0,5,190,3,1,0,141,47,7,9,1,8,0,0,0,0,9,0,7,2,1,0,1,0,0,0,1,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,3,1,9,0,109,546,514,526
452,15,2,1,0,18,24,0,0,0,0,0,0,3,253,2,0,1,108,35,9,5,2,1,1,0,0,0,18,0,4,2,0,1,0,2,0,0,1,0,6,0,0,0,19,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,2,20,1,143,532,496,515
456,16,2,4,3,25,49,0,1,0,0,1,0,1,286,1,0,4,76,30,5,8,3,5,1,0,0,0,15,0,5,4,3,0,0,1,0,0,0,2,0,0,1,0,16,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,1,2,4,2,93,556,524,542
472,10,2,3,0,15,28,0,0,0,0,0,0,1,332,2,0,0,37,34,7,17,5,0,3,0,0,0,12,0,7,2,0,0,1,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,1,5,40,1,146,552,512,524
476,22,2,4,0,28,37,0,0,0,0,0,0,0,321,1,0,1,30,40,6,8,2,5,2,0,0,0,15,0,6,5,0,1,0,0,0,0,0,1,2,0,0,0,8,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,4,11,2,174,541,504,520
480,18,1,6,0,25,36,0,0,0,0,0,0,2,308,1,0,1,31,37,8,4,1,2,1,0,0,0,17,0,8,4,0,0,0,2,0,0,1,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,3,4,21,1,130,527,487,505
496,44,4,10,0,58,45,0,3,0,0,0,0,0,308,1,1,1,29,32,5,6,0,2,2,0,0,0,25,0,2,3,1,1,1,0,0,0,1,0,4,0,0,0,5,2,0,0,0,0,0,0,0,0,4,0,5,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,3,3,17,1,272,572,507,535
506,54,3,16,0,73,26,0,0,0,0,0,0,0,300,2,0,0,22,35,7,7,2,2,1,0,0,0,17,0,6,6,0,0,0,0,0,0,0,1,2,0,0,2,5,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,7,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,4,8,15,2,176,549,498,516
516,62,4,15,0,81,21,0,1,0,0,0,0,0,334,0,0,0,22,50,5,9,0,2,1,0,0,0,19,0,4,11,0,0,0,0,0,0,0,2,0,0,0,3,5,1,0,0,0,0,0,0,0,0,8,0,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,3,2,4,1,181,610,548,570
536,51,7,26,0,84,30,0,1,0,0,0,0,0,289,1,0,1,16,51,5,8,3,1,2,0,0,0,17,0,6,8,0,0,0,1,0,0,0,1,2,0,0,1,4,3,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,4,7,1,181,554,513,535
546,52,6,14,0,72,34,0,2,0,0,0,0,0,267,1,0,0,11,54,12,3,5,1,1,1,0,0,14,0,2,8,0,0,0,1,0,0,1,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,1,17,4,147,535,482,497
556,64,11,15,0,90,16,0,3,0,0,0,0,0,262,2,0,1,16,48,8,6,1,2,1,0,0,0,22,0,2,11,0,0,1,0,0,0,1,0,6,0,0,1,3,1,0,0,0,0,0,0,0,0,2,1,16,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,1,12,0,324,549,477,501
566,62,7,15,0,84,24,0,2,0,0,0,1,2,257,2,1,0,14,59,4,5,0,0,1,1,0,0,20,0,1,6,0,0,1,0,0,0,7,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,9,1,14,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,8,4,6,22,3,160,549,466,497
576,54,11,20,0,85,23,0,2,0,0,0,0,1,257,2,0,0,17,50,7,8,5,4,4,0,0,0,19,0,3,6,1,0,0,0,0,0,4,1,4,0,0,1,7,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,12,3,206,570,485,509
596,51,7,24,0,82,25,0,4,0,0,0,0,0,262,0,1,1,11,62,9,7,4,4,1,0,0,0,23,0,4,5,0,0,2,1,0,0,5,4,7,0,0,0,1,0,0,0,1,0,0,0,1,0,4,0,17,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,5,7,2,146,568,490,523
616,47,6,15,0,68,22,0,1,0,0,0,0,0,284,0,0,0,11,40,9,2,2,1,3,0,1,0,28,0,4,5,0,0,2,1,0,0,6,4,2,0,0,0,5,2,0,0,0,0,0,0,0,0,3,0,19,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,5,3,0,143,545,461,502
636,38,10,24,0,72,24,0,1,0,0,0,0,0,294,1,3,0,10,37,7,6,5,3,5,0,0,0,15,0,1,5,1,0,1,0,0,0,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,27,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,1,4,9,2,169,556,480,499
656,62,10,22,0,94,25,0,2,0,0,0,0,2,276,0,1,0,5,79,7,10,2,9,0,0,0,0,29,0,2,3,2,0,1,6,0,0,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,40,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,11,2,172,657,525,566
676,63,15,24,0,102,27,0,1,0,0,0,0,0,274,0,0,0,2,44,11,6,3,5,1,0,0,0,27,0,4,4,1,0,0,5,0,0,8,4,4,0,0,1,4,0,0,0,0,0,0,0,0,0,6,0,19,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,1,8,3,199,592,498,537
696,75,10,28,0,113,32,0,1,0,0,0,0,0,241,1,0,0,2,37,10,7,7,6,1,0,0,0,33,0,3,1,0,0,1,1,0,0,12,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,39,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,13,1,172,590,470,516
706,99,0,28,0,127,28,0,2,0,0,0,0,0,228,0,0,0,4,40,10,4,2,1,2,0,2,1,25,0,0,4,0,0,1,2,0,2,2,2,11,0,0,0,5,0,0,0,1,0,0,0,0,0,5,0,28,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,2,6,35,1,169,565,470,504
716,78,14,43,0,135,17,0,5,0,0,0,0,0,246,0,1,2,2,33,8,5,5,2,0,0,0,0,38,0,4,7,0,0,3,2,0,3,9,3,4,0,0,1,6,0,0,0,0,0,0,0,0,0,3,0,32,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,6,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,3,5,4,1,117,622,483,536
726,97,7,26,0,130,24,1,2,0,0,0,0,0,230,1,0,0,1,36,15,7,6,3,0,0,3,0,27,0,4,1,0,1,0,0,0,1,3,2,1,0,0,2,1,0,0,0,0,0,0,0,1,0,11,0,25,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,7,2,6,26,0,202,579,464,501
736,46,10,31,0,87,34,0,3,0,0,0,0,0,246,2,1,0,11,56,9,11,3,1,5,0,1,2,23,0,8,3,0,0,2,1,0,0,2,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,7,1,18,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,2,6,5,176,580,490,520
756,101,14,25,0,140,33,0,2,0,0,0,0,1,162,1,0,0,2,34,4,7,3,2,0,1,0,0,96,0,0,6,0,1,1,3,0,0,16,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,5,6,0,148,564,408,521
776,115,31,39,0,185,30,0,0,0,0,0,0,1,194,0,2,0,0,29,4,8,4,4,1,0,0,0,37,0,2,2,0,0,2,5,0,2,14,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1,5,5,1,105,574,479,534
796,105,25,69,0,199,46,0,0,0,0,0,0,1,116,1,0,0,1,64,7,9,3,3,1,0,1,0,24,0,2,1,0,0,1,7,0,1,12,2,6,0,0,1,5,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,3,0,4,3,0,164,554,474,514
806,124,8,71,0,203,50,0,4,0,0,0,0,1,133,3,0,0,1,48,10,5,4,3,3,0,1,0,16,0,4,3,0,0,1,2,0,0,5,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,1,3,18,2,144,530,483,507
816,130,16,68,0,214,97,0,3,0,0,0,0,0,73,0,1,1,0,37,10,9,3,5,1,0,0,0,24,0,4,2,0,0,0,1,0,0,9,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,12,0,99,535,464,498
826,110,5,49,0,164,83,0,3,0,0,0,0,3,142,1,1,1,0,36,9,8,5,3,2,0,4,0,8,0,6,3,0,0,0,3,0,0,4,0,6,0,0,1,9,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,6,2,3,11,0,238,541,486,502
836,94,6,69,0,169,69,0,5,0,0,0,0,0,174,2,1,0,13,52,7,9,1,6,2,0,1,0,28,0,3,3,1,0,1,4,0,2,3,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,4,0,6,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,4,5,4,1,131,600,523,560
846,128,9,50,0,187,120,0,4,0,0,0,1,1,118,0,0,0,0,24,6,10,2,2,3,0,1,0,6,0,2,3,0,0,1,0,0,0,4,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2,2,5,2,163,521,488,499
856,152,16,95,0,263,106,0,2,0,0,0,0,1,88,0,1,0,2,29,4,6,3,2,1,0,0,0,7,0,8,7,0,0,0,2,0,0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,5,1,133,554,529,540
866,141,7,103,0,251,84,0,4,0,0,0,0,1,91,0,0,0,1,25,13,6,2,3,6,1,0,0,5,0,3,3,0,0,1,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,11,0,136,518,495,502
876,182,11,82,0,275,88,0,3,0,0,0,0,1,70,0,1,0,0,34,7,9,5,1,1,0,1,0,6,0,3,2,0,0,0,5,0,1,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,102,532,507,519
