Age (cal BP-prelim),Depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Other shrubs,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Other herbs,Dennstaeditia, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Eriocaulon,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Saggitaria,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic (pollen),Charcoal count,Exotic (charcoal),Tree pollen,Shrub pollen,Herb pollen,Sum Pterid,Upland pollen sum,Sum Aquati,Sum Indete,Total Pollen,Alnus Total,Pinus Total,tree&shrub
5801.464,368,1,,,,18,2,6,116,,2,,94,,5,4,2,9,2,99,7,14,4,,,,5,2,4,,89,1,,2,2,1,4,,3,,3,,1,,,,1,,,1,,,2,,,,,,,,,,2,,,,,,,,,,1,1,2,,,,,,1,,2,,,,,,1,7,,,1,,1,1,1,5,2,198,,,490,13,6,6,515,9,10,534,7,26,503
5979.832,384,,,,,27,3,5,143,,4,,65,,2,6,3,2,,89,7,12,3,,2,,3,2,8,,109,1,1,,1,1,5,,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,4,,,1,,2,2,,11,1,157,,,498,10,0,1,509,6,16,531,7,35,508
6069.016,392,,1,,,23,4,3,185,,1,,68,,4,6,1,2,1,73,4,12,1,,,,,6,7,,104,,,,,1,1,2,5,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,1,,,,,,2,7,1,,,,2,,2,3,2,129,,,506,10,2,3,521,10,9,540,8,30,516
6113.608,396,2,1,,,39,17,1,170,,,,69,,4,5,4,1,1,65,9,10,1,,,,2,3,5,,79,1,1,1,,,,,10,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,5,,,2,,,1,3,19,1,121,,,491,13,0,2,506,8,24,538,10,57,504
6158.2,400,1,1,,,33,9,3,160,,1,,66,,,4,1,1,2,82,7,6,3,,,,1,3,5,,103,1,1,,,1,1,,5,1,3,,,,,,3,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,1,,1,,4,2,2,7,1,156,,,494,14,4,1,513,7,16,536,6,45,508
6247.384,408,1,,,,26,12,1,180,,,,72,,2,1,2,2,1,70,3,7,1,,2,,,4,5,,100,,,,1,,2,1,5,,2,,,,,,,1,,2,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,1,,2,,,,,,,5,,,2,,5,2,1,12,2,165,,,493,11,5,3,512,7,22,541,8,39,504
6336.568,416,,2,1,,36,14,3,128,,,,79,,1,5,5,2,2,83,7,8,2,,1,,,,6,,112,,1,,,1,,,1,,3,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,1,,,,,,6,4,,,,1,1,3,12,3,148,,,498,8,3,3,512,10,20,542,1,53,506
6514.936,432,1,,,,35,8,,130,,,1,91,,6,2,2,2,2,97,5,6,,,1,,1,3,4,,107,2,1,,,,2,,3,1,1,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,8,2,,1,,2,2,6,7,1,179,,,507,8,2,3,520,11,18,549,5,43,515
6693.304,448,,,,,41,11,5,119,,5,,83,,2,7,1,3,,82,5,5,2,,1,,,4,5,,113,2,,,,1,3,,1,1,1,,1,,,,,,,,,,,,2,,1,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,10,,,,8,3,,8,,202,,,496,8,5,1,510,11,19,540,4,57,504
6782.488,456,1,2,,,40,9,5,109,,1,,76,,7,7,3,4,5,96,6,12,2,1,,,2,3,6,,108,,,,,,1,,2,2,1,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,,2,,,,,,1,,9,,,,2,1,3,15,3,168,,,505,6,5,4,520,10,24,554,3,54,511
,460,1,,,,57,19,4,101,,,1,80,,3,5,,4,2,111,5,10,4,,,,2,1,6,,89,1,,,,,2,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,3,,,,1,,,3,,,,,2,1,2,19,,125,,,506,5,1,8,520,4,24,548,4,80,511
6871.672,464,2,2,1,,52,14,2,82,,2,,69,,5,6,1,2,3,134,8,9,2,,,,3,2,6,,105,,,,,,,,2,,,,,,,,1,,,1,,,1,,,,,,,,,,2,,,,,,,,,,,,3,,1,,,,,,2,,,,,,,2,5,,,,3,,2,12,1,195,,,512,3,4,6,525,7,18,550,2,68,515
6916.264,468,1,2,,,49,20,7,71,,1,1,82,,5,7,6,3,2,123,8,17,2,,1,,1,1,6,,83,3,,,,,,,2,,2,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,1,5,,,,,,,,2,,,,1,,,1,3,,,,11,5,9,29,8,191,,,502,4,4,8,518,5,62,585,2,76,506
6960.856,472,1,2,1,,46,16,4,119,,4,1,79,,3,10,3,1,1,91,10,8,2,,1,,,2,9,,86,,,1,1,,,,,2,2,,1,,,,,,,,,,,,1,,,,,,,1,2,,,,,,,,,,1,1,2,,,,,,,,7,,,,1,,,4,11,,,,3,3,4,10,2,216,,,502,5,5,10,522,16,22,560,0,66,507
7050.04,480,1,3,,,42,13,6,119,,,,97,,2,8,2,2,1,94,9,10,2,,,,2,1,3,,108,,1,,,1,3,,,,2,,1,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,2,,,,,,,1,7,,,,11,,1,17,2,271,,,526,9,2,7,544,8,31,583,3,61,535
7228.408,496,1,1,,,40,21,11,139,,,,71,,7,5,,1,1,95,8,6,1,,,,1,1,5,,87,,,,,1,3,,1,,2,,,,,,2,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,,,,,1,1,,1,,4,3,2,12,4,152,,,502,9,3,3,517,3,25,545,4,72,511
7406.776,512,,,,,63,28,6,96,,,,68,,6,12,4,3,,126,3,10,2,,,,,1,6,,66,,,,,,3,,,1,,,1,,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,6,,,,1,,,,,1,,,,,,2,2,,,,,2,,8,2,183,,,500,6,3,8,517,4,12,533,3,97,506
7585.144,528,,1,1,1,83,55,14,125,,,1,44,,2,1,2,1,,121,4,5,2,,,,1,1,2,,27,,,,,,3,,1,2,2,,,,,,,,,1,,,1,,,,1,,,,,,2,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,1,,,,4,,1,13,1,163,,,494,8,6,5,513,1,19,533,4,152,502
