Depth (cm),depth,mean,error,type
0-1,0,-60,5,top
32-33,32,200,25,settlement
50-51,50,1390,30,C
145-146,145,3710,40,C
250-251,250,4680,35,C
377-378,377,7670,50,C
555-556,555,9720,45,C
640-641,640,10200,45,C
,,,,C
