depth,mean,error,type
93,760,40,C
113,850,40,C
167,1240,40,C
222,1710,40,C
292,2090,40,C
420,3230,40,C
0,-46.5429260149,3,PB
4,-26.1767299793,3,PB
8,-1.7140203824,4,PB
12,30.0954096396,4,PB
16,89.8716298618,4,PB
