Sample ID,Depth m,depth cm,Picea,Abies,Larix,Cuppressaceae,Salix,Populus,Pinus Diploxylon,Pinus Undiff,Pinus strobus,Betula,Tsuga,Quercus,Carya,Ostrya-Carpinus,Juglans Cinerea,Juglans Nigra,Corylus,Fraxinus(3),Fraxinus(4),Ulmus,Acer Rubrum,Acer Saccharum,Acer Pennsylvaniucm,Acer Spiccatum,Platanus,Castanea,Tilia,cf Sorbus,Alnus,Taxus,Ericaceae,Myrica,Viburnum,Ribes,Sambucus,Graminae,Compositae (Tubiflorae),Cyperaceae,Artemisia,Ambrosia,Thalictrum,cf veratrum,Ranunculus,Geranium,Xanthium,Chenopopdium Americanum,Urtica,Arenaria-type,Liguliflorae,Osmunda,Botrychium,Lycopodium Annotinum,Lycopodium Clavatum,Lycopodsium Complanatum,Lycopodium Inundatum,Lycopodium Lucidulum,Lycopodium Obscurum,Lycopodium Selago,Selaginella,Equisetrum,cf  Brasenia,Isoetes,Nuphar,Potamogeton,typha-latifolia,Typha-sparganium,Botryococcus,PediastrumAraneosum ,Pediastrum Boryanum,Pediastrum Integrum,Sphagnum,unknown,unidentifiable
79-14-30,1.75,175,4,13,0,0,0,1,13,71,17,54,1,18,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,4,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,3,2,0,0,0,0,1,0,0,3,2
79-14-35,1.8,180,5,12,2,2,1,0,19,109,35,60,5,23,0,3,0,0,2,0,0,2,0,2,0,1,1,1,0,0,11,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,61,2,0,0,0,0,0,0,0,1,1,2
19-15-3,1.86,186,3,6,0,0,0,0,9,53,14,70,2,18,1,3,0,0,1,1,0,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,26,0,1,0,0,0,0,0,1,0,4,3
79-15-13,1.96,196,3,6,1,0,0,0,7,62,7,62,0,16,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,4,0
79-15-18,2.01,201,3,11,1,1,1,0,25,52,10,52,0,11,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0
79-15-23,2.06,206,5,12,0,2,1,0,12,45,17,49,1,12,1,3,0,0,2,3,0,2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
79-15-33,2.16,216,5,8,0,0,0,0,2,50,9,59,0,10,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,51,0,0,0,0,0,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,6
79-15-38,2.21,221,3,6,1,0,0,0,13,40,12,35,1,14,0,4,0,0,3,3,0,1,0,1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,3
79-15-43,2.26,226,5,10,0,0,0,0,5,71,2,48,1,11,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
79-15-53,2.36,236,6,6,1,0,0,0,16,40,2,58,1,16,1,2,0,0,3,1,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
79-15-63,2.46,246,7,4,0,1,1,2,22,34,12,53,3,13,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1
79-15-69,2.52,252,13,9,1,0,2,0,27,49,11,59,2,16,0,1,0,0,3,4,0,2,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2
79-15-72,2.55,255,10,7,0,1,0,0,18,40,3,46,1,11,0,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,74,0,0,0,0,0,0,2,5,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4
79-15-75,2.58,258,29,5,1,1,2,1,21,26,5,37,1,11,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,72,0,0,0,0,0,1,0,8,5,0,0,0,0,0,0,0,0,0,1,1,0,1,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,2,4
