cal age linear,Sample,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undiff,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Fraxinus undifferentiated,Morus,Ilex,Alnus rugosa,Alnus crispa,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bistoides,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium inundatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indetermined crumpled,Indetermined broken,Indetermined coroded,Indetermined obscured,Unidentified,Unknown,Exotic,Charcoal:Pollen,SUM TREES & SHRUBS,SUM UPLAND HERBS,SUM PTERIDOPHYTES,SUM AQUATICS,UNIDENTIFIED,POLLEN SUM,POLLEN SUM + AQUATICS,total pollen sum,tree&shrub
185.6,47,3,4,1,1,78,45,23,10,50,0,0,1,153,2,4,1,6,93,3,8,4,1,0,0,0,3,2,0,67,28,1,0,2,0,0,4,0,0,17,0,0,0,0,0,0,21,0,1,8,0,0,0,0,0,0,0,16,0,2,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,1,0,2,2,0,0,0,1,0,1,1,11,0,4,7,3,3,0,0,338,37,459,49,17,14,17,525,539,556,537
228.6,49,2,6,1,0,59,29,24,6,50,0,0,0,154,2,5,4,7,84,2,7,4,1,0,0,1,6,0,0,81,42,1,0,1,0,2,3,0,0,7,0,1,0,1,0,0,13,0,0,5,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,7,0,5,6,2,3,0,1,216,49,475,25,12,7,17,512,519,536,534
281.3,51,0,5,2,0,61,27,27,7,89,0,0,1,137,0,4,4,8,70,3,14,6,1,0,0,0,3,3,0,76,49,1,1,1,0,0,3,0,0,13,0,0,0,0,0,1,4,0,0,5,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,6,5,3,2,0,0,275,101,494,14,6,8,16,514,522,538,556
343.9,53,2,10,0,0,58,28,20,10,71,0,0,2,151,2,2,2,13,73,2,12,3,1,0,0,0,3,4,0,73,40,0,0,2,0,0,10,0,1,12,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,1,2,0,0,245,52,491,11,7,6,10,509,515,525,549
406.6,55,1,5,0,1,59,34,15,10,80,0,0,1,143,2,2,3,2,78,2,9,2,2,0,0,0,3,0,0,82,34,0,0,3,0,0,2,0,1,8,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,8,0,7,8,3,2,0,1,290,40,466,9,12,11,21,487,498,519,525
469.3,57,2,6,0,0,59,38,20,1,85,0,0,0,117,0,3,3,3,65,4,11,4,2,0,0,0,4,0,0,94,42,0,0,2,0,1,2,0,0,9,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,1,1,7,0,4,4,1,2,0,0,245,54,459,12,12,11,11,483,494,505,518
531.9,59,1,1,0,0,46,24,17,5,105,0,0,0,115,1,5,3,9,70,0,13,6,2,0,0,0,3,0,0,103,19,0,0,2,0,0,10,0,0,9,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,7,0,7,4,1,1,0,1,265,61,477,11,7,9,14,495,504,518,523
594.6,61,1,1,0,0,52,31,17,4,95,0,1,0,110,2,3,3,14,67,1,9,3,3,0,0,0,1,1,0,117,19,0,0,0,0,0,7,0,1,17,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,2,0,4,0,8,3,2,2,0,0,278,52,476,9,11,6,15,496,502,517,528
657.2,63,1,2,0,0,41,23,15,3,94,0,0,0,124,1,11,4,12,63,0,10,5,4,0,0,0,3,1,0,111,27,0,0,0,0,3,4,0,0,2,0,1,0,0,0,2,4,0,0,2,0,1,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,1,0,8,0,10,5,0,4,0,0,254,53,483,13,15,11,19,511,522,541,526
719.9,65,2,3,0,0,51,31,14,6,100,0,0,0,135,4,1,3,7,68,4,12,3,2,0,0,1,3,2,0,96,24,0,0,2,0,0,11,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7,0,15,4,1,3,0,0,363,62,487,7,12,8,23,506,514,537,538
