Sample,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undiff,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Fraxinus undiff.,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Juglans undiff.,Carya,Platanus,Celtis,Fagus,Fagaceae,Betulaceae,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus undiff.,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Poaceae,Secale cereale,Zea,Artemisia,Ambrosia,Iva,Urtica spp.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bistoides,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Lythrum,Denstaedtia,Pteridium,Botrychium,Ophioglossum,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium clavatum,Lycopodium inundatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Indetermined crumpled,Indetermined broken,Indetermined coroded,Indetermined obscured,Unidentified,Unknown,Exotic,Charcoal:Pollen,trees and shrubs,herbs,,pteridophytes,aquatics,indeterminable and unknown,pollen sum (upland),pollen sum and aquatics,total pollen sum,ferns,indeterminable and unknown,upland pollen sum,pollen sum + aquatics
20,2,22,0,0,163.5,140.5,13,10,23.5,0,0,0,88,0,8,2,3,0,330,12,7,5,0,1,0,0,0,12,1,0,19,10,5,12,0,0,0,0,10,0,0,1,3,1,0,0,0,0,0,0,23,1,0,0,24,0,1,0,0,0,0,0,0,26,0,1,3,0,0,0,0,0,0,0,0,2,0,2,13,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,119,0,0,0,1,8,14,9,0,395,173.8,741,83,0,18,119,32,839,958,982,16,23,840,959
22,0,5.5,0,0,138,121,13,4,22,0,0,0,61,0,4,0,2,1,266,6,4,3,0,0,0,0,0,16,0,0,11,6,1,7,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,17,0,0,2,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,79,0,0,2,1,4,11,6.5,0,325,524.9,566.5,41,0,19,79,24.5,625.5,704.5,723.5,19,18,626.5,705.5
24,2,10,0,0,146.5,131.5,9,6,27,0,1,0,68,0,1,1,3,0,224,3,3,0,1,0,0,0,0,8,2,1,9,4,2,7,0,0,0,0,13,0,0,3,0,0,1,0,0,0,0,0,20,1,0,0,13,0,0,1,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,83,0,0,0,2,8,12,4,5,365,267,540.5,47,0,19,83,31,605.5,688.5,716.5,19,27,606.5,689.5
26,0,5,0,0,138.5,120.5,6,12,29.5,0,0,0,59,0,6,6,3,0,193,7,3,1,0,0,0,1,0,9,2,0,17,1,0,5,0,0,0,0,15,0,0,1,1,0,2,0,0,0,1,0,7,0,0,0,15,0,0,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,73,0,0,2,1,3,6,5.5,0,221,499.8,505,30,0,24,73,17.5,558,632,644,24,12,559,632
28,2,4,0,0,131,108,12,11,31,0,0,0,68,0,6,4,4,1,214,3,6,3,0,0,1,1,0,11,2,1,15,3,2,3,0,0,0,1,13,0,1,0,3,1,0,0,0,0,0,0,8,1,0,1,7,0,0,1,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,0,0,1,2,4,6,3,1,235,490.3,535,28,0,11,79,17,572,651,666,10,14,573,652
30,1,10,0,0,116.5,102.5,11,3,27,0,0,1,65,0,5,0,4,0,235,4,7,4,0,0,0,1,0,5,2,0,16,6,2,5,0,1,0,0,7,1,1,2,5,0,0,0,0,0,0,0,7,1,0,0,10,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,83,0,0,2,0,9,9,6.5,0,267,538,533.5,25,0,23,83,26.5,580.5,663.5,684.5,23,20,581.5,664.5
32,3,12,0,0,125,100,24,1,28,0,0,0,76,0,3,3,6,1,176,4,5,1,0,0,0,1,1,17,5,0,21,3,2,4,0,0,0,0,8,0,0,6,4,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,83,0,0,5,1,11,3,3,0,269,730.9,515,12,0,16,83,23,543,626,646,16,20,543,626
34,2,9.5,0,0,89.5,74.5,9,6,32,0,2,0,62,0,2,0,4,0,228,7,7,3,0,0,0,0,0,14,2,0,23,2,4,5,0,0,0,0,7,0,0,3,5,0,0,0,0,0,0,0,7,0,0,0,3,0,0,2,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,1,0,0,0,0,0,3,0,2,1,0,0,0,1,0,0,0,95,0,0,1,1,5,7,3.5,1,232,480.8,513,20,0,29,96,18.5,562,658,673,29,15,562,658
36,3,5,0,0,88,72.5,11.5,4,17.5,0,0,2,65,0,4,5,4,0,234,2,4,3,1,1,0,1,0,11,2,0,23,2,5,6,0,0,0,0,12,0,0,1,2,0,0,0,0,0,0,0,6,0,0,1,7,0,0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,3,0,5,1,0,0,0,0,0,0,0,101,0,0,3,1,5,7,3,0,245,603.9,503.5,24,0,20,101,19,547.5,648.5,664.5,20,16,547.5,648.5
38,1,10,0,0,81.5,63,11.5,7,25,0,1,0,68,0,5,2,13,1,232,4,6,0,0,0,0,0,0,8,3,0,17,7,1,4,0,0,0,0,9,0,0,2,6,1,0,0,0,0,0,0,9,0,0,0,8,0,0,3,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,0,0,102,0,0,1,0,4,14,5,1,208,913.1,507.5,26,0,30,103,25,563.5,666.5,686.5,30,20,563.5,666.5
