depth,mean,error,type
95,1200,40,C
113,1780,40,C
152,2720,40,C
191,3630,40,C
225,4900,40,C
1,-51,1,PB
4.5,-46,1,PB
6.5,-43,1,PB
8.5,-40,1,PB
10.5,-37,1,PB
12.5,-34,1,PB
14.5,-30,1,PB
16.5,-27,1,PB
18.5,-23,1,PB
20.5,-18,1,PB
22.5,-12,1,PB
24.5,-5,1,PB
28.5,9,2,PB
32.5,26,2,PB
34.5,35,2,PB
37.5,53,9,PB
40.5,71,2,PB
42.5,89,4,PB
