depth,mean,error,type
45,785,35,C
61,1084,35,C
91,1301,36,C
125,1517,38,C
2,-48,1,Pb
3.5,-46,1,Pb
4.5,-42,2,Pb
5.5,-37,2,Pb
6.5,-30,2,Pb
7.5,-23,3,Pb
8.5,-13,3,Pb
9.5,-1,4,Pb
10.5,11,3,Pb
11.5,23,4,Pb
12.5,42,7,Pb
13.5,76,12,Pb
