Depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Planera ,Other trees,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Shepherdia,Rhus,Other shrubs,Sum AP,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Campanulaceae,Lamiaceae,Impatiens,Liliaceae,Corydalis ?,Other herbs, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Equisetum,Dryopteris-type,Dryopteris spinosa-type,Athryrium Filex-Femina,Other Pterid,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Lycopus-type,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,Exotic (pollen),Charcoal count,Exotic (charcoal),Tree pollen,Shrub pollen,Herb pollen,Sum Pterid,Upland pollen sum,Sum Aquati,Sum Indete,Total Pollen,tree&shrub
172-173 cm,4,2,,,24,3,167,34,,3,1,54,,,3,4,4,,172,,1,,,,1,,22,2,,36,2,,,,,,,6,,,,,,1,1,,,,,,,,,547,2,,1,1,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,177,,,539,8,8,1,556,1,2,559,547
180-181 cm,4,1,,,26,3,150,25,,,,64,,,5,3,2,,197,5,2,,,1,,,16,4,,37,1,,,,,,,3,,,,,,,2,,,1,,,,,,552,4,,1,1,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,2,,,,,2,,,,1,1,,,,,1,,,,,,,,3,,5,,,146,,,546,6,9,5,566,3,8,577,552
188-189 cm,2,2,,,39,4,136,24,,1,,54,,,10,5,6,,156,10,3,1,,,,,19,,,40,,,,,,,,5,,,,,,1,3,,,1,,,,,,522,5,,,1,,,,,,2,,,2,2,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,1,6,,,,2,1,,,,,,,,,,,,2,3,,,,,132,,,512,10,13,9,544,3,5,552,522
192-193 cm,1,3,,,35,2,153,38,,,1,34,,,9,2,5,,174,8,5,,,1,,2,12,,,41,1,,,,,,,2,,,,1,,,,,,2,,,,,,532,4,,,2,,2,,,,,,,,6,,,,,,,,1,,,,,1,,,,,2,,,,,,1,,,,3,4,,,,,1,,,1,,4,,1,,,1,,,1,,,1,,129,,,527,5,15,10,557,8,2,567,532
200-201 cm,4,1,,,40,5,139,29,,1,2,65,,,8,4,5,,174,3,2,,,,3,1,15,,,38,6,,,,,,,4,,,,1,,1,,,,,,,,,,551,1,,,,,2,,,,,,1,1,5,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,2,,,,1,,,,,,4,,2,,,,,,1,,,1,,113,,,545,6,11,6,568,7,2,577,551
208-209 cm,5,,,,47,5,126,26,,,3,51,,,6,5,2,,181,6,3,2,,1,,1,13,,1,37,2,,,,1,,,9,,,,1,,3,3,,,2,,,,,,542,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,2,,,,5,3,,,,2,2,,,,,1,,,,,,,1,,1,2,,,119,,,524,18,3,15,560,5,4,569,542
216-217 cm,,1,,,34,6,140,34,,,2,48,,,5,2,5,,170,9,4,,,,,,11,3,2,41,,,,,,,,3,,,,2,,1,2,,,2,,,,,,527,2,,,,,1,,,,,1,,3,1,,,,,,,,,,,,,1,,,,,4,,1,,,,3,,,,5,2,,,,1,,,,,,1,,1,,,,,,3,,2,,,95,,,517,10,8,15,550,3,5,558,527
224-225 cm,3,,,,43,6,85,38,,,1,58,,,10,5,5,,186,3,5,,,1,,1,25,1,,54,,,,,,,,6,,,,,,1,3,,,3,,,,,,543,3,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,1,,,5,,,,,,2,,,,6,1,,,,3,2,1,,1,1,1,,1,,,,,1,2,,,2,,105,,,530,13,6,14,563,10,5,578,543
232-233 cm,4,1,,,38,6,101,21,,,2,57,,,6,3,4,,210,7,4,2,,2,2,,16,1,,47,3,,,,,,,6,,,,2,,,3,,,1,,,,,,549,5,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,8,1,,,,2,5,,,,1,,,,,,,,1,1,,,,,125,,,537,12,12,14,575,8,2,585,549
240-241 cm,4,,,,39,4,88,26,,,,37,,,6,4,3,,240,5,4,,,,1,,22,1,,42,1,,,,,,,6,,,,4,,,6,,,1,,,,,,544,4,,,3,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,15,3,,,,2,,,,,,,,1,,,1,,,4,,2,,,114,,,527,17,13,23,580,4,6,590,544
248-249 cm,4,1,,,37,3,96,24,,,1,55,,,8,7,3,,217,6,3,1,,1,,,15,3,,48,1,,,,,,,13,,,,,,,4,,,2,,,,,,553,4,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,7,,,,,,,,,,26,8,,,,,3,,1,,1,,,,,,,,1,1,,,,,97,,,534,19,7,41,601,5,2,608,553
256-257 cm,3,2,,1,40,5,113,10,,2,,45,,,9,6,9,,232,1,3,2,,1,2,,23,1,,27,,,,,,,,3,,,,2,,,4,,,3,,,,,,549,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,25,2,,,,,1,1,,,1,,,,,,1,,1,,,5,,,112,,,537,12,4,31,584,4,6,594,549
