depth,mean,error,type
178,1659,35,C
252,3434,32,C
0,-52,NA,Pb
6,-44,NA,Pb
10,-38,NA,Pb
14,-30,NA,Pb
18,-24,NA,Pb
20,-20,NA,Pb
24,-13,NA,Pb
28,-7,NA,Pb
30,-4,NA,Pb
36,14,NA,Pb
40,30,NA,Pb
46,57,NA,Pb
50,75,NA,Pb
