cal age linear,Depth,Pinus undiff,Pinus diplox,Pinus haplox,Pinus rigida t.,Pinus total,Tsuga,Picea glauca,Picea mariana,Picea Undiff,Picea total,Picea indet.,Abies,Cupressaceae,Quercus,Carya,Castanea,Juglans,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,Fraxinus penn t.,Fraxinus sp,Liquidambar,Ilex,Clethra,Alnus rugosa t.,Alnus crispa t.,Acer rubrum,Acer saccharum,Acer sp.,Nyssa,Salix,Populus,Ericaceae,Vitis,Myrica,Comptonia,Corylus,Betuloid,Tilia,Cephalanthus,Platanus,Celtis,Rhus,Rhamnus,Cornus,Morus,Viburnum,Sambucus,Ephedra,Pollen conc,Poaceae,Artemisia,Ambrosia,Iva ciliata t.,Rumex,Plantago,Tubuliflorae,Liguliflorae,Secale,Zea,Triticum,Solanaceae,Cheno/Am,Salsola,Sarcobatus,Urtica,Thalictrum,Menyanthes t.,Hydrocotyle t.,Apiaceae undiff,Sium t.,Boraginaceae,Cyperaceae,Rosaceae,Filipendula sp.,Ephedra,Hypericum,Xyris,Ranunculus,Polygonum bistota t.,Impatiens,Brassicaceae,Menyanthes,Lamiaceae,Pteridium t.,Dryopteris t.,Osmunda,Trilete unknown,Botrichium t.,Gymnocarpium t.,Athyrium,Polypodium,Elaphoglossum,Lycopodium lucidulum t.,Isoetes,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Brasenia,Potamogeton,Sparganium,Sagittaria,Pontederia,Nymphoidaea,Typha/Sparganiumt.,Eriocaulon,Utricularia t.,PreQuaternary,Pinus stomata,Tsuga stomata,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic,total pollen sum,C:P,Sample age,sample vol,exotic conc,% sample vol counted,pollen conc/cc,tree sum,tree&shrub
1048.8,120,27,3,4,1,35,36,1,0,0,1,0,1,2,269,24,9,0,22,66,3,4,1,1,1,1,0,1,19,0,7,1,0,0,0,0,1,0,3,0,7,0,0,0,2,0,0,0,0,0,0,0,0,517,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1,0,0,0,0,0,0,3,2,0,1,3,11,1,0,0,0,0,0,0,0,2,0,0,3,2,0,0,1,1,272,566,63.9,1071.7,1,85432,0.0031838187,177773.941176471,486,517
1124.8,124,34,3,0,0,37,33,1,0,5,6,0,0,2,269,23,0,1,40,61,5,6,0,9,0,0,0,1,16,0,4,6,2,1,2,0,1,0,3,0,5,0,0,0,3,0,0,3,0,1,0,0,0,540,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,9,6,4,0,0,0,0,0,0,0,1,2,0,3,0,8,0,0,0,0,0,1,0,0,0,0,0,4,0,4,3,13,1,221,610,83.2,1148.3,1,85432,0.0025868527,235807.78280543,511,540
1200.8,128,36,6,6,1,49,47,2,0,1,3,0,0,2,303,12,3,0,36,55,1,2,1,3,0,0,1,1,6,0,4,6,0,1,1,0,0,0,0,0,6,0,0,1,2,0,0,0,0,1,0,0,0,547,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,1,1,0,2,1,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,4,376,597,83.1,1224.9,1,85432,0.0044011612,135646.021276596,532,547
1276.8,132,30,6,5,1,42,59,4,0,2,6,0,1,5,241,15,2,1,41,64,2,2,1,4,1,0,0,0,20,0,3,3,0,1,0,0,2,0,0,0,4,0,0,0,1,0,0,1,0,0,0,1,0,523,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,0,2,0,0,6,0,7,0,0,0,2,0,0,0,0,0,0,0,2,0,5,2,2,5,330,575,98.6,1301.5,1,85432,0.0038627212,148858.787878788,495,523
1348.998,136,41,2,5,3,51,46,1,0,2,3,0,0,5,293,23,3,2,44,53,4,14,2,6,0,0,0,0,13,0,1,8,0,0,0,0,2,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,580,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,3,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,240,611,44.6,1374.2,1,85432,0.0028092518,217495.633333333,560,580
1409.97,140,29,0,3,1,33,33,3,0,1,4,0,1,6,282,21,4,2,36,69,6,10,4,4,0,0,0,1,21,0,2,5,0,0,0,2,2,0,2,0,3,0,1,0,2,1,0,0,0,0,0,0,0,557,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,12,7,5,0,0,0,0,0,0,0,4,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,255,607,69.6,1434.9,1,85432,0.00298483,203361.662745098,527,557
1470.942,144,31,1,1,1,34,40,0,1,1,2,0,0,3,263,19,0,2,31,60,2,6,1,10,0,0,0,0,13,0,3,4,0,0,0,0,4,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,7,3,0,0,0,0,0,0,0,5,4,0,0,1,6,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,2,3,203,551,40.5,1495.7,1,85432,0.0023761588,231886.857142857,481,504
1531.914,148,41,8,7,1,57,32,2,0,1,3,0,0,6,271,16,1,1,28,49,3,5,3,2,0,0,0,0,19,0,4,6,1,0,1,0,0,1,1,0,1,1,0,2,3,0,0,0,0,0,0,0,1,518,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,0,0,0,0,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,283,554,52.5,1556.4,1,85432,0.0033125761,167241.441696113,493,518
1592.886,152,42,2,5,1,50,53,0,0,0,0,0,0,3,356,38,2,1,37,59,2,4,3,4,0,0,0,1,19,0,2,5,0,2,0,3,1,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0,0,652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,18,17,5,0,0,0,0,0,0,0,0,7,0,1,1,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,258,728,36.8,1617.1,1,85432,0.0030199457,241063.937984496,627,652
1653.858,156,32,5,4,7,48,37,1,0,2,3,0,0,7,304,28,0,0,34,60,5,9,1,2,0,0,0,1,14,0,2,8,3,1,0,0,2,0,2,0,6,0,1,2,3,0,0,0,0,0,0,2,0,585,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,8,3,203,631,32.6,1677.8,1,85432,0.0023761588,265554.640394089,556,585
1714.83,160,44,2,3,2,51,30,0,0,0,0,0,0,4,308,36,2,2,30,55,1,2,1,6,1,0,0,0,17,0,3,6,0,0,1,2,4,0,2,0,3,0,0,0,3,0,1,1,0,0,0,0,0,572,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,20,10,0,0,0,0,0,0,0,1,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,4,1,99,650,52.6,1738.6,1,85432,0.0011588164,560917.171717172,544,572
1775.802,164,45,16,4,0,65,28,0,0,0,0,0,0,4,318,30,0,2,25,44,0,1,0,5,4,0,1,0,17,0,1,5,0,0,0,0,3,0,2,0,6,2,0,4,1,0,0,0,0,0,0,0,0,568,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,25,3,0,0,0,0,0,0,1,7,7,0,2,0,9,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,6,0,182,654,30.1,1799.3,1,85432,0.0021303493,306991.912087912,535,568
1836.774,168,43,1,4,3,51,29,1,0,0,1,0,0,6,337,20,1,2,30,58,4,6,1,8,0,0,1,0,22,0,3,8,0,0,0,1,5,1,1,0,4,0,0,1,1,0,0,1,0,0,0,0,0,603,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,4,1,0,0,0,0,0,0,2,10,0,2,1,6,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,5,1,197,685,56.5,1860.1,1,85432,0.0023059275,297060.507614213,567,603
1897.746,172,54,5,5,0,64,29,0,0,1,1,0,0,9,310,20,1,1,44,50,4,7,1,11,0,0,0,2,20,0,4,6,0,1,0,1,4,2,3,0,3,0,1,6,4,0,0,0,0,0,1,0,0,610,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,11,33,3,0,0,0,0,0,0,1,10,9,0,1,1,8,1,0,1,0,0,0,0,0,0,0,0,2,1,3,1,5,4,104,721,38.3,1920.8,1,85432,0.0012173424,592273.769230769,569,610
1958.718,176,43,7,5,8,63,24,0,0,0,0,0,0,6,322,19,4,0,38,46,3,7,2,2,0,1,5,0,20,0,3,7,0,1,1,2,2,0,1,0,3,0,1,3,3,1,0,0,0,0,0,0,0,590,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,35,6,0,0,0,0,0,0,0,6,12,0,4,0,12,0,0,0,1,0,2,0,0,0,0,0,6,3,4,1,6,3,165,712,52.4,1981.5,1,85432,0.0019313606,368652.024242424,555,590
2019.69,180,39,2,10,2,53,23,0,0,2,2,0,0,2,294,30,1,0,37,56,2,2,1,3,0,1,0,1,20,0,3,3,0,2,0,6,3,0,0,0,5,1,0,1,4,0,1,0,0,0,0,0,0,557,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,17,5,0,0,0,0,0,0,0,6,10,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3,178,637,48.1,2042.3,1,85432,0.0020835284,305731.370786517,526,557
2080.662,184,53,8,8,4,73,25,1,0,2,3,0,0,5,298,23,0,0,39,39,2,7,2,1,1,0,2,0,17,0,6,2,0,2,0,0,2,1,2,0,7,0,1,3,3,0,0,2,0,0,0,0,0,568,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,28,5,0,0,0,0,0,0,0,3,13,0,4,0,3,0,0,2,0,0,0,0,0,0,0,1,1,1,2,0,6,4,202,653,19.3,2103,1,85432,0.0023644536,276173.742574257,532,568
2141.634,188,55,7,8,1,71,32,1,0,0,1,0,0,6,318,22,3,0,42,49,3,4,2,6,0,1,3,2,16,0,1,7,1,1,0,1,4,0,3,0,4,0,1,0,2,0,1,0,0,0,0,0,0,607,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,8,18,3,0,0,0,0,0,0,0,1,10,0,5,0,8,1,0,1,0,0,0,0,0,0,0,0,6,0,3,0,2,3,187,684,35.8,2163.7,1,85432,0.0021888754,312489.240641711,574,607
2202.606,192,39,7,11,5,62,19,0,0,1,1,0,0,5,274,21,1,1,51,41,6,5,0,4,1,0,1,1,16,0,3,4,1,0,0,1,5,0,3,0,7,0,1,0,1,0,1,0,0,0,0,0,0,537,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,4,11,4,0,0,0,0,0,0,0,3,10,0,1,0,5,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,7,1,188,598,31.3,2224.4,1,85432,0.0022005806,271746.468085106,503,537
2259.476,196,56,4,10,1,71,34,0,0,1,1,0,1,6,245,20,0,0,47,46,5,6,1,3,0,1,0,0,20,0,5,3,0,0,0,0,2,0,0,0,2,2,0,1,2,0,0,0,0,0,0,0,0,524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,15,3,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,8,2,204,580,17.3,2281.9,1,85432,0.002387864,242894.901960784,499,524
2303.752,200,59,2,5,0,66,44,0,0,2,2,0,0,3,325,15,1,1,32,61,2,5,2,4,0,1,1,0,21,0,5,2,1,0,0,0,0,1,2,0,7,1,0,1,0,0,0,1,0,0,0,0,0,607,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,13,7,0,0,0,0,0,0,0,13,13,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,268,696,54.2,2329.7,1,85432,0.0031369978,221868.179104478,573,607
2348.028,204,37,8,6,2,53,24,0,0,1,1,0,0,1,278,20,0,1,34,42,2,7,1,4,0,0,0,0,10,0,2,9,1,0,0,1,3,0,5,2,2,1,0,1,5,0,1,1,0,0,0,0,0,512,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,0,0,3,4,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,3,0,3,1,5,3,268,565,140.5,2377.4,1,85432,0.0031369978,180108.507462687,487,512
2392.304,208,42,4,4,2,52,26,2,0,4,6,0,0,6,279,15,0,1,36,41,4,5,3,5,2,0,3,0,15,1,6,4,0,0,0,0,5,1,2,0,5,1,1,1,3,0,1,0,0,0,0,0,0,530,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,7,9,0,1,0,0,0,1,0,0,2,4,0,3,1,8,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,3,2,170,581,46.6,2425.1,1,85432,0.0019898867,291976.423529412,496,530
2436.58,212,43,9,9,1,62,35,1,0,1,2,0,0,4,274,7,0,1,36,69,4,5,2,2,0,0,1,0,12,0,0,2,11,1,0,3,1,2,2,7,1,2,2,3,2,0,0,0,1,0,0,0,0,556,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,1,0,0,0,0,7,3,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,203,595,53.1,2472.8,1,85432,0.0023761588,250404.137931034,526,556
2480.856,216,43,0,4,4,51,28,2,0,1,3,0,0,6,278,18,0,1,32,44,8,2,2,1,3,0,0,1,21,0,3,9,2,1,0,0,0,1,2,0,4,2,0,0,2,0,0,0,0,0,0,0,0,525,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,0,0,0,0,0,0,8,3,0,5,9,0,0,0,0,0,0,1,0,0,0,0,0,3,0,5,0,1,2,238,582,55.5,2520.6,1,85432,0.0027858414,208913.546218487,496,525
2525.132,220,60,7,7,0,74,25,1,0,0,1,0,0,7,291,24,0,2,38,77,5,3,1,7,0,0,1,0,16,0,5,4,1,1,0,2,0,0,2,2,3,1,0,1,3,0,1,0,0,0,0,0,0,598,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,8,2,0,0,0,0,0,0,0,5,3,0,8,0,3,0,0,1,0,0,0,0,0,0,0,0,3,1,3,1,3,2,209,651,36.1,2568.3,1,85432,0.0024463901,266106.373205742,572,598
2569.408,224,58,4,7,3,72,21,1,0,1,2,0,0,3,255,12,0,1,45,37,5,4,3,7,1,1,0,0,17,0,1,5,2,0,0,1,1,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,505,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,3,6,0,0,0,0,0,0,0,6,2,0,3,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5,2,201,556,53.2,2616,1,85432,0.0023527484,236319.36318408,479,505
2613.684,228,51,13,9,4,77,30,1,0,0,1,0,0,6,286,21,0,0,42,50,2,2,1,3,2,0,0,0,16,0,1,5,0,1,2,0,1,0,3,2,3,2,0,2,0,0,2,0,0,0,0,0,0,563,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,10,5,0,5,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,4,0,256,627,55.8,2663.7,1,85432,0.0029965353,209241.65625,534,563
2657.96,232,43,4,10,1,58,34,1,1,0,2,0,0,11,257,16,1,0,45,60,5,6,1,6,1,0,0,1,11,2,2,4,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,529,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,2,4,1,0,0,0,0,0,0,11,2,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,1,208,589,130.5,2711.4,1,85432,0.0024346849,241920.423076923,510,529
2702.236,236,39,4,6,1,50,32,0,0,0,0,0,0,2,285,24,0,0,42,57,3,6,1,5,0,1,0,0,15,0,1,12,0,1,0,1,1,0,6,2,0,2,0,0,4,0,0,0,0,0,0,0,0,553,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,1,3,3,0,3,0,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,6,1,188,595,45.8,2759.2,1,85432,0.0022005806,270383.191489362,529,553
2746.512,240,38,5,4,2,49,21,0,0,2,2,0,0,2,290,16,0,2,28,53,6,8,2,2,0,0,0,0,12,0,2,5,0,2,1,1,0,1,8,0,0,1,3,0,1,0,0,0,0,0,0,0,0,518,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,13,1,0,12,0,5,0,0,0,1,0,0,0,0,0,0,0,2,1,2,1,2,2,176,579,62,2806.9,1,85432,0.002060118,281051.863636364,497,518
2790.788,244,44,8,5,1,58,27,1,0,1,2,0,0,5,291,19,0,1,42,62,1,2,2,6,0,0,0,0,12,0,2,18,0,0,0,1,0,0,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,560,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,8,4,3,0,0,0,0,0,0,0,5,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,3,1,5,2,8,0,178,613,65,2854.6,1,85432,0.0020835284,294212.449438202,541,560
2835.064,248,37,3,9,1,50,23,0,0,1,1,0,2,5,339,12,0,2,40,54,2,7,2,2,0,0,0,1,15,1,5,5,0,0,0,1,1,0,4,3,0,0,1,1,0,0,0,1,0,0,0,0,0,580,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,6,2,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,5,0,3,0,2,0,220,627,58.4,2902.3,1,85432,0.0025751475,243481.2,553,580
2879.34,252,45,5,5,1,56,22,0,0,0,0,0,0,2,297,21,1,0,35,50,7,7,1,3,4,0,0,0,10,0,1,6,1,0,0,2,2,0,3,8,1,0,2,1,2,0,0,0,0,1,0,0,0,546,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,3,0,0,0,0,0,0,1,6,2,0,8,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,7,2,220,595,42.8,2950.1,1,85432,0.0025751475,231054.727272727,521,546
2923.616,256,39,2,9,2,52,23,0,0,0,0,0,0,4,338,15,1,0,32,30,6,6,1,6,1,0,1,0,14,0,3,4,0,0,0,0,1,0,0,0,1,2,1,0,2,0,1,1,0,0,0,0,0,546,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,7,2,0,5,0,7,0,1,0,0,0,0,0,0,0,0,0,3,0,4,1,6,1,202,600,58.2,2997.8,1,85432,0.0023644536,253758.415841584,527,546
2967.892,260,31,5,1,0,37,19,0,0,0,0,0,0,7,312,22,0,0,34,33,2,9,0,1,4,0,0,0,17,0,2,1,0,0,0,1,1,0,1,4,2,2,0,2,1,0,1,1,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,4,7,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,177,556,49.4,3045.5,1,85432,0.0020718232,268362.666666667,487,516
