depth,mean,error,upper depth,lower depth,type
44,710,70,42,46,C
58,1070,80,56,60,C
74,1500,70,72,76,C
89,2200,60,87,91,C
0,-43,1,0,1,Pb
1,-40,1,1,2,Pb
2,-36,1,2,3,Pb
3,-30,2,3,4,Pb
4,-23,3,4,5,Pb
5,-14,3,5,6,Pb
6,-6,2,6,7,Pb
7,1,2,7,8,Pb
8,7,2,8,9,Pb
9,14,2,9,10,Pb
10,21,3,10,11,Pb
11,28,2,11,12,Pb
12,35,2,12,13,Pb
13,42,2,13,14,Pb
14,48,2,14,15,Pb
15,54,2,15,16,Pb
16,60,2,16,17,Pb
17,67,3,17,18,Pb
18,74,2,18,19,Pb
19,82,3,19,20,Pb
20,96,5,20,21,Pb
