depth,mean,error,type
0,-54,5,top
20,200,25,settlement
84,2480,45,C
149,3870,45,C
224,4590,40,C
235,4550,25,C
239,4700,25,C
247,4630,30,C
308,6270,30,C
386,7840,45,C
427,9510,50,C
430,9480,35,C
478,12800,160,C
