corrected depth,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Saxifraceae,Rhus,Other shrubs,Sum AP,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Campanulaceae,Lamiaceae,Impatiens,Iridaceae,Other herbs,Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Equisetum,Dryopteris-type,Dryopteris spinosa-type,Athryrium Filex-Femina,Other Pterid,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Lycopus-type,Utricularia,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,Exotic (pollen),Tree pollen,trees and shrubs,herbs,ferns,aquatics,indeterminable,upland pollen sum,pollen sum + aquatics,total pollen sum
172,0,1,0,0,81,27,3,51,31,0,0,1,56,0,0,7,6,5,0,252,4,4,1,0,1,1,1,25,1,0,42,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,606,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,13,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,149,602,525,9,6,18,4,540,558,562
176,1,0,0,0,115,17,3,95,34,0,0,2,84,0,0,5,11,6,0,226,4,9,6,0,3,1,1,19,0,0,44,1,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,696,3,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,8,4,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,130,687,581,12,5,18,3,598,616,619
196,3,2,0,0,91,35,4,52,45,0,0,3,57,0,0,6,9,2,0,228,5,8,0,0,0,0,2,34,0,0,40,0,0,0,0,0,0,3,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,638,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,1,2,0,0,213,626,547,6,2,18,7,555,573,580
200,2,2,0,0,87,21,5,61,30,0,2,4,65,0,0,8,4,1,0,226,11,9,0,0,0,1,0,18,0,1,40,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,607,3,0,0,1,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,11,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,3,1,0,277,603,520,14,9,16,9,543,559,568
204,0,1,0,0,82,22,2,58,33,0,0,0,66,0,0,8,4,3,0,249,11,4,4,0,2,0,0,22,0,0,54,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,634,4,0,1,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,13,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,209,627,552,12,3,20,4,567,587,591
208,0,0,0,0,80,24,2,54,25,0,2,1,69,0,0,15,6,5,0,247,7,3,2,0,1,1,0,27,1,0,56,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,637,5,0,0,1,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,18,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,4,0,0,0,0,103,630,557,13,3,24,4,573,597,601
212,1,0,0,0,71,19,3,49,22,0,0,2,51,0,0,7,9,5,0,248,16,3,0,0,2,3,0,24,0,3,77,1,0,0,0,0,0,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,624,7,0,1,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,25,7,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,2,0,1,112,616,553,14,7,38,6,574,612,618
216,0,0,0,0,72,17,2,53,28,0,0,1,78,0,0,3,8,8,0,270,10,6,0,0,1,4,0,18,0,0,64,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,652,8,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,6,0,0,0,0,1,0,0,1,0,6,1,0,0,0,0,0,0,1,2,0,1,1,0,89,644,580,13,1,42,5,594,636,641
220,1,0,0,0,82,19,3,60,23,0,0,0,57,0,0,3,13,3,0,253,12,4,0,0,3,4,0,14,0,3,75,1,0,0,0,0,0,5,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,643,2,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,31,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,112,633,561,9,5,39,1,575,614,615
224,1,1,0,0,77,28,3,46,25,0,1,0,48,0,0,1,8,6,0,270,4,3,0,0,2,2,0,24,0,0,64,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,623,5,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,26,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,104,614,546,9,6,34,1,561,595,596
228,5,0,0,0,79,25,2,52,32,0,1,0,74,0,0,8,8,5,0,228,10,6,0,0,1,0,4,25,1,2,70,0,0,0,0,0,0,6,0,0,0,1,0,1,3,0,0,2,0,0,0,0,0,651,4,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,38,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,111,638,572,11,5,51,2,588,639,641
232,3,2,0,0,82,28,7,47,40,0,0,0,61,0,0,7,11,3,0,239,9,5,0,0,1,5,1,12,0,0,58,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,624,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,37,13,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84,621,542,10,6,53,1,558,611,612
236,3,1,0,0,89,28,1,60,44,0,1,4,65,0,0,8,9,6,0,197,5,2,0,0,1,3,2,16,0,0,60,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,610,4,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,76,605,521,11,2,31,4,534,565,569
240,6,0,0,0,75,24,2,49,53,0,0,4,51,0,0,8,8,2,0,228,11,8,2,0,1,3,0,12,3,0,53,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,610,6,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,34,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,103,604,535,12,5,43,1,552,595,596
244,3,1,0,0,91,26,4,61,83,0,0,0,58,0,0,8,12,4,0,215,8,1,3,0,3,3,1,11,2,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,662,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,32,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77,656,571,7,4,38,1,582,620,621
248,1,0,0,0,82,35,2,45,58,0,0,3,63,0,0,6,7,3,0,274,12,3,1,0,4,1,2,20,2,0,49,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,677,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,34,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,114,674,595,4,5,40,1,604,644,645
252,1,1,0,0,63,10,5,48,40,0,2,0,45,0,0,6,10,4,0,234,11,8,3,0,3,3,0,16,4,0,70,2,0,0,0,0,0,8,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,603,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,4,0,0,0,39,3,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3,0,0,150,589,540,8,9,46,6,557,603,609
256,6,0,0,0,78,21,3,54,63,0,1,0,39,0,0,10,10,4,0,243,11,0,1,0,2,3,0,21,0,0,50,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,5,0,0,3,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,38,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,135,622,549,13,7,43,1,569,612,613
