corrected depth,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Saxifraceae,Rhus,Other shrubs,Sum AP,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Campanulaceae,Lamiaceae,Impatiens,Iridaceae,Other herbs,Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Equisetum,Dryopteris-type,Dryopteris spinosa-type,Athryrium Filex-Femina,Other Pterid,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Lycopus-type,Utricularia,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,Exotic (pollen),Tree pollen,trees and shrubs,herbs,ferns,aquatics,indeterminable,upland pollen sum,pollen sum + aquatics,total pollen sum
40,10,5,0,0,105,30,7,68,35,0,2,3,86,0,0,6,8,4,0,157,5,3,3,0,1,5,0,9,0,1,30,10,0,0,0,0,0,9,0,0,0,5,0,0,4,0,0,1,0,0,0,0,0,612,16,0,0,43,0,0,0,1,0,0,13,0,1,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,15,8,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,1,0,189,593,507,84,8,29,6,599,628,634
44,2,4,0,0,83,19,1,63,40,0,0,0,113,0,0,5,4,2,0,211,6,5,1,0,0,1,0,11,1,1,18,9,0,0,0,0,0,3,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,610,15,0,0,22,0,0,0,0,0,0,8,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,28,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,0,449,600,527,53,12,33,9,592,625,634
48,1,4,0,0,115,23,2,90,40,0,0,2,91,0,0,3,3,7,0,178,7,5,5,0,4,0,0,15,0,0,23,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,626,8,0,0,3,0,1,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,220,620,511,21,13,38,2,545,583,585
52,1,4,0,0,83,27,4,52,39,0,1,2,80,0,0,7,17,3,0,201,4,6,3,0,0,1,0,21,1,0,30,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,594,4,0,1,5,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,1,0,601,591,511,19,2,22,11,532,554,565
56,2,2,0,0,73,18,3,52,54,0,4,0,85,0,0,6,8,5,0,236,4,3,0,0,1,2,2,11,0,0,21,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,13,0,0,6,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,12,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,525,596,526,27,3,17,6,556,573,579
60,1,1,0,0,88,18,1,69,46,0,0,0,94,0,0,1,4,2,0,199,5,4,0,0,0,1,0,14,0,0,42,2,0,0,0,0,0,7,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,605,2,0,0,3,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,2,0,691,592,517,13,2,7,11,532,539,550
64,2,1,0,0,88,33,2,53,44,0,0,0,87,0,0,6,4,6,0,217,6,3,7,0,0,0,1,16,1,0,39,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,621,1,0,1,8,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,12,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,0,213,618,533,17,8,20,7,558,578,585
68,6,3,0,0,99,17,4,78,44,0,1,0,71,0,0,6,9,6,0,205,6,4,4,0,1,0,2,7,2,1,20,7,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,612,1,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,16,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,463,603,513,10,5,20,6,528,548,554
72,3,3,0,0,80,25,3,52,31,0,3,1,90,0,0,0,6,2,0,242,2,3,0,0,0,2,0,17,2,0,34,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,10,0,1,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,11,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,514,605,534,23,11,16,5,568,584,589
76,1,1,0,0,88,31,3,54,43,0,1,0,75,0,0,7,10,6,0,218,9,3,4,0,0,2,1,19,0,0,26,8,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,618,2,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,19,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,322,611,530,9,3,24,5,542,566,571
