depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,total Pinus,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Saxifraceae,Other shrubs,Sum AP,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Campanulaceae,Lamiaceae,Impatiens,Lamiaceae,Other herbs, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Equisetum,Dryopteris-type,Dryopteris spinosa-type,Athryrium Filex-Femina,Other Pterid,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,Exotic (pollen),C:P,Exotic (charcoal)
40,2,10,0,1,4,27,41,72,121,0,3,1,120,0,0,6,0,12,0,107,4,1,0,2,4,0,1,7,2,0,26,1,12,0,0,0,0,4,0,0,0,3,0,2,3,0,0,0,0,0,0,0,527,10,0,5,3,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,4,4,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,1,1,0,1,2,0,225,23.5 ,0
44,1,4,0,1,9,25,39,73,138,0,0,0,110,0,0,2,6,7,0,89,5,8,3,0,2,1,0,9,2,0,43,1,13,0,0,0,0,4,0,0,0,4,0,1,4,0,0,2,0,0,2,0,535,12,0,0,7,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0,7,3,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,3,0,3,1,0,98,19.7 ,0
48,4,1,0,2,3,24,29,56,78,0,5,1,116,0,0,10,6,8,0,129,6,3,0,0,0,1,1,5,1,0,40,5,18,0,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,507,5,0,2,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,328,20.3 ,0
52,3,3,0,2,7,31,41,79,137,0,0,2,99,0,0,11,3,3,0,100,1,8,0,0,2,2,0,10,1,0,34,4,12,0,0,0,0,4,0,0,0,3,0,0,3,0,0,2,1,0,1,0,530,6,0,2,3,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,94,25.8 ,0
56,4,3,0,1,3,17,29,49,111,0,2,4,109,0,0,5,3,11,0,126,7,5,2,0,0,6,0,5,1,0,38,2,10,0,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,1,0,516,3,0,3,2,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,1,1,0,207,17.8 ,0
60,3,4,0,2,3,29,38,70,138,0,0,1,114,0,0,8,2,9,0,92,2,8,3,0,0,0,0,6,5,0,43,6,7,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,529,5,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,170,17.9 ,0
64,5,4,0,8,6,19,30,55,102,0,4,0,136,0,0,14,6,10,0,98,3,9,0,0,2,2,0,13,0,1,32,1,13,0,0,0,0,7,0,0,0,5,0,0,2,0,0,1,0,0,0,0,533,0,0,4,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,5,5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,162,19.7 ,0
68,5,10,0,0,8,15,26,49,123,0,0,0,117,0,0,9,4,3,0,88,4,3,0,0,2,4,1,13,5,0,57,2,10,0,0,0,0,1,0,0,0,1,0,0,5,0,0,1,0,0,0,0,517,5,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,127,12.5 ,0
72,4,6,0,1,10,7,24,41,126,0,1,0,112,0,0,10,4,5,0,119,4,6,0,0,0,3,2,10,0,0,37,0,9,0,0,0,0,5,0,0,0,2,0,0,3,0,0,0,0,0,0,0,510,3,0,4,3,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,6,0,0,1,0,141,13.0 ,0
76,1,4,1,0,6,6,33,45,142,0,1,0,104,0,0,3,6,7,0,113,5,4,0,0,0,1,2,17,2,0,56,3,8,0,0,0,0,3,0,0,0,1,0,0,3,0,0,1,0,0,0,0,533,3,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,6,2,0,0,0,1,0,0,0,2,0,0,10,0,0,0,0,1,3,0,22,1,0,146,13.3 ,0
80,6,5,0,1,4,9,38,51,112,0,1,0,125,0,0,8,6,7,0,102,9,4,2,0,0,0,1,15,1,0,32,2,12,0,0,0,0,4,0,0,0,3,0,1,2,0,0,0,0,0,0,0,512,1,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,3,0,188,9.2 ,0
84,2,5,0,1,3,19,25,47,131,0,1,0,143,0,0,6,7,5,0,70,5,4,1,0,0,1,0,12,5,0,45,3,9,0,0,0,0,4,0,0,0,1,0,0,1,0,0,3,0,0,0,0,512,1,0,0,2,0,0,0,0,0,0,2,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,7,5,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,179,17.7 ,0
