depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,total Pinus,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Saxifraceae,Other shrubs,Sum AP,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Campanulaceae,Lamiaceae,Impatiens,Lamiaceae,Other herbs, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Equisetum,Dryopteris-type,Dryopteris spinosa-type,Athryrium Filex-Femina,Other Pterid,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,Exotic (pollen),C:P,Exotic (charcoal)
184,0,5,0,1,1,16,10,27,162,0,0,0,90,0,0,9,3,5,0,96,11,1,1,0,0,0,0,7,3,0,100,1,2,0,0,0,0,3,0,0,0,1,0,0,8,0,0,1,0,0,0,0,537,0,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,149,5.0 ,0
186,2,1,0,0,1,15,19,35,157,0,1,0,102,0,0,11,3,5,0,102,2,4,2,0,3,3,0,14,4,0,73,2,5,0,0,0,0,2,0,0,0,1,0,0,7,0,0,1,0,0,0,0,542,1,0,1,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,128,13.2 ,0
189,3,2,0,0,2,13,24,39,160,0,4,1,92,0,0,7,10,10,0,118,10,5,0,0,0,0,2,9,4,0,59,1,3,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,546,3,0,1,1,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,214,31.0 ,0
193,2,2,0,0,4,25,21,50,197,0,0,1,89,0,0,8,5,6,0,94,6,8,0,0,2,1,0,10,2,0,68,5,2,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,571,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,7,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,108,11.1 ,0
197,0,3,0,0,2,19,21,42,138,0,0,1,109,0,0,5,4,7,0,100,9,4,0,0,0,2,4,8,2,0,82,2,2,0,0,0,0,3,0,0,0,0,0,5,5,0,0,0,0,0,0,0,537,1,0,1,1,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,98,4.8 ,0
201,1,6,0,0,5,16,21,42,173,0,1,2,77,0,0,4,1,11,0,103,6,4,2,0,0,0,1,5,0,0,64,4,2,0,0,0,0,0,0,0,0,1,0,0,8,0,0,2,0,0,0,0,520,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,4,2,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,158,7.3 ,0
205,0,6,0,0,6,18,16,40,199,0,0,0,78,0,0,7,10,8,0,81,2,12,3,0,0,0,1,6,1,0,82,2,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,546,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,3,0,0,87,6.5 ,0
209,1,2,0,1,6,12,21,39,148,0,0,0,97,0,0,6,13,9,0,104,4,3,1,0,1,1,3,11,1,0,54,5,3,0,0,0,0,3,0,0,0,0,0,2,11,0,0,0,0,0,0,0,523,0,0,0,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,1,132,19.6 ,0
213,2,3,0,0,3,13,19,35,208,0,1,1,77,0,0,3,7,9,0,115,6,5,0,0,0,2,0,21,2,0,68,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,573,2,0,5,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,1,0,0,84,6.3 ,0
217,3,0,0,0,2,14,25,41,161,0,1,1,96,0,0,5,4,11,0,100,7,5,0,0,0,0,2,10,4,0,57,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,515,2,0,1,0,2,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,127,7.7 ,0
221,1,3,0,0,3,12,22,37,131,0,0,0,85,0,0,9,12,6,0,92,8,7,4,0,1,5,0,20,3,0,103,3,0,0,0,0,0,6,0,0,0,1,0,0,5,0,0,0,0,0,0,0,542,6,0,4,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,3,0,0,1,0,156,14.4 ,0
225,0,3,0,1,2,18,25,45,142,0,0,1,99,0,0,5,0,4,0,118,3,8,2,0,0,0,1,13,0,0,109,3,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,2,0,0,0,0,567,2,0,4,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,12,4,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,115,11.0 ,0
229,2,1,0,1,4,21,26,51,157,0,2,2,79,0,0,11,3,8,0,100,5,6,2,0,4,0,0,19,1,0,90,2,0,0,0,0,0,3,0,0,0,1,0,0,4,0,0,1,0,0,0,0,555,0,0,1,0,0,0,0,0,0,0,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,4,0,2,1,0,161,5.8 ,0
233,3,1,0,0,5,16,16,37,153,0,0,1,114,0,0,9,1,6,0,104,3,3,1,0,1,1,1,20,0,0,73,4,0,0,0,0,0,4,0,0,0,2,0,1,1,0,0,1,0,0,0,0,545,0,0,2,0,0,2,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,6,3,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,3,0,2,0,0,222,6.6 ,0
237,2,3,0,0,5,15,23,43,144,0,3,3,89,0,0,8,8,9,0,101,6,7,1,0,2,0,2,10,1,0,86,3,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,1,0,0,0,0,540,2,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,1,155,9.8 ,0
241,1,1,0,0,3,17,24,44,180,0,0,0,89,0,0,5,4,9,0,112,6,9,0,0,1,0,1,15,1,0,76,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,1,0,0,0,0,562,1,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,10,5,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,3,0,0,2,1,0,170,6.4 ,0
245,1,5,0,0,4,12,18,34,184,0,1,1,98,0,0,4,6,5,0,94,6,8,2,0,1,2,0,13,2,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,548,0,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,1,0,3,0,1,0,0,116,12.7 ,0
249,0,3,0,3,6,10,23,39,178,0,2,1,87,0,0,8,10,7,0,78,5,4,2,1,2,2,0,4,3,0,74,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,3,0,0,0,0,522,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,2,0,0,165,9.4 ,0
253,0,2,0,6,7,8,15,30,163,0,0,0,87,0,0,6,9,12,0,101,4,4,0,0,1,5,1,7,5,1,76,1,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,2,0,0,0,0,531,1,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,13,3,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,2,0,167,17.0 ,0
257,0,0,0,3,2,10,19,31,160,0,2,0,106,0,0,3,9,8,0,90,5,5,2,0,2,1,0,11,4,0,81,4,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,1,0,0,0,0,534,3,0,1,4,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,25,7,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,1,0,3,0,0,178,8.3 ,0
261,2,2,0,2,4,14,23,41,203,0,0,0,69,0,0,5,1,1,0,109,2,3,0,0,2,1,0,12,3,0,87,0,0,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,557,0,0,4,1,0,1,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,23,4,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,0,0,134,4.8 ,0
265,6,2,0,9,4,10,26,40,245,0,3,1,75,0,0,5,4,6,0,86,4,7,2,0,1,2,0,14,0,0,81,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,598,2,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,35,4,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,1,0,111,5.4 ,0
