Depth (cm),Cal age,Cupressaceae,Picea,Picea rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus banksiana t.,Pinus diplox t.,P.inusrigida t.,Pinus diploxylon,Tsuga,Vesiculate conif.,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Acer negundo,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Fagaceae,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,cf. Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Dennstaeditia, Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sparganium t.,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Degraded,Unknown,Exotic counted,Exotic added,,upland sum
192,1983.696,2,3,,0,0,12,,4,,,,1,60,,0,0,0,212,3,15,11,4,4,2,17,6,13,2,9,,2,0,0,3,0,0,76,0,0,0,0,0,1,5,0,0,0,35,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,5,2,1,4,,0,121,42716,,506
196,2053.116,1,5,,0,1,17,,3,,,,1,65,,0,2,0,186,1,16,9,2,11,3,21,12,14,1,8,,0,0,1,3,0,0,80,1,0,0,0,0,0,8,0,0,2,36,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,5,13,0,4,,0,157,42716,,517
200,2123.092,1,3,,0,0,14,,3,,,,2,93,,0,0,0,176,0,13,15,3,10,2,11,10,12,1,9,,0,1,2,1,3,0,83,0,0,0,0,0,0,7,0,0,1,32,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,9,1,2,,0,103,42716,,513
204,2191.957,0,4,,0.5,1,18,,2,,,,1,70,,0,1,0,160,0,8,11,1,15,4,22,8,12,1,9,,1,0,0,1,0,0,110,1,0,0,0,0,0,5,0,0,0,39,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,0,0,4,5,1,4,,0,122,42716,,513.5
208,2261.377,1,3,,1,1,17,,2,,,,2,89,,0,0,0,147,0,18,5,1,11,2,17,8,22,3,10,,3,0,1,2,0,0,101,0,0,0,0,0,1,5,0,0,0,37,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,,0,1,1,0,0,0,1,5,3,8,,0,127,42716,,520
212,2330.797,1,3,,0,1,14,,1,,,,1,91,,0,0,1,164,2,10,11,5,8,3,20,7,12,1,10,,2,0,0,1,2,0,111,1,0,0,1,0,0,3,0,0,0,30,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,4,8,0,7,,0,126,42716,,522
222,2504.348,0,4,,0,0,26,,2,,,,0,74,,0,1,0,164,1,13,10,2,7,3,26,7,19,3,7,,1,0,0,1,1,0,117,0,0,0,0,0,1,5,0,0,0,41,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,0,0,8,8,2,2,,0,150,42716,,542
226,2573.768,0,3,,1,0,13,,6,,,,1,70,,0,0,0,153,4,28,10,3,7,1,16,8,12,0,5,,0,0,1,1,0,0,128,0,0,0,0,0,0,4,0,0,1,39,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,0,0,3,6,0,5,,1,150,42716,,521
230,2640.484,0,2,,1,0,17,,6,,,,2,56,,0,0,0,164,0,21,10,3,4,0,27,11,16,1,4,,3,0,2,3,0,0,118,0,0,0,0,0,0,4,0,0,0,39,0,0,,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,3,1,1,5,,0,206,42716,,520
234,2701.39,1,1,,2,0,18,,4,,,,2,61,,0,0,0,170,1,18,7,3,7,1,24,10,15,1,6,,0,0,1,4,0,0,111,0,0,0,0,0,0,1,0,0,0,47,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,7,2,8,,0,166,42716,,522
238,2768.529,1,2,,1,0,18,,9,,,,0,47,,0,0,0,174,0,13,12,2,5,5,14,10,16,0,5,,3,0,2,0,1,0,107,0,0,0,0,0,1,6,0,0,0,48,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,4,10,2,6,,0,154,42716,,512
242,2833.17,0,0,,0.5,0,19,,11,,,,1,44,,0,0,0,207,2,21,5,1,4,3,17,8,14,1,4,,2,0,1,0,1,0,99,0,0,0,0,0,0,6,0,0,0,46,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,7,4,0,10,,2,148,42716,,524.5
246,2902.731,2,5,,2,1,27,,5,,,,2,72,,0,0,1,153,0,32,6,2,14,2,21,7,13,0,10,,1,0,5,2,0,0,87,0,0,0,0,0,0,3,0,0,0,42,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,6,2,8,,0,186,42716,,523
250,2971.548,0,2,,0,0,15,,9,,,,1,56,,0,0,0,203,1,40,8,0,4,3,13,7,13,1,9,,0,0,2,4,1,0,71,0,0,0,0,0,0,5,0,0,0,52,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,5,1,6,,0,175,42716,,525
254,3037.348,0,2,,1,0,11,,5,,,,3,73,,0,0,0,193,1,22,9,1,10,3,22,6,10,1,5,,0,0,0,3,0,0,116,0,0,0,0,0,1,3,0,0,0,31,0,0,,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,3,5,1,4,,0,193,42716,,541
264,3208.864,0,1,,1,2,19,,5,,,,0,60,,0,0,0,205,0,11,5,3,14,2,20,6,16,3,4,,2,1,0,0,0,0,99,0,0,0,0,0,0,4,0,0,0,26,0,0,,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,5,2,0,6,,0,138,42716,,516
274,3405.083,1,0,,0,0,12,,13,,,,2,55,,0,0,0,211,0,9,14,0,11,0,22,13,8,1,6,,0,0,4,1,1,0,105,0,1,0,0,0,0,3,0,0,1,30,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,,0,0,1,0,0,0,3,8,1,8,,0,159,42716,,531
284,3541.133,0,1,,0,0,21,,6,,,,1,34,,0,1,0,215,0,23,10,0,6,1,21,7,9,1,6,,1,0,0,1,0,0,112,0,0,0,0,0,2,2,0,0,0,46,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,4,2,1,9,,0,135,42716,,532
294,3663.303,1,1,,0,0,23,,15,,,,1,33,,0,0,0,194,0,21,11,2,14,1,22,12,9,1,5,,4,0,3,0,0,0,106,0,0,0,0,0,0,1,0,0,0,20,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,1,7,0,5,,0,174,42716,,504
304,3778.093,0,1,,0.5,0,11,,6,,,,1,53,,0,0,0,184,0,26,11,1,12,0,24,10,17,0,5,,0,0,0,5,0,0,115,0,0,0,0,0,0,7,0,0,0,41,0,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,,0,1,0,0,0,0,6,5,3,8,,0,156,42716,,536.5
314,3889.282,0,1,,0,0,12,,10,,,,1,39,,0,0,0,199,1,20,7,1,9,1,18,8,20,1,1,,1,0,0,0,0,0,124,0,0,1,0,0,0,4,0,0,0,43,0,0,,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,5,3,0,10,,0,147,42716,,532
323,3993.462,0,1,,1,0,18,,4,,,,0,26,,0,0,0,221,0,12,6,3,10,0,16,10,13,2,5,,1,0,1,0,0,0,134,0,1,0,0,0,0,4,0,0,0,35,0,0,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,1,10,0,6,,0,149,42716,,528
333,4106.804,1,0.5,,1,1,25,,6,,,,1,55,,0,0,0,194,1,27,10,2,6,2,21,8,18,1,4,,0,0,2,2,4,0,96,0,1,1,0,0,0,5,0,0,0,48,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,,0,1,0,0,0,0,2,7,1,3,,1,170,42716,,551.5
343,4219.864,0,2,,0,0,22,,10,,,,4,27,,0,0,0,211,0,19,12,1,16,2,20,10,17,3,6,,1,0,0,3,0,0,82,0,0,0,0,0,0,4,0,0,0,49,0,0,,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,4,1,1,0,,4,170,42716,,528
353,4331.681,1,1,,2,0,30,,4,,,,0,14,,0,0,0,212,0,24,15,3,6,3,28,11,18,2,8,,1,0,0,1,1,0,85,0,2,0,0,0,0,7,0,0,0,52,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,2,0,0,0,0,5,4,0,4,,0,146,42716,,537
363,4442.307,0,1,,0,1,45,,11,,,,0,18,,0,0,0,177,0,29,10,2,11,4,23,4,13,2,10,,3,0,2,2,2,0,92,0,0,0,0,0,1,3,0,0,0,38,0,0,,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0,0,8,6,1,9,,1,147,42716,,514
373,4557.305,0,2,,1,0,30,,11,,,,4,30,,0,0,0,209,2,17,10,6,11,1,31,7,20,3,7,,2,0,2,3,2,0,96,0,0,0,0,0,1,0,0,10,0,25,0,0,,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,3,1,2,,0,137,42716,,546
383,4680.396,1,1,,0,0,23,,11,,,,2,18,,0,0,0,243,0,14,9,0,13,5,25,10,20,1,0,,2,0,3,4,1,0,83,0,0,0,0,0,0,0,0,3,0,30,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,5,1,3,,0,147,42716,,523
393,4833.984,3,1,,0,0,23,,14,,,,0,10,,0,0,0,252,1,21,13,2,7,3,19,10,14,4,3,,1,0,1,3,4,0,101,0,0,0,0,0,1,0,0,10,0,12,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,2,3,2,0,4,,0,149,42716,,537
403,4942.722,0,1,,2,0,31,,12,,,,1,9,,0,0,1,245,1,7,6,2,22,5,28,3,12,1,5,,0,0,0,1,1,0,111,0,1,0,0,0,0,0,0,3,1,15,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,8,2,5,,2,99,42716,,531
413,5050.812,0,2,,0,0,32,,15,,,,5,15,,0,0,0,198,3,8,7,2,5,2,22,12,20,5,6,,3,0,3,5,1,0,132,0,0,0,0,0,0,0,0,5,0,17,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,4,2,1,7,,0,146,42716,,531
423,5158.902,1,0,,1,0,26,,14,,,,4,10,,0,0,0,242,0,17,7,0,4,2,18,14,20,4,4,,0,0,0,2,0,0,94,0,1,0,0,0,0,0,0,8,1,29,0,0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,2,4,1,5,,0,133,42716,,528
433,5266.992,2,1,,0,0,21,,4,,,,1,11,,0,0,0,287,0,15,4,0,12,2,19,9,15,3,3,,2,0,0,3,0,0,72,0,0,0,0,0,0,0,0,2,0,25,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,,0,0,0,0,0,0,8,6,2,4,,0,125,42716,,522
443,5375.083,0,1,,0,0,24,,9,,,,1,10,,0,0,0,270,0,12,10,0,10,2,15,18,15,2,7,,2,0,0,0,0,0,90,0,0,0,0,0,0,0,0,6,0,30,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,1,2,,0,150,42716,,542
453,5481.454,1,0.5,,0,0,16,,3,,,,0,4,,0,0,0,256,0,17,13,1,16,3,14,10,13,2,5,,1,0,0,3,0,0,94,1,1,0,0,0,0,0,0,8,0,26,0,0,,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,7,2,2,7,,0,92,42716,,514.5
463,5591.539,1,0,,0,0,11,,6,,,,2,9,,0,0,0,282,1,17,7,1,11,3,22,9,13,1,2,,0,0,1,0,0,0,117,0,0,0,0,0,0,0,0,0,0,24,0,0,,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0,0,3,3,1,9,,0,96,42716,,547
473,5797.234,0,0,,0,0,10,,2,,,,0,7,,0,0,1,300,2,27,7,3,7,1,9,10,12,0,3,,0,0,0,1,1,0,108,0,1,0,0,0,0,0,0,0,0,15,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,3,3,2,4,,0,81,42716,,532
477,5840.431,,,,,,14,,5,,,,,25,,,,,280,1,20,3,,4,2,19,10,7,,,,1,,3,1,1,,108,,,,,,,1,,,,16,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,2,1,4,,,55,21358,,527
483,5900.866,0,0.5,,0,0,8,,6,,,,1,145,,0,0,0,212,0,7,2,1,7,0,22,17,13,1,1,,2,0,0,0,3,0,64,0,0,0,1,0,0,0,0,3,0,15,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,2,0,0,5,,0,89,42716,,535.5
487,5974.471,1,,,,,10,,3,,,,2,108,,,,,220,,10,5,,6,2,21,12,22,1,5,,1,,6,3,3,,76,,,,,,,3,,,,7,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,1,,2,,,70,21358,,534
493,6072.952,0,1,,0,0,12,,8,,,,0,149,,0,0,0,201,0,10,1,3,2,0,16,4,11,0,2,,2,0,1,2,1,0,79,0,0,0,0,0,0,0,0,3,0,18,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,0,2,0,4,0,,0,100,42716,,532
497,6135.763,,1,,,,18,,3,,,,1,155,,,,,219,,4,3,2,10,,19,10,13,,3,,1,,,1,,,66,,,,,,,4,,,,7,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,3,,,49,21358,,548
503,6224.806,1,1,,0,0,20,,3,,,,1,102,,0,0,0,203,0,17,6,0,9,2,15,12,11,1,7,,1,0,3,2,0,0,82,0,0,0,0,0,0,0,0,3,0,13,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,6,6,1,4,,0,96,42716,,519
507,6282.73,,,,,1,11,,1,,,,,91,,,,,210,,6,5,1,10,5,31,14,11,,7,,1,,1,,2,,85,,1,,,,,2,,,1,12,,,,,,,,,,,,1,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,3,,,49,21358,,515
513,6367.754,1,1,,0,0,14,,2,,,,0,81,,0,0,0,207,0,16,8,0,13,2,23,8,15,2,7,,4,0,0,4,1,0,102,0,0,0,0,0,0,0,0,1,0,18,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,3,3,1,3,,0,91,42716,,534
517,6422.844,1,,,,,8,,3,,,,,59,,,,,234,,16,4,,8,,26,8,11,1,5,,2,2,1,1,,,111,,,,,,,3,,,,16,,,,,,,,,,,,,2,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,4,2,5,,,52,21358,,525
523,6503.795,0,0,,0,0,13,,3,,,,1,48,,0,0,0,241,1,15,8,0,5,6,22,10,16,1,3,,1,0,1,2,5,0,84,0,0,0,0,0,0,0,0,2,0,20,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,1,5,0,3,,0,81,42716,,517
527,6559.014,,,,,,19,,8,,,,,68,,,,,234,,11,4,1,9,,18,14,18,,2,,2,,3,,3,,93,,,,,,,2,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,1,1,5,,,72,21358,,524
533,6640.695,0,1,,0,0,16,,3,,,,1,61,,0,0,0,230,0,14,6,1,5,1,25,11,10,0,4,,1,0,2,0,2,0,88,0,0,0,0,0,0,4,0,0,0,17,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,12,,0,108,42716,,506
537,6693.599,,,,,,10,,5,,,,,127,,,,,221,,9,4,,4,,13,7,24,1,3,,,,,,,,80,,,,,,,3,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,3,,,72,21358,,518
543,6773.94,0,0,,0,1,12,,5,,,,1,185,,0,0,0,166,0,12,3,1,3,0,20,8,12,0,4,,0,0,3,1,0,0,51,0,0,0,0,0,0,0,0,0,0,23,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,0,0,0,0,0,0,1,2,0,3,,0,56,21358,,515
547,6832.145,,,,,,14,,10,,,,,178,,,,,192,,6,9,4,3,1,25,12,5,1,6,,1,,,,,,53,,,,,,,3,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,3,,,52,21358,,530
553,6909.292,0,0,,1,0,18,,8,,,,5,86,,0,0,0,227,0,21,6,2,7,2,13,16,16,0,4,,1,0,0,0,2,0,68,0,0,0,0,0,0,6,0,1,0,19,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0,0,4,3,1,6,,1,100,42716,,536
557,6964.322,,,,,1,21,,7,,,,,104,,,,,231,,9,8,3,3,3,24,11,6,,4,,3,,,,2,,64,,,,,,,1,,,,10,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,1,,3,,,70,21358,,517
563,7044.073,0,2,,0,0,26,,5,,,,1,152,,0,0,0,190,0,25,0,0,5,2,8,11,9,2,4,,0,0,1,0,1,0,52,0,0,0,0,0,0,3,0,1,0,27,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0,0,2,1,2,5,,0,128,21358,,532
567,7096.435,,,,,1,18,,15,,,,,100,,,,,240,,5,3,3,7,2,16,9,7,1,3,,,1,,2,,,65,1,,,,,,2,,2,,14,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,57,21358,,520
573,7178.988,0,0,,0,0,19,,10,,,,3,194,,0,0,0,181,1,9,3,1,4,0,20,4,8,0,2,,2,0,0,2,1,0,53,0,0,0,0,0,1,0,0,0,0,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,2,,0,184,42716,,530
577,7233.283,,,,,1,12,,10,,,,,129,,,,,255,,6,8,1,10,2,19,8,9,,3,,1,,,1,1,,46,1,,,,,,3,,,1,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,2,1,3,,,66,21358,,537
583,7316.811,0,1,,1,1,20,,9,,,,1,102,,0,0,0,205,0,18,3,2,5,4,10,13,12,1,4,,2,0,0,0,1,0,53,0,0,0,0,0,0,1,0,0,0,40,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0,0,4,3,1,7,,0,80,21358,,514
587,7374.613,1,,,,,,13,5,2,,1,,162,,,,,135,,,,6,2,,7,6,8,,,,1,,,,,,14,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,4,1,1,22,21358,,368
593,7467.191,0,0,,0,0,12,,14,,,,5,168,,0,0,0,214,1,3,7,1,12,0,13,11,8,3,2,,0,0,0,3,4,0,25,0,0,1,0,0,0,3,0,0,0,13,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,4,,1,92,42716,,526
597,7533.691,1,1,2,,,,22,12,1,,1,,120,,,,,172,,,3,3,,,10,9,7,,3,,2,,,2,3,,16,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,13,4,,35,21358,,392
