Depth (cm),Cal age,Cupressaceae,Picea,Picea rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus banksiana t.,Pinus diplox t.,P.inusrigida t.,Pinus diploxylon,Tsuga,Vesiculate conif.,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Acer negundo,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Fagaceae,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,cf. Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Dennstaeditia, Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sparganium t.,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Degraded,Unknown,Exotic counted,Exotic added,,upland sum
64,103.752,1,49,,1,2,44,,16,,,,4,56,,0,0,0,158,2,23,1,6,4,2,17,8,12,0,7,,0,0,2,2,1,0,50,0,1,0,0,0,0,20,0,0,0,22,0,0,,0,0,0,0,0,35,0,1,2,10,0,1,0,0,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,1,4,0,0,0,0,,0,1,0,0,0,0,3,10,3,8,,0,379,42716,,602
68,112.409,0,58,,1,2,33,,23,,,,4,32,,0,0,0,180,1,14,3,3,4,6,17,6,4,2,7,,0,0,3,0,0,0,50,0,0,0,0,0,1,22,0,0,1,28,0,0,,0,0,0,0,0,29,0,1,0,6,0,2,0,0,0,0,0,38,0,1,5,1,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,1,0,2,0,0,0,0,,0,0,1,0,0,1,4,7,1,5,,1,323,42716,,599
72,121.066,0,47,,2,0,34,,10,,,,2,36,,0,1,1,224,2,10,1,2,2,1,14,3,13,0,9,,0,0,1,2,0,0,64,0,0,0,0,0,0,17,0,0,0,19,0,0,,0,0,0,0,0,45,0,0,0,6,0,0,0,1,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,,0,2,0,0,0,0,6,6,3,8,,1,313,42716,,614
76,129.723,1,37,,2,1,32,,10,,,,3,56,,0,0,0,200,0,12,3,5,6,4,20,2,4,2,8,,1,0,1,2,2,0,57,0,0,0,0,0,0,19,0,0,1,23,0,0,,0,0,0,0,0,48,0,0,2,11,0,0,1,0,0,0,0,57,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,3,0,0,0,0,,1,0,2,0,0,0,8,6,1,4,,3,321,42716,,642
80,138.38,2,34,,1,1,41,,9,,,,3,43,,0,0,0,206,5,10,3,1,0,2,21,8,5,2,6,,2,0,0,3,0,0,67,0,0,0,0,0,0,9,0,0,1,28,0,0,,0,0,0,0,0,30,0,0,0,6,0,0,0,1,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,,0,0,2,0,0,0,7,7,2,9,,2,270,42716,,574
84,147.037,0,44,,2,1,38,,18,,,,2,53,,0,0,1,194,1,16,3,3,7,1,17,10,13,4,8,,0,0,0,1,1,0,76,0,0,0,0,0,0,10,0,0,2,19,0,0,,0,0,0,0,0,16,0,0,2,4,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,1,0,2,0,5,4,3,10,,1,450,42716,,579
88,155.694,0,32,,2,2,37,,20,,,,1,65,,0,1,0,166,0,9,3,2,3,0,13,8,10,3,4,,0,0,2,3,1,0,92,0,0,0,0,0,0,6,0,0,1,22,0,0,,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,0,0,3,5,1,6,,0,193,42716,,518
92,209.529,0,34,,1,0,37,,15,,,,2,62,,0,1,0,177,2,9,3,2,7,1,19,8,8,2,5,,2,0,1,1,1,0,75,0,1,0,0,0,0,6,0,0,0,22,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,3,1,4,,0,205,42716,,509
96,307.592,0,35,,1,1,25,,15,,,,0,70,,0,0,1,191,0,10,1,1,1,0,28,8,7,0,4,,2,0,2,1,0,0,74,0,0,0,0,0,0,8,0,0,1,16,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,2,0,0,0,3,1,0,8,,0,248,42716,,506
100,405.656,0,47,,4,2,32,,17,,,,0,86,,0,0,0,177,2,10,2,2,2,2,21,2,8,1,8,,1,0,2,1,1,0,58,0,0,0,0,0,0,4,0,0,0,18,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,4,13,0,4,,0,230,42716,,510
