dataset,species-common,species-latin,taxon,ppe,error,reference_taxon,region,state/province,continent,pub,model,weighting,use,notes
18,,Quercus,Oak,0.83,0.03,No reference,New England & Northern New York,North-Eastern US,North America,Jackson 1990,Linear regression,none?,n,
18,,Pinus,Pine,0.59,0.12,No reference,New England & Northern New York,North-Eastern US,North America,Jackson 1990,Linear regression,none?,n,
18,,Betula,Birch,1.96,0.19,No reference,New England & Northern New York,North-Eastern US,North America,Jackson 1990,Linear regression,none?,n,
19,Balsam fir,Abies balsamea,Fir,1.47,0.38,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 2,inverse distance,y,
19,"Black maple, Striped maple, Red maple, Silver maple, Sugar maple, Mountain maple","Acer nigrum, Acer pensylvanicum, Acer rubrum, Acer saccharinum, Acer saccharum, Acer spicatum ",Maple,0.29,0.03,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 2,inverse distance,y,
19,American beech,Fagus grandifolia,Beech,7.19,1.52,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 2,inverse distance,y,
19,"White spruce, Black spruce, Red spruce","Picea glauca, Picea mariana, Picea rubens",Spruce,0.6,0.16,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 2,inverse distance,y,
19,"Balsam poplar, American aspen, Quaking aspen","Populus balsamifera, Populus grandidentata, Populus tremuloides",Poplar,0.11,0.15,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 2,inverse distance,y,
19,"White oak, Bur oak, Northern Red oak","Quercus alba, Quercus macrocarpa, Quercus rubra",Oak,3.28,0.35,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 2,inverse distance,y,
19,Eastern hemlock,Tsuga canadensis,Hemlock,17.14,1.64,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 2,inverse distance,y,
19,,,Birch,1,0,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 2,inverse distance,y,
20,Balsam fir,Abies balsamea,Fir,2.53,3,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 3,inverse distance,n,
20,"Black maple, Striped maple, Red maple, Silver maple, Sugar maple, Mountain maple","Acer nigrum, Acer pensylvanicum, Acer rubrum, Acer saccharinum, Acer saccharum, Acer spicatum ",Maple,0.18,0.04,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 3,inverse distance,n,
20,American beech,Fagus grandifolia,Beech,4.22,1.84,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 3,inverse distance,n,
20,"White spruce, Black spruce, Red spruce","Picea glauca, Picea mariana, Picea rubens",Spruce,0.46,0.14,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 3,inverse distance,n,
20,"Balsam poplar, American aspen, Quaking aspen","Populus balsamifera, Populus grandidentata, Populus tremuloides",Poplar,0.09,0.08,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 3,inverse distance,n,
20,"White oak, Bur oak, Northern Red oak","Quercus alba, Quercus macrocarpa, Quercus rubra",Oak,1.72,0.44,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 3,inverse distance,n,
20,Eastern hemlock,Tsuga canadensis,Hemlock,10.94,2.95,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 3,inverse distance,n,
20,,,Birch,1,0,Birch,Southeastern Quebec,Quebec,North America,Chaput & Gajewski (in prep),ERV submodel 3,inverse distance,n,
21,,Betula,Birch,3.35,0.04,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 1,Sutton-Prentice,n,
21,,Salix,Willow,0.33,0.01,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 1,Sutton-Prentice,n,
21,,Ericaceae,Heather,0.63,0.01,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 1,Sutton-Prentice,n,
21,,Poaceae,Grass,0.81,0.01,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 1,Sutton-Prentice,n,
21,,Cyperaceae,Sedge,1,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 1,Sutton-Prentice,n,
22,,Betula,Birch,5.81,0.03,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 1,inverse distance,n,
22,,Salix,Willow,0.59,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 1,inverse distance,n,
22,,Ericaceae,Heather,0.7,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 1,inverse distance,n,
22,,Poaceae,Grass,1.16,0.01,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 1,inverse distance,n,
22,,Cyperaceae,Sedge,1,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 1,inverse distance,n,
23,,Betula,Birch,5.42,1.38,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 1,Sutton-Prentice,n,
23,,Salix,Willow,0.26,0.05,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 1,Sutton-Prentice,n,
23,,Alnus,Alder,1.33,0.15,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 1,Sutton-Prentice,n,
23,,Picea,Spruce,1,0,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 1,Sutton-Prentice,n,
23,,Populus,Poplar,0.06,0.01,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 1,Sutton-Prentice,n,
23,,Poaceae,Grass,0.11,0.11,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 1,Sutton-Prentice,n,
24,,Betula,Birch,9.02,0.07,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 2,Sutton-Prentice,n,
24,,Salix,Willow,0.51,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 2,Sutton-Prentice,n,
24,,Ericaceae,Heather,0.61,0.01,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 2,Sutton-Prentice,n,
24,,Poaceae,Grass,0.91,0.01,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 2,Sutton-Prentice,n,
24,,Cyperaceae,Sedge,1,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 2,Sutton-Prentice,n,
25,,Betula,Birch,10.65,0.04,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 2,inverse distance,n,
25,,Salix,Willow,0.49,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 2,inverse distance,n,
25,,Ericaceae,Heather,0,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 2,inverse distance,n,
25,,Poaceae,Grass,0.91,0.01,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 2,inverse distance,n,
25,,Cyperaceae,Sedge,1,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 2,inverse distance,n,
26,,Betula,Birch,3.85,0.47,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 2,Sutton-Prentice,n,
26,,Salix,Willow,0.27,0.04,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 2,Sutton-Prentice,n,
26,,Alnus,Alder,1.16,0.1,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 2,Sutton-Prentice,n,
26,,Picea,Spruce,1,0,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 2,Sutton-Prentice,n,
26,,Populus,Poplar,0.05,0,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 2,Sutton-Prentice,n,
26,,Poaceae,Grass,0.28,0.21,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 2,Sutton-Prentice,n,
27,,Betula,Birch,8.98,0.07,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 3,Sutton-Prentice,n,
27,,Salix,Willow,0.64,0.01,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 3,Sutton-Prentice,n,
27,,Ericaceae,Heather,0,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 3,Sutton-Prentice,n,
27,,Poaceae,Grass,0.9,0.01,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 3,Sutton-Prentice,n,
27,,Cyperaceae,Sedge,1,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 3,Sutton-Prentice,n,
28,,Betula,Birch,10.95,0.02,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 3,inverse distance,y,
28,,Salix,Willow,0.58,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 3,inverse distance,y,
28,,Ericaceae,Heather,0.53,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 3,inverse distance,y,
28,,Poaceae,Grass,1,0.07,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 3,inverse distance,y,
28,,Cyperaceae,Sedge,1,0,Cyperaceae,Denali,Alaska,North America,Hopla & Edwards,ERV model 3,inverse distance,y,
29,,Betula,Birch,3.12,0.44,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 3,Sutton-Prentice,y,
29,,Salix,Willow,0.24,0.04,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 3,Sutton-Prentice,y,
29,,Alnus,Alder,0.96,0.12,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 3,Sutton-Prentice,y,
29,,Picea,Spruce,1,0,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 3,Sutton-Prentice,y,
29,,Populus,Poplar,0.04,0,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 3,Sutton-Prentice,y,
29,,Poaceae,Grass,0.36,0.18,Cyperaceae,Forest,Alaska,North America,Hopla & Edwards,ERV model 3,Sutton-Prentice,y,
