"","x"
"251","Cupressaceae.undiff."
"252","Cyclachaena.xanthiifolia"
"253","Cyclachaena.xanthiifolia.type"
"254","Cyperaceae"
"255","Cyperaceae.undiff."
"256","Cystopteris"
"257","Cystopteris.type"
"258","Dalea"
"259","Dalea.candida.t."
"260","dataset.id"
"261","Decodon.verticillatus"
"262","Degraded"
"263","Dennstaeditia"
"264","Dennstaedtia"
"265","Dennstaedtia.type"
"266","Denstaedtia"
"267","depth"
"268","Dicentra"
"269","Dicranum"
"270","Diospyros.type"
"271","Diphasiastrum.complanatum"
"272","Diphasiastrum.complanatum.type"
"273","Drosera"
"274","Dryas"
"275","Dryas.type"
"276","Dryopteris"
"277","Dryopteris.carthusiana.type"
"278","Dryopteris.fragrans.type"
"279","Dryopteris.spinosa.type"
"280","Dryopteris.t."
"281","Dryopteris.thelypteris"
"282","Dryopteris.type"
"283","Elaeagnus"
"284","Elaeagnus.commutata"
"285","Eleocharis"
"286","Empetrum"
"287","Ephedra"
"288","Ephedra.1"
"289","Epilobium"
"290","Epilobium.lantifolium"
"291","Epilobium.type"
"292","Equise"
"293","Equisetum"
"294","Ercae"
"295","Ericaceae"
"296","Ericaceae.undiff"
"297","Ericaceae.undiff."
"298","Eriocaulon"
"299","Eriocaulon.sp."
"300","Eriogonum"
"301","Eupatorium.type"
"302","Euphorbiaceae"
"303","Exotic"
"304","Exotic..charcoal."
"305","Exotic..pollen."
"306","Exotic.added"
"307","exotic.conc"
"308","Exotic.count"
"309","Exotic.counted"
"310","Exotic.spike"
"311","Fabaceae"
"312","Fabaceae.undiff."
"313","Fagaceae"
"314","Fagopyron"
"315","Fagopyrum"
"316","Fagus"
"317","Fagus.grandifolia"
"318","ferns"
"319","Filipendula.sp."
"320","Fraxinus"
"321","Fraxinus..tetracolpate."
"322","Fraxinus..tricolpate."
"323","Fraxinus.americana"
"324","Fraxinus.nigra"
"325","Fraxinus.Nigra"
"326","Fraxinus.nigra.t."
"327","Fraxinus.nigra.type"
"328","Fraxinus.penn.am"
"329","Fraxinus.Penn.am"
"330","Fraxinus.penn.t."
"331","Fraxinus.pennsylvanica"
"332","Fraxinus.pennsylvanica.F..americana.type"
"333","Fraxinus.pennsylvanica.type"
"334","Fraxinus.sp"
"335","Fraxinus.sp."
"336","Fraxinus.ud"
"337","Fraxinus.undiff"
"338","Fraxinus.undiff."
"339","Fraxinus.undifferentiated"
"340","Fraxinuspe.t"
"341","Fungi"
"342","Galium"
"343","Galium.type"
"344","Gentiana"
"345","Gentianaceae"
"346","Geraniaceae"
"347","Geranium"
"348","Geranium.sp."
"349","Geum"
"350","Geum.type"
"351","Gleditsia"
