"","meters.east","meters.north","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
"23593",1597000,694000,0.00625,2e-07,0.01765,0.6667,0.04245,2e-04,2e-04,2e-07,0.01255,2e-07,0.0512,8e-04,0.01405,0.11725,4e-04,1e-04,2e-07,2e-07,4e-04,0.00085,2e-07,2e-07,3e-04
"23594",1605000,694000,0.0061,2e-07,0.01575,0.6714,0.0373,2e-04,4e-04,2e-07,0.0059,2e-07,0.02925,3e-04,0.0164,0.17485,3e-04,1e-04,2e-07,2e-07,4e-04,8e-04,2e-07,2e-07,3e-04
"23595",1613000,694000,0.00655,2e-07,0.0123,0.6258,0.04185,3e-04,9e-04,2e-07,0.0055,2e-07,0.0286,3e-04,0.0219,0.1951,4e-04,1e-04,2e-07,2e-07,0.00035,9e-04,2e-07,2e-07,2e-04
"23596",1621000,694000,0.00615,2e-07,0.0124,0.5877,0.04535,4e-04,0.00245,2e-07,0.0059,2e-07,0.02305,3e-04,0.024,0.18655,0.00125,1e-04,2e-07,2e-07,5e-04,0.0014,2e-07,2e-07,3e-04
"23597",1629000,694000,0.0054,2e-07,0.0105,0.65945,0.04285,4e-04,0.0055,2e-07,0.00575,2e-07,0.0178,0.00025,0.02435,0.13775,0.0014,2e-04,2e-07,2e-07,5e-04,0.0013,2e-07,2e-07,0.00025
"23598",1637000,694000,0.0071,2e-07,0.01155,0.62635,0.07275,5e-04,0.00765,2e-07,0.0066,2e-07,0.0321,3e-04,0.0206,0.1125,0.00165,5e-04,2e-07,2e-07,6e-04,0.0019,2e-07,2e-07,4e-04
"23599",1645000,694000,0.00805,2e-07,0.00965,0.52055,0.07015,7e-04,0.01245,2e-07,0.0079,2e-07,0.05365,0.00035,0.0263,0.13385,0.00295,0.0013,2e-07,2e-07,0.0014,0.00285,2e-07,2e-07,5e-04
"23600",1653000,694000,0.00875,2e-07,0.0114,0.4189,0.0691,0.001,0.01385,2e-07,0.00905,2e-07,0.08795,6e-04,0.03805,0.1799,0.00355,0.01145,3e-04,2e-07,0.00355,0.00425,2e-07,2e-07,7e-04
"23601",1661000,694000,0.0088,2e-07,0.01325,0.41285,0.05575,0.0012,0.0296,2e-07,0.00725,2e-07,0.06635,0.0012,0.0288,0.2196,0.00865,0.01435,2e-07,2e-07,0.0049,0.0034,2e-07,2e-07,9e-04
"23602",1669000,694000,0.0085,2e-07,0.01255,0.46825,0.0696,0.0012,0.02185,2e-07,0.0091,2e-07,0.0414,0.0011,0.0202,0.18655,0.0232,0.01255,1e-04,2e-07,0.00595,0.00385,2e-07,2e-07,9e-04
