"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"75";4,111;6,696;8,661;1,491;15,452;1,549;5,082;0;55,764;1,193;0
"76";1,781;3,348;44,807;0,8;2,97;0,928;7,404;0;35,713;2,25;0
"77";1,276;12,116;12,606;3,902;11,091;3,139;18,354;0;24,013;13,502;0
"78";1,274;10,077;6,381;1,673;8,776;31,472;9,564;0;27,207;3,575;0
"79";6,96;7,692;18,149;1,502;5,73;8,422;12,641;0;30,45;8,454;0
"80";0;11,787;6,536;4,545;6,883;12,06;13,946;0;42,917;1,325;0
"81";10,404;16,006;27,537;6,744;4,478;3,679;14,353;0;12,869;3,93;0
"82";1,155;11,22;13,054;2,849;11,889;26,854;9,006;0;22,079;1,894;0
"83";0;1,269;0,537;0,267;0,646;91,312;0,932;0;4,972;0,066;0
"84";2,982;22,37;30,534;2,046;8,183;5,177;5,939;0;14,594;8,175;0
"85";1,423;2,826;2,702;2,078;1,302;42,077;37,209;0;9,539;0,845;0
"86";1,549;4,473;17,949;17,636;3,419;24,062;10,698;0;14,166;6,048;0
"87";5,647;4,938;7,285;3,088;5,951;7,768;21,729;0;42,154;1,44;0
"88";3,423;5,596;41,314;3,777;13,757;3,904;11,867;0;13,927;2,435;0
"89";0,089;0,175;0,637;0,075;0,277;0,348;0,51;0;97,837;0,053;0
"90";3,299;8,754;6,603;2,9;21,216;3,126;11,128;0;41,623;1,351;0
"91";0;7,566;13,545;2,117;5,869;41,645;8,458;0;18,678;2,121;0
"92";16,834;23,792;6,672;3,163;8,02;5,021;13,96;0;21,02;1,517;0
"93";5,091;10,611;14,898;2,507;6,011;7,284;28,734;0;24,035;0,828;0
"94";0;5,929;11,48;7,771;6,829;24,721;13,32;0;28,643;1,307;0
"95";17,01;3,335;4,614;1,018;3,606;49,387;7,507;0;12,197;1,325;0
"96";0;34,274;19,671;2,862;11,169;3,207;10,057;0;15,665;3,096;0
"97";4,62;10,723;9,874;3,985;5,458;5,055;17,623;0;37,974;4,689;0
"98";2,135;0,739;1,365;0,965;2,56;2,696;2,551;0;86,379;0,608;0
"99";10,719;14,249;28,384;1,753;7,724;5,849;8,346;0;20,695;2,28;0
"100";7,953;12,457;9,728;6,145;7,063;13,163;20,032;0;22,332;1,126;0
"101";6,437;6,578;6,056;9,473;4,677;16,481;27,302;0;21,915;1,081;0
"102";1,308;16,663;5,084;4,321;5,621;5,584;36,421;0;23,834;1,164;0
"103";1,426;5,287;14,657;1,788;8,57;10,006;14,649;0;38,419;5,2;0
"104";5,786;9,723;6,316;3,83;23,828;9,787;17,112;0;21,132;2,486;0
"105";0;11,599;22,394;3,183;15,464;4,305;10,791;0;29,488;2,775;0
"106";23,145;2,039;3,389;3,907;4,198;16,319;28,24;0;17,033;1,731;0
"107";6,848;19,193;8,013;2,482;7,731;7,961;14,803;0;26,488;6,481;0
"108";0,4;0,749;75,54;0,728;1,736;10,387;3,652;0;6,321;0,487;0
"109";0;9,828;7,971;9,269;11,747;5,877;12,035;0;40,653;2,621;0
"110";1,571;1,901;15,002;52,001;2,262;4,583;2,646;0;13,023;7,012;0
"111";0;6,711;10,99;1,173;13,417;13,983;20,911;0;31,306;1,51;0
"112";5,115;10,765;39,141;5,722;8,583;5,213;5,104;0;18,788;1,569;0
"113";8,075;22,475;16,695;8,442;6,076;0;12,855;0;18,129;7,254;0
"114";2,606;41,322;5,439;3,217;9,688;6,648;6,586;0;22,168;2,326;0
"115";2,193;6,223;55,58;3,068;4,334;8,345;6,429;0;11,641;2,188;0
